Afrihkká	África
Jáhpan	Japón
Lulli-Amerihkká	América del Sur
Norga	Noruega
Englánda	Inglaterra
Irlánda	Irlanda
Ungára	Hungría
Spánia	España
Amerihká ovttastuvvan stáhtat	Estados Unidos
Belgia	Bélgica
Luxemburg	Luxemburgo
Eana	Tierra
Olmmoš	Homo sapiens
Suopma	Finlandia
Ruoŧŧa	Suecia
Dánmárku	Dinamarca
Polska	Polonia
Lietuva	Lituania
Itália	Italia
Šveica	Suiza
Nuortariika	Austria
Greika	Grecia
Durka	Turquía
Portugal	Portugal
Eurohpá	Europa
Ásia	Asia
Davvi-Amerihkká	América del Norte
Antárktis	Antártida
Wikipedia	Wikipedia
Vuolleeatnamat	Países Bajos
Washington D.C.	Washington D. C.
Berlin	Berlín
Los Angeles	Los Ángeles
Bern	Berna
Barack Obama	Barack Obama
Uruguay	Uruguay
London	Londres
Kairo	El Cairo
Paris	París
Meksiko	México
Atlánta	Océano Atlántico
Jaskesáhpi	Océano Pacífico
Kalifornia	California
Vuossárga	Lunes
Ođđajagimánnu	Enero
Guovvamánnu	Febrero
Njukčamánnu	Marzo
Mars	Marte (planeta)
Kenia	Kenia
Etiopia	Etiopía
Ghana	Ghana
Cuoŋománnu	Abril
Miessemánnu	Mayo
Geassemánnu	Junio
Suoidnemánnu	Julio
Borgemánnu	Agosto
Čakčamánnu	Septiembre
Golggotmánnu	Octubre
Skábmamánnu	Noviembre
Juovlamánnu	Diciembre
Maŋŋebárga	Martes
Gaskavahkku	Miércoles
Duorastat	Jueves
Bearjadat	Viernes
Lávvardat	Sábado
Sotnabeaivi	Domingo
Ledjon	Panthera leo
Frankriika	Francia
Esperantogiella	Esperanto
Ovttastuvvan gonagasriika	Reino Unido
Bussá	Felis silvestris catus
Kiinná	República Popular China
Fránskkagiella	Idioma francés
Brasilia	Brasil
François Hollande	François Hollande
Ruošša	Rusia
Hvaler	Cetacea
Kvadráhta	Cuadrado
Π	Π
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo
Duiska	Alemania
Vilges-Ruošša	Bielorrusia
Duiskkagiella	Idioma alemán
Islánda	Islandia
Estteeana	Estonia
Saturn	Saturno (planeta)
Agálašvuohta	Infinito
George W. Bush	George W. Bush
Rektáŋgel	Rectángulo
Látvia	Letonia
Ukraina	Ucrania
Čeahkka	República Checa
Slovakia	Eslovaquia
Slovenia	Eslovenia
Vilnius	Vilna
Moldova	Moldavia
Románia	Rumania
Bulgária	Bulgaria
Roma	Roma
Makedonia	República de Macedonia
Albánia	Albania
Kalaallit Nunaat	Groenlandia
Kroatia	Croacia
Bosnia ja Hercegovina	Bosnia y Herzegovina
Nuuk	Nuuk
Aserbaižan	Azerbaiyán
Andorra	Andorra
Kypros	Chipre
Georgia	Georgia
Kasakstan	Kazajistán
Malta	Malta
Monaco	Mónaco
Montenegro	Montenegro
Vatikána	Ciudad del Vaticano
San Marino	San Marino
Bryssel	Región de Bruselas-Capital
Cuba	Cuba
Belize	Belice
Eiffel-toardna	Torre Eiffel
Barbados	Barbados
Boallobeavdi	Teclado (informática)
Indonesia	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Durkkagiella	Idioma turco
Lulli-Afrihkká	Sudáfrica
Algeria	Argelia
Usbekistan	Uzbekistán
Čurolastašattut	Drosera
Warszawa	Varsovia
Eurovision lávllagilvvohallan	Festival de la Canción de Eurovisión
Čáhci	Agua
Islánddagiella	Idioma islandés
Chile	Chile
Jesus	Jesús de Nazaret
Merkur	Mercurio (planeta)
Apple Inc.	Apple
Venus	Venus (planeta)
Giella	Lenguaje
Jupiter	Júpiter (planeta)
Álgobávkkeheapmi	Teoría del Big Bang
Uranus	Urano (planeta)
Neptun	Neptuno (planeta)
Singapore	Singapur
Liechtenstein	Liechtenstein
Nubbi máilmmisoahti	Segunda Guerra Mundial
Augusto Pinochet	Augusto Pinochet
Skopje	Skopie
Bob Dylan	Bob Dylan
Láhtengiella	Latín
Bahrain	Baréin
Armenia	Armenia
Higgsa boson	Bosón de Higgs
Serbia	Serbia
Mánnu	Luna
Istanbul	Estambul
Australia	Australia
Argentiinná	Argentina
Peru	Perú
Davvi-Korea	Corea del Norte
Cambodja	Camboya
Isláma	Islam
Pearamuorat	Pyrus
Ljubljana	Liubliana
Lech Wałęsa	Lech Wałęsa
Eurohpá uniovdna	Unión Europea
Rhône-Alpes	Ródano-Alpes
Sofia	Sofía
666	666
Mount Everest	Monte Everest
Beaivváš	Sol
Oseania	Oceanía
Beaivvášgoddi	Sistema Solar
Angela Merkel	Angela Merkel
Jándor	Día
Nuorta-Timor	Timor Oriental
Jahki	Año
Jahkečuohti	Siglo
Oslo	Oslo
Katowice	Katowice
Lisboa	Lisboa
Dubai	Dubái
Planehta	Planeta
Moskva	Moscú
Itáliagiella	Idioma italiano
Chad	Chad
Ođđa-Selánda	Nueva Zelanda
India	India
Tuvalu	Tuvalu
Tonga	Tonga
Samoa	Samoa
Salomonsullot	Islas Salomón
Vanuatu	Vanuatu
Papua-Ođđa-Guinea	Papúa Nueva Guinea
William Shakespeare	William Shakespeare
Palau	Palaos
Nauru	Nauru
Mikronesia	Estados Federados de Micronesia
Marshallsullot	Islas Marshall
Kiribati	Kiribati
Mongolia	Mongolia
Fiži	Fiyi
Venezuela	Venezuela
Šáhkka	Ajedrez
Maine	Maine
Heabuš	Equus ferus caballus
Amsterdam	Ámsterdam
Suriname	Surinam
Paraguay	Paraguay
Guyana	Guyana
Ecuador	Ecuador
Kolombia	Colombia
Eanamuorjjit	Fragaria
Buddhisma	Budismo
Bolivia	Bolivia
New Hampshire	Nuevo Hampshire
Leonardo da Vinci	Leonardo da Vinci
Saint Christopher ja Nevis	San Cristóbal y Nieves
Guobbarat	Fungi
Jamaica	Jamaica
Grenada	Granada (país)
Massachusetts	Massachusetts
Guatemala	Guatemala
Bahama	Bahamas
Connecticut	Connecticut
Antigua ja Barbuda	Antigua y Barbuda
Haváija	Hawái
Honduras	Honduras
Dominica	Dominica
Dominikána dásseváldi	República Dominicana
Haiti	Haití
El Salvador	El Salvador
Iran	Irán
Irak	Irak
Alaska	Alaska
Costa Rica	Costa Rica
Israel	Israel
Panama	Panamá
Jemen	Yemen
Polskkagiella	Idioma polaco
Jordánia	Jordania
Nicaragua	Nicaragua
Florida	Florida
