Aprika	África
Siapan	Japón
Saut Amerika	América del Sur
Nowe	Noruega
Inglan	Inglaterra
Skotlan	Escocia
Wels	Gales
Noten Aialan	Irlanda del Norte
Ripablik bilong Aialan	Irlanda
Hangari	Hungría
Spen	España
Ol Yunaitet Stet	Estados Unidos
Beljiam	Bélgica
Giraun	Tierra
Pinlan	Finlandia
Suwidan	Suecia
Denmak	Dinamarca
Polan	Polonia
Lituwenia	Lituania
Itali	Italia
Suwisalan	Suiza
Ostria	Austria
Gris	Grecia
Teki	Turquía
Posugol	Portugal
Yurop	Europa
Esia	Asia
Not Amerika	América del Norte
Wikipedia	Wikipedia
Ol Nitelan	Países Bajos
Niu Yok Siti	Nueva York
Wasington DC	Washington D. C.
Berlin	Berlín
Berne	Berna
Intanet	Internet
Barack Obama	Barack Obama
Landen	Londres
Kairo	El Cairo
Paris	París
Meksiko	México
Solwara Atlantik	Océano Atlántico
Solwara Pasifik	Océano Pacífico
Mande	Lunes
Janueri	Enero
Februeri	Febrero
Mas	Marzo
Epril	Abril
Me	Mayo
Jun	Junio
Julai	Julio
Ogas	Agosto
Septemba	Septiembre
Oktoba	Octubre
Novemba	Noviembre
Disemba	Diciembre
Tunde	Martes
Trinde	Miércoles
Fonde	Jueves
Fraide	Viernes
Sarere	Sábado
Sande	Domingo
Frens	Francia
Esperanto	Esperanto
Yunaitet Kingdom	Reino Unido
Ol Manmeri Ripablik bilong Saina	República Popular China
Tok Frens	Idioma francés
Wiktionary	Wikcionario
Rasia	Rusia
San Paulu	São Paulo
Siamani	Alemania
Belaras	Bielorrusia
Tok Jeman	Idioma alemán
Aislan	Islandia
God	Dios
Estonia	Estonia
George Walker Bush	George W. Bush
Latvia	Letonia
Yukren	Ucrania
Sek Ripablik	República Checa
Slovakia	Eslovaquia
Vilnius	Vilna
Romenia	Rumania
Balgeria	Bulgaria
Rom	Roma
Albenia	Albania
Greenland	Groenlandia
Krowesia	Croacia
Azerbaijan	Azerbaiyán
Andora	Andorra
Saipras	Chipre
San Marino	San Marino
Brussels	Bruselas
Indonisia	Indonesia
Saut Aprika	Sudáfrica
Woso	Varsovia
Tok Aislan	Idioma islandés
Jisas	Jesús de Nazaret
Histori	Historia
Tokples	Lenguaje
Yurenes (planet)	Urano (planeta)
Nicolas Sarkozy	Nicolas Sarkozy
Estronomi	Astronomía
Ubuntu	Ubuntu
Szczecin	Szczecin
Ol matematik	Matemáticas
U2	U2
Tok Latin	Latín
Armenia	Armenia
Sebia	Serbia
Mun (i stap long heven)	Luna
Ostrelia	Australia
Save long laip	Biología
Not Koria	Corea del Norte
Islam	Islam
Lyon	Lyon
Sofia	Sofía
San	Sol
Osenia	Oceanía
Wikimedia Commons	Wikimedia Commons
Buk	Libro
De	Día
Yia	Año
Oslo	Oslo
Katowice	Katowice
Planet	Planeta
Lille	Lille
Mosko	Moscú
Tok Itali	Idioma italiano
Niu Silan	Nueva Zelanda
India	India
Tuvalu	Tuvalu
Tonga	Tonga
Samoa	Samoa
Solomon Ailans	Islas Salomón
Vanuatu	Vanuatu
Papua Niugini	Papúa Nueva Guinea
Nauru	Nauru
Ol Masol Ailan	Islas Marshall
Kiribas	Kiribati
Fiji	Fiyi
Abus	Animalia
At	Arte
Budisim	Budismo
Sayor	Plantae
Irak	Irak
Israel	Israel
Panama	Panamá
Yemen	Yemen
Tok Polan	Idioma polaco
Amerika (Kontinen)	América
Malaysia	Malasia
Platon	Platón
Ripablik bilong Saina	República de China
Aristoteles	Aristóteles
Tailan	Tailandia
Vietnam	Vietnam
Saut Koria	Corea del Sur
Socrates	Sócrates
Bhutan	Bután
Brunai	Brunéi
Albert Einstein	Albert Einstein
Yelo (kala)	Amarillo
Beijing	Pekín
Gabon	Gabón
Gandi	Mahatma Gandhi
Lesoto	Lesoto
Naijiria	Nigeria
Senegal	Senegal
Sierra Leone	Sierra Leona
Julius Caesar	Julio César
Save long giraun	Geografía
Kala	Color
Blu (kala)	Azul
Bill Clinton	Bill Clinton
Yerusalem	Jerusalén
Kolorado	Colorado
Chicago	Chicago
Tok Spen	Idioma español
Mani	Dinero
Uetersen	Uetersen
Augustus Caesar	César Augusto
Trajan	Trajano
Tokyo	Tokio
Bagdad	Bagdad
Stockholm	Estocolmo
Dublin	Dublín
Reykjavik	Reikiavik
Talin	Tallin
Riga	Riga
Bratislava	Bratislava
Budapest	Budapest
Katolik	Catolicismo
Baibel	Biblia
Ho Chi Minh City	Ciudad Ho Chi Minh
Tru Jisas Lotu	Verdadera Iglesia de Jesús
Tokples Inglis	Idioma inglés
Andorra la Vella	Andorra la Vieja
Kuala Lumpur	Kuala Lumpur
Taipei	Taipéi
Đồng Hới	Đồng Hới
Concepción	Concepción (Chile)
Ottawa	Ottawa
Końskowola	Końskowola
2000	2000
2003	2003
2002	2002
2001	2001
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
1901	1901
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
1920	1920
1919	1919
1921	1921
1922	1922
1923	1923
1924	1924
Kurów	Kurów
1989	1989
1988	1988
1987	1987
1986	1986
1985	1985
1984	1984
1983	1983
1982	1982
1981	1981
1980	1980
1970	1970
1971	1971
1972	1972
1973	1973
1974	1974
1975	1975
1976	1976
1977	1977
1978	1978
1979	1979
1969	1969
Benedict XVI	Benedicto XVI
1968	1968
1967	1967
1966	1966
1965	1965
1964	1964
Palermo	Palermo
Soka	Fútbol
1963	1963
1962	1962
Madrid	Madrid
Michael Jackson	Michael Jackson
Göttingen	Gotinga
Kambra	Canberra
Ret (kala)	Rojo
1961	1961
Dakar	Dakar
Grup:Ol templet bilong tokples	Categoría:Wikipedia:Plantillas
1960	1960
Freetown	Freetown
Wes Papua	Nueva Guinea Occidental
Skul	Escuela
Osasku	Osasco
Ples balus Dong Hoi	Aeropuerto de Đồng Hới
Kuritiba	Curitiba
Jonathan Winters	Jonathan Winters
Sean Connery	Sean Connery
Kongzi	Confucio
Corbin Bleu	Corbin Bleu
Grup:Ol matematik	Categoría:Matemáticas
Templet:Country data Iran	Plantilla:Geodatos Irán
Euro	Euro
Jason Lee	Jason Lee
Lotu Kristen	Cristianismo
Kontinen	Continente
Kapitol	Capital (política)
Monzón	Monzón (Huesca)
Mun (taim)	Mes
1948	1948
1949	1949
Almazán	Almazán
1956	1956
1941	1941
1945	1945
1958	1958
1926	1926
1947	1947
1944	1944
1952	1952
Tokples Siapan	Idioma japonés
Ensaiklopedia	Enciclopedia
Fran pes	Wikipedia:Portada
1959	1959
1957	1957
Frank Lloyd Wright	Frank Lloyd Wright
Betlehem	Belén
Pilosopi	Filosofía
Grup:All articles proposed for deletion	Categoría:Wikipedia:Borrar (definitivo)
Piano	Piano
Ti	Té
Hebe Camargo	Hebe Camargo
Grup:Estronomi	Categoría:Astronomía
Carcassonne	Carcasona
Sahara	Desierto del Sahara
1801	1801
1802	1802
1803	1803
1804	1804
1805	1805
1806	1806
1807	1807
1808	1808
1809	1809
1810	1810
1811	1811
1812	1812
1813	1813
1814	1814
1815	1815
1816	1816
1817	1817
1818	1818
1819	1819
1820	1820
1821	1821
1822	1822
1823	1823
1824	1824
1825	1825
1826	1826
1827	1827
Buda	Buda (concepto)
Politikis	Política
Gavman	Gobierno
Kantri	Estado
Kamel	Camelus
1828	1828
1829	1829
1830	1830
1831	1831
1832	1832
1833	1833
1834	1834
1835	1835
1836	1836
1837	1837
1838	1838
1839	1839
1840	1840
1841	1841
1842	1842
1843	1843
1844	1844
Tok Rasia	Idioma ruso
Toksave long ol raits bilong ol manmeri long olgeta hap bilong dispela giraun	Declaración Universal de los Derechos Humanos
Tok Balgeria	Idioma búlgaro
Nelson Mandela	Nelson Mandela
Lajik	Lógica
Grama	Gramática
Ikonimikis	Economía
Yen bilong Siapan	Yen
Stadi bilong pasin bilong ol tokples	Lingüística
Hangul	Hangul
Grup:Pranis	Categoría:Francia
@@@u0026Weird Al@@@u0026 Yankovic	@@@u0026Weird Al@@@u0026 Yankovic
Alexander Makedon	Alejandro Magno
Edukesen	Educación
Famili	Familia
Kopi	Café
Sol	Seúl
Tokples long Albenia	Idioma albanés
Valencia	Valencia
Tok Denmak	Idioma danés
Tok Nowe	Idioma noruego
Tok Slovakia	Idioma eslovaco
Tok Hangari	Idioma húngaro
Tok Lituwenia	Idioma lituano
Tok Belaras	Idioma bielorruso
Tok Gris	Idioma griego
Tok Aialan	Idioma irlandés
Imel	Correo electrónico
Tokples Pesia	Idioma persa
Lotu	Religión
Tok Koria	Idioma coreano
Tok Vietnam	Idioma vietnamita
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
Judaisim	Judaísmo
Immanuel Kant	Immanuel Kant
Saikolosi	Psicología
Sidarta	Buda Gautama
Martin Luther	Martín Lutero
Elisabet II	Isabel II del Reino Unido
Ronald Reagan	Ronald Reagan
Fernando Alonso	Fernando Alonso
David Beckham	David Beckham
Gordon Brown	Gordon Brown
Tebol bilong ol elemen	Tabla periódica de los elementos
Diwai	Árbol
Kubuntu	Kubuntu
Grup:Romenia	Categoría:Rumania
Egrikalsa	Agricultura
Elektroniks	Electrónica
Ol kantri	Anexo:Países
Kensa	Cáncer
Soria	Soria
Ponferrada	Ponferrada
Templet:Location map Iceland	Plantilla:Mapa de localización de Islandia
Villarreal	Villarreal
Mislata	Mislata
Kokonas	Cocos nucifera
Ferdinand de Saussure	Ferdinand de Saussure
Unserdeutsch	Unserdeutsch
Kyushu	Kyūshū
Honshu	Honshū
Shikoku	Región de Shikoku
Ista Ailan	Isla de Pascua
Ethnologue	Ethnologue
Bensheim	Bensheim
Queen	Queen
Freddie Mercury	Freddie Mercury
Templet:Link FA	Plantilla:Destacado
Wol	Mundo
Vemont	Vermont
Koria	Corea
1925	1925
1927	1927
1955	1955
1954	1954
1953	1953
1951	1951
1950	1950
1946	1946
1943	1943
1942	1942
1940	1940
1939	1939
1938	1938
1937	1937
1936	1936
1935	1935
1934	1934
1933	1933
1932	1932
1931	1931
1930	1930
1929	1929
Pyongyang	Pionyang
Nupela Testamen	Nuevo Testamento
Nha Trang	Nha Trang
Maya Angelou	Maya Angelou
Pop	Papa
Rafael Correa	Rafael Correa
Busares	Bucarest
1928	1928
Olpela Testamen	Antiguo Testamento
Indo-Yuropien famili bilong tokples	Lenguas indoeuropeas
Breinigerberg	Breinigerberg
Gyeonggi	Gyeonggi
Ol Tokples Siamanik	Lenguas germánicas
Sosiolosi	Sociología
Taiwan	Isla de Taiwán
Bahai	Bahaísmo
Aialan	Irlanda (isla)
7	7
Wik	Semana
Antropolosi	Antropología
Ailan	Isla
Moshchena	Moshchena
Akiolosi	Arqueología
George H. W. Bush	George H. W. Bush
Paltoga	Paltoga
Quang Binh Provins	Quảng Bình
Protestan	Protestantismo
Bryan Cranston	Bryan Cranston
Bikpela Briten	Gran Bretaña
Kadinol daireksion	Punto cardinal
Lila Downs	Lila Downs
Famili bilong tokples	Familia de lenguas
Pichilemu	Pichilemu
Pukpuk	Crocodilia
Amerika	Amerika
Cabañas Raras	Cabañas Raras
Ardón (León)	Ardón (León)
Algadefe	Algadefe
Acebedo	Acebedo
Los Barrios de Luna	Los Barrios de Luna
Fresno de la Vega	Fresno de la Vega
La Antigua (Spen)	La Antigua (España)
Almanza	Almanza
El Burgo Ranero	El Burgo Ranero
Boca de Huérgano	Boca de Huérgano
Bustillo del Páramo	Bustillo del Páramo
Boñar	Boñar
Alija del Infantado	Alija del Infantado
Brazuelo	Brazuelo
Berlanga del Bierzo	Berlanga del Bierzo
Cabreros del Río	Cabreros del Río
Bercianos del Real Camino	Bercianos del Real Camino
Burón (León)	Burón (León)
Bercianos del Páramo	Bercianos del Páramo
Kokomo	Bucerotidae
Danny DeVito	Danny DeVito
Jerry Springer	Jerry Springer
Sentrel Amerika	América Central
Kaunti	Condado
Ecser	Ecser
Zhengzhou	Zhengzhou
Avril Lavigne	Avril Lavigne
Rouen	Ruan
Valery Leontiev	Valery Leontiev
Tok Hawai	Idioma hawaiano
Hiri Motu	Hiri motu
Niu Kaledonia	Nueva Caledonia
Marlon Brando	Marlon Brando
Tok Pisin	Tok pisin
Mošovce	Mošovce
Ajetiv bilong nambawan kain	Adjetivo
Kristen Otodos	Iglesia ortodoxa
Ido	Ido
44 yia i go bipo Jisas	44 a. C.
Bislama	Bislama
Hokkaido	Hokkaidō
Charles Bronson	Charles Bronson
Borneo	Isla de Borneo
Siligo	Siligo
Apia	Apia
Pot Mosbi	Puerto Moresby
.ru	.ru
.ad	.ad
Cork	Cork
Arancón	Arancón
.fi	.fi
.am	.am
.de	.de
.fr	.fr
Melanesia	Melanesia
.au	.au
.cz	.cz
Maket	Mercado
.at	.at
Pot Vila	Port Vila
Auckland Grammar School	Auckland Grammar School
.us	.us
.es	.es
.gr	.gr
.pl	.pl
.uk	.uk
Kaukau	Ipomoea batatas
Yokohama	Yokohama
.al	.al
.az	.az
.ee	.ee
.bg	.bg
.jp	.jp
.it	.it
Lubuntu	Lubuntu
.dk	.dk
.ca	.ca
.ch	.ch
Maikroekonomiks	Macroeconomía
.be	.be
Ágreda	Ágreda
.by	.by
.fj	.fj
.cl	.cl
.is	.is
.lt	.lt
.pt	.pt
.bt	.bt
Hobat	Hobart
Niugini	Nueva Guinea
.et	.et
.tv	.tv
.eg	.eg
23 yia i go bipo Jisas	23 a. C.
.se	.se
.cy	.cy
.kz	.kz
.hu	.hu
.ua	.ua
.mx	.mx
.kh	.kh
.no	.no
.id	.id
.tr	.tr
.eu	.eu
.ht	.ht
.sk	.sk
Julia Gillard	Julia Gillard
.to	.to
.lv	.lv
Saikoanalisis	Psicoanálisis
.kg	.kg
.mh	.mh
.kr	.kr
.ki	.ki
.tj	.tj
.kp	.kp
Frank Gorshin	Frank Gorshin
.ro	.ro
.vn	.vn
.nr	.nr
.ke	.ke
.vu	.vu
.na	.na
.ye	.ye
.ws	.ws
.sm	.sm
.tk	.tk
Kevin Rudd	Kevin Rudd
.pg	.pg
Plak bilong Siapan	Bandera de Japón
Jim Morrison	Jim Morrison
Dan Castellaneta	Dan Castellaneta
Cubillos del Sil	Cubillos del Sil
Igüeña	Igüeña
Noceda del Bierzo	Noceda del Bierzo
Castropodame	Castropodame
Páramo del Sil	Páramo del Sil
Molinaseca	Molinaseca
Congosto	Congosto (León)
Toreno	Toreno
Folgoso de la Ribera	Folgoso de la Ribera
.nu	.nu
Sancedo	Sancedo
The Doors	The Doors
Pécs	Pécs
Sios	Arquitectura religiosa
Plak bilong Pinlan	Bandera de Finlandia
Templet:Commons category	Plantilla:Commonscat
Morgan Freeman	Morgan Freeman
Plak bilong Albenia	Bandera de Albania
Dire Straits	Dire Straits
Richard Attenborough	Richard Attenborough
Templet:Taxobox	Plantilla:Ficha de taxón
Siete Aguas	Siete Aguas
Burjassot	Burjasot
El Royo	El Royo
János Áder	János Áder
Viktor Orbán	Viktor Orbán
Reyero	Reyero
La Ercina	La Ercina
Niu Briten	Nueva Bretaña
La Robla	La Robla
Santa Colomba de Curueño	Santa Colomba de Curueño
Santa María del Monte de Cea	Santa María del Monte de Cea
San Cristóbal de la Polantera	San Cristóbal de la Polantera
Otto Sander	Otto Sander
Santa María del Páramo	Santa María del Páramo
Santa Elena de Jamuz	Santa Elena de Jamuz
San Justo de la Vega	San Justo de la Vega
Xubuntu	Xubuntu
Plak bilong Solomon Ailans	Bandera de las Islas Salomón
Nonvailens	No violencia
Debrecen	Debrecen
Plak bilong Kanada	Bandera de Canadá
Quintana y Congosto	Quintana y Congosto
Matallana de Torío	Matallana de Torío
Harrison Ford	Harrison Ford
Plak bilong Andora	Bandera de Andorra
Kimi ga Yo	Himno Nacional de Japón
Szeged	Szeged
Plak bilong Ostrelia	Bandera de Australia
Plak bilong Hangari	Bandera de Hungría
Plak bilong Azerbaijan	Bandera de Azerbaiyán
Plak bilong Nowe	Bandera de Noruega
Robin Williams	Robin Williams
Gary Oldman	Gary Oldman
Tauns long Burgos provins	Anexo:Municipios de la provincia de Burgos
Ol taun bilong León provins	Anexo:Municipios de la provincia de León
Tauns long Soria provins	Anexo:Municipios de la provincia de Soria
Plak bilong Aislan	Bandera de Islandia
Plak bilong Indonisia	Bandera de Indonesia
Plak bilong Skotlan	Bandera de Escocia
Miskolc	Miskolc
Donald Sutherland	Donald Sutherland
Peter O'Toole	Peter O'Toole
Eli Wallach	Eli Wallach
Mickey Rooney	Mickey Rooney
Godelleta	Godelleta
Plak bilong Tuvalu	Bandera de Tuvalu
Holly Hunter	Holly Hunter
Stet	Estado federado
Meditesen	Meditación
James Garner	James Garner
Joey King	Joey King
Pacific Games	Juegos del Pacífico
Plak bilong Kiribas	Bandera de Kiribati
Saut Ailan	Isla Sur
Plak bilong Spen	Bandera de España
Haus bilong binen	Panal
Michael Caine	Michael Caine
Steve Irwin	Steve Irwin
Plak bilong Saut Koria	Bandera de Corea del Sur
Plak bilong Slovenia	Bandera de Eslovenia
Plak bilong Romenia	Bandera de Rumania
Grup:Manmeri bilong Hangari	Magiares
Dunedin	Dunedin
Kamikaze	Kamikaze
Lucillo	Lucillo
Cimanes de la Vega	Cimanes de la Vega
Cebrones del Río	Cebrones del Río
Quintana del Marco	Quintana del Marco
San Millán de los Caballeros	San Millán de los Caballeros
Cubillas de Rueda	Cubillas de Rueda
Cea (León)	Cea (León)
Garrafe de Torío	Garrafe de Torío
Santa María de Ordás	Santa María de Ordás
Cuadros	Cuadros
Llamas de la Ribera	Llamas de la Ribera
Riello	Riello (León)
Palacios de la Valduerna	Palacios de la Valduerna
Castrocalbón	Castrocalbón
Carrocera	Carrocera
Murias de Paredes	Murias de Paredes
Rioseco de Tapia	Rioseco de Tapia
Santa Cristina de Valmadrigal	Santa Cristina de Valmadrigal
Grajal de Campos	Grajal de Campos
Santa María de la Isla	Santa María de la Isla
Campo de Villavidel	Campo de Villavidel
Crémenes	Crémenes
Cimanes del Tejar	Cimanes del Tejar
Castilfalé	Castilfalé
Quintana del Castillo	Quintana del Castillo
Campazas	Campazas
Pajares de los Oteros	Pajares de los Oteros
San Pedro Bercianos	San Pedro Bercianos
Santa Marina del Rey	Santa Marina del Rey
Cebanico	Cebanico
Gordaliza del Pino	Gordaliza del Pino
Castrillo de la Valduerna	Castrillo de la Valduerna
Pozuelo del Páramo	Pozuelo del Páramo
Prado de la Guzpeña	Prado de la Guzpeña
Matanza (León)	Matanza de los Oteros
Santa Colomba de Somoza	Santa Colomba de Somoza
Cubillas de los Oteros	Cubillas de los Oteros
Mansilla Mayor	Mansilla Mayor
Gordoncillo	Gordoncillo
