Āfrika	África
Japāna	Japón
Dienvidamerika	América del Sur
Norvēģija	Noruega
Anglija	Inglaterra
Skotija	Escocia
Velsa	Gales
Ziemeļīrija	Irlanda del Norte
Īrija	Irlanda
Ungārija	Hungría
Spānija	España
Amerikas Savienotās Valstis	Estados Unidos
Beļģija	Bélgica
Luksemburga	Luxemburgo
Visums	Universo
Zeme	Tierra
Dzīvība	Vida
Nāve	Muerte
Cilvēks	Homo sapiens
Laime	Felicidad
Džordžs Vašingtons	George Washington
Duglass Adamss	Douglas Adams
Tims Bērnerss-Lī	Tim Berners-Lee
Imagine (dziesma)	Imagine (canción)
Stenlijs Kubriks	Stanley Kubrick
Vikidati	Wikidata
Somija	Finlandia
Zviedrija	Suecia
Dānija	Dinamarca
Polija	Polonia
Lietuva	Lituania
Itālija	Italia
Šveice	Suiza
Austrija	Austria
Grieķija	Grecia
Turcija	Turquía
Alus	Cerveza
Portugāle	Portugal
Eiropa	Europa
Āzija	Asia
Ziemeļamerika	América del Norte
Antarktīda	Antártida
Vikipēdija	Wikipedia
All your base are belong to us	All your base are belong to us
Nīderlande	Países Bajos
Dzimumloceklis	Pene
PHP	PHP
Ņujorka	Nueva York
Vašingtona	Washington D. C.
Sanfrancisko	San Francisco (California)
Berlīne	Berlín
Losandželosa	Los Ángeles
Boeing	Boeing
Airbus	Airbus
Dators	Computadora
Berne	Berna
Ženēva	Ginebra
Cīrihe	Zúrich
IRC	Internet Relay Chat
Internets	Internet
Baraks Obama	Barack Obama
Urugvaja	Uruguay
Bāzele	Basilea
Printeris	Impresora
MediaWiki	MediaWiki
Londona	Londres
Kaira	El Cairo
Galvassāpes	Cefalea
Aleksandrija	Alejandría
Aleksandrija (Virdžīnija)	Alexandria
Ābols	Manzana
Parīze	París
Abrahams Linkolns	Abraham Lincoln
Android	Android
Google	Google
Meksika	México
Atlantijas okeāns	Océano Atlántico
Klusais okeāns	Océano Pacífico
Kalifornija	California
Bostona	Boston
Pirmdiena	Lunes
Telpa	Espacio (física)
Janvāris	Enero
Februāris	Febrero
Marts	Marzo
Marss (planēta)	Marte (planeta)
Marss (mitoloģija)	Marte (mitología)
Kenija	Kenia
Etiopija	Etiopía
Monarhs	Monarca
Gana	Ghana
Aprīlis	Abril
Maijs	Mayo
Jūnijs	Junio
Jūlijs	Julio
Augusts	Agosto
Septembris	Septiembre
Oktobris	Octubre
Novembris	Noviembre
Decembris	Diciembre
Otrdiena	Martes
Trešdiena	Miércoles
Ceturtdiena	Jueves
Piektdiena	Viernes
Sestdiena	Sábado
Svētdiena	Domingo
Laidnis	Alfil
Bandinieks (šahs)	Peón (ajedrez)
Zirdziņš (šahs)	Caballo (ajedrez)
Tornis (šahs)	Torre (ajedrez)
Karalis (šahs)	Rey (ajedrez)
Dāma (šahs)	Dama (ajedrez)
Lauva	Panthera leo
Francija	Francia
Esperanto	Esperanto
Suns	Canis lupus familiaris
Apvienotā Karaliste	Reino Unido
Kaķis	Felis silvestris catus
Ķīna	República Popular China
Franču valoda	Idioma francés
Vikivārdnīca	Wikcionario
Zivis	Pisces
Etanols	Etanol
Alkoholiskie dzērieni	Bebida alcohólica
Brazīlija	Brasil
Spirti	Alcohol
Fransuā Olands	François Hollande
Krievija	Rusia
Vaļveidīgie	Cetacea
Optiskā šķiedra	Fibra óptica
Jorkšīra	Yorkshire
Kvadrāts	Cuadrado
Jūra	Mar
Melnā jūra	Mar Negro
Pī	Número π
Pī (burts)	Π
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
Sanpaulu	São Paulo
Sanpaulu (štats)	Estado de São Paulo
Kvebeka	Quebec
Pica	Pizza
Pasta (ēdiens)	Pasta
Boeing 747	Boeing 747
Wikimedia Foundation	Fundación Wikimedia
Džimijs Veilss	Jimmy Wales
English	English (desambiguación)
Vācija	Alemania
Baltkrievija	Bielorrusia
Lerijs Sendžers	Larry Sanger
Itālijas himna	Il Canto degli Italiani
Vācu valoda	Idioma alemán
Islande	Islandia
Dievs	Dios
Igaunija	Estonia
Deivids Kemerons	David Cameron
Saturns (planēta)	Saturno (planeta)
Saturna gredzeni	Anillos de Saturno
