Afirka	África
Japan	Japón
Norway	Noruega
Ireland	Irlanda
Hungariya	Hungría
An Spàinn	España
Amurika	Estados Unidos
Beljik	Bélgica
Luksamburg	Luxemburgo
Duniya	Tierra
Yan-adam	Homo sapiens
Finland	Finlandia
Sweden	Suecia
Denmark	Dinamarca
Poland	Polonia
Lithuania	Lituania
Italiya	Italia
Switzerland	Suiza
Austriya	Austria
Greek	Grecia
Turkiyya	Turquía
Portugal	Portugal
Turai	Europa
Asiya	Asia
Amirka ta Arewa	América del Norte
Wikipedia	Wikipedia
Berlin	Berlín
Airbus	Airbus
Na'ura	Computadora
Yanar gizo	Internet
Barack Obama	Barack Obama
Pariis	París
Kenya	Kenia
Ethiopia	Etiopía
Zaki	Panthera leo
Faransa	Francia
Esperanto	Esperanto
Kare	Canis lupus familiaris
Birtaniya	Reino Unido
Kyanwa	Felis silvestris catus
Sin	República Popular China
Kifi	Pisces
Rasha	Rusia
Teku	Mar
São Paulo	São Paulo
Jamus	Alemania
Iceland	Islandia
Istoniya	Estonia
Jirgin sama	Avión
Ɗaya	Uno
Biyu	Dos
Uku	Tres
Huɗu	Cuatro
Biyar	Cinco
Laitfiya	Letonia
Ukraniya	Ucrania
Kazech	República Checa
Slofakiya	Eslovaquia
Sloveniya	Eslovenia
MOldufiniya	Moldavia
Romainiya	Rumania
Bulgairiya	Bulgaria
Masadoiniya	República de Macedonia
Albaniya	Albania
Kroatiya	Croacia
Azerbaijan	Azerbaiyán
Andorra	Andorra
Cyprus	Chipre
Georgia (country)	Georgia
Kazakystan	Kazajistán
Malta	Malta
Monaco	Mónaco
Montenegro	Montenegro
Vatican	Ciudad del Vaticano
San Marino	San Marino
Indonesiya	Indonesia
Afirka ta kudu	Sudáfrica
Aljeriya	Argelia
Uzbekistan	Uzbekistán
Ruwa	Agua
Chile	Chile
Isa Almasihu	Jesús de Nazaret
Singafora	Singapur
Ilmi	Ciencia
Liechtenstein	Liechtenstein
Hitler	Adolf Hitler
Facebook	Facebook
Baharain	Baréin
Armeniya	Armenia
Serbiya	Serbia
Wata	Luna
Santanbul	Estambul
Asturaliya	Australia
Koriya ta Arewa	Corea del Norte
Kambodiya	Camboya
Musulunci	Islam
Rana	Sol
Angela Merkel	Angela Merkel
Timor-Leste	Timor Oriental
Duniyoyi	Planeta
Cadi	Chad
Indiya	India
