Afelika	África
Japan	Japón
Norge	Noruega
Hongrie	Hungría
Espania	España
Belezi	Bélgica
Luxembourg	Luxemburgo
Ntoto	Tierra
Muntu	Homo sapiens
Finlandi	Finlandia
Suedi	Suecia
Danemark	Dinamarca
Pologne	Polonia
Lietuva	Lituania
Italia	Italia
Suisi	Suiza
Autriche	Austria
Gelesi	Grecia
Turki	Turquía
Mputulukesi	Portugal
Mputu	Europa
Azia	Asia
Pays-Bas	Países Bajos
Berlin	Berlín
Ludinatelo	Computadora
Paris	París
Kenya	Kenia
Itiopia	Etiopía
Gana	Ghana
Nkosi	Panthera leo
Fwalansa	Francia
Royaume-Uni	Reino Unido
Nyawu	Felis silvestris catus
Sina	República Popular China
Kifalanse	Idioma francés
Brazil	Brasil
François Hollande	François Hollande
Rusia	Rusia
Kalunga	Mar
Alemanyi	Alemania
Belarusia	Bielorrusia
Kidoitce	Idioma alemán
Islande	Islandia
Estonia	Estonia
Ndèke	Avión
Vita	Guerra
4 (ntalu)	Cuatro
Latvia	Letonia
Uklenyi	Ucrania
République tchèque	República Checa
Slovakia	Eslovaquia
Slovenia	Eslovenia
Vilnius	Vilna
Moldova	Moldavia
Romania	Rumania
Balgaria	Bulgaria
Roma	Roma
Makedonia	República de Macedonia
Albania	Albania
Kroatia	Croacia
Bosna	Bosnia y Herzegovina
Azerbaidjan	Azerbaiyán
Andora	Andorra
Kipros	Chipre
Kazakhstan	Kazajistán
Malta	Malta
Monako	Mónaco
Monte Negro	Montenegro
Vatican	Ciudad del Vaticano
Saint-Marin	San Marino
Repubilika ya Afelika ya Sudi	Sudáfrica
Algeria	Argelia
Uzbekistan	Uzbekistán
Maza	Agua
Chile	Chile
Yesu	Jesús de Nazaret
Ndinga	Lenguaje
Kizabu	Ciencia
Liechtenstein	Liechtenstein
Ubuntu	Ubuntu
Skopje	Skopie
Kilatini	Latín
Bahrain	Baréin
Armenia	Armenia
Serbie	Serbia
Australia	Australia
Fizika	Física
Kisilamu	Islam
Mweta	Planeta
Moskva	Moscú
Saint Petersburg	San Petersburgo
Tasadi	Chad
Nôde	Norte
India	India
Kibende	Hierro
Kibulu	Animalia
Mutako	Cobre
Ayiti	Haití
Iran	Irán
Israel	Israel
Jordan	Jordania
Kuwait	Kuwait
Amelika	América
Oman	Omán
Qatar	Catar
Lukalu	Tren
Vietnam	Vietnam
Wolo	Oro
Mali	Malí
Ngola	Angola
Tanzania	Tanzania
Repubilika ya Afelika ya Kati	República Centroafricana
Togo	Togo
Tunisia	Túnez
Zambia	Zambia
Zimbabwe	Zimbabue
Beijing (kizunga)	Pekín
Sudan ya Sudi	Sudán del Sur
Benin	Benín
Botswana	Botsuana
Burkina Faso	Burkina Faso
Burundi	Burundi
Komoro	Comoras
Repubilika ya Kôngo	República del Congo
Repubilika ya Kôngo ya Dimokalasi	República Democrática del Congo
Djibuti	Yibuti
Bavaria	Baviera
Ginea ya Ekwatelo	Guinea Ecuatorial
Baden-Württemberg	Baden-Wurtemberg
Eritrea	Eritrea
Ngabu	Gabón
Gambia	Gambia
Ginea	Guinea
Ginea-Bisau	Guinea-Bisáu
Côte d'Ivoire	Costa de Marfil
Kamerun	Camerún
Kap Verde	Cabo Verde
Lesotho	Lesoto
Liberia	Liberia
Libia	Libia
Malagasi	Madagascar
Malawi	Malaui
Stuttgart	Stuttgart
Moritania	Mauritania
Mauritius	Mauricio
Maroko	Marruecos
Musambiki	Mozambique
Namibia	Namibia
Nijer	Níger
Nizeria	Nigeria
Uganda	Uganda
Rwanda	Ruanda
Santu Tome na Prinsipe	Santo Tomé y Príncipe
Senangale	Senegal
Seychell	Seychelles
Sierra Leone	Sierra Leona
Sômâlia	Somalia
Sudan	Sudán
Swati	Suazilandia
Hamburg	Hamburgo
Langi	Color
Prague	Praga
Bule	Azul
Schleswig-Holstein	Schleswig-Holstein
Mecklenburg-Vorpommern	Mecklemburgo-Pomerania Occidental
Niedersachsen	Baja Sajonia
Nordrhein-Westfalen	Renania del Norte-Westfalia
Hessen	Hesse
Rheinland-Pfalz	Renania-Palatinado
Saarland	Sarre
Sachsen	Sajonia
Thüringen	Turingia
Sachsen-Anhalt	Sajonia-Anhalt
Brandenburg	Brandeburgo
Bremen (kizunga)	Bremen (estado)
Kalasi:Categories	Categoría:Índice de categorías
Kispanya	Idioma español
Mbuma	Fruto
Uetersen	Uetersen
Tomabîlu	Automóvil
Bordo	Burdeos
Barcelona	Barcelona
Nanasi	Ananas comosus
Kihindi	Hindi
Potsdam	Potsdam
Munich	Múnich
Stockholm	Estocolmo
Vaduz	Vaduz
Biblia	Biblia
Ho Chi Minh City	Ciudad Ho Chi Minh
Dibundu ya Kieleka ya Yesu	Verdadera Iglesia de Jesús
Kingelezi	Idioma inglés
Đồng Hới	Đồng Hới
Concepción	Concepción (Chile)
Końskowola	Końskowola
1917	1917
Kurów	Kurów
1971	1971
1969	1969
Santiago de Chile	Santiago de Chile
Loire-Atlantique	Loira Atlántico
Ain (kizunga)	Ain
Aisne (kizunga)	Aisne
Vosges (kizunga)	Vosgos (departamento)
Allier (kizunga)	Allier
Jura (kizunga)	Jura (departamento)
Hautes-Alpes	Altos Alpes
Alpes-de-Haute-Provence	Alpes de Alta Provenza
Alpes-Maritimes	Alpes Marítimos (departamento de Francia)
Ardèche (kizunga)	Ardèche
Ardennes (kizunga)	Ardenas
Ariège (kizunga)	Ariège
Aube (kizunga)	Aube
Aude (kizunga)	Aude
Aveyron (kizunga)	Aveyron
Bouches-du-Rhône	Bocas del Ródano
Calvados (kizunga)	Calvados
Cantal (kizunga)	Cantal
Charente (kizunga)	Charente
Charente-Maritime	Charente Marítimo
Cher (kizunga)	Cher (departamento)
Corrèze (kizunga)	Corrèze
Haute-Corse	Alta Córcega
Corse-du-Sud	Córcega del Sur
Côte-d'Or	Côte-d'Or
Côtes-d'Armor	Côtes-d'Armor
Creuse (kizunga)	Creuse (departamento)
Dordogne (kizunga)	Dordoña (departamento)
Doubs (kizunga)	Doubs
Drôme (kizunga)	Drôme
Essonne (kizunga)	Essonne
Eure (kizunga)	Eure
Eure-et-Loir	Eure y Loir
Finistère	Finisterre (Francia)
Nilo	Nilo
Nzâdi Kôngo	Río Congo
Adis Abeba	Adís Abeba
Ndjamena	Yamena
Bamako	Bamako
Chiguayante	Chiguayante
Guyane	Guayana Francesa
Chillán	Chillán
Abuja	Abuya
Tübingen	Tubinga
Libreville	Libreville
Kinsasa	Kinsasa
Balazavile	Brazzaville
Dodoma	Dodoma
Lwanda	Luanda
Windhoek	Windhoek
Mubu	Río
Osasko	Osasco
Kuritiba	Curitiba
Afelika ya Lumonso	África Occidental
Georgia (country)	Georgia (desambiguación)
Kiyesu	Cristianismo
Kontina	Continente
Mbanza ya kimfumu	Capital (política)
Monzón	Monzón (Huesca)
Kimputulukesi	Idioma portugués
Ngonda (manaka)	Mes
Almazán	Almazán
Mukânda ya ngudi	Wikipedia:Portada
Saratov	Sarátov
Troyes	Troyes
Kalasi:Candidates for speedy deletion	Categoría:Wikipedia:Borrar (definitivo)
Montpellier	Montpellier
Carcassonne	Carcasona
Poitiers	Poitiers
Agen	Agen
Kimvuka ya Afelika	Unión Africana
Dimokalasi	Democracia
