Áfríkà	África
Japan	Japón
Gúúsù Amẹ́ríkà	América del Sur
Nọ́rwèy	Noruega
Ilẹ̀gẹ̀ẹ́sì	Inglaterra
Skọ́tlándì	Escocia
Wélsì	Gales
Írẹ́lándì Apáàríwá	Irlanda del Norte
Írẹ́lándì	Irlanda
Húngárì	Hungría
Spéìn	España
Àwọn Ìpínlẹ̀ Aṣọ̀kan Amẹ́ríkà	Estados Unidos
Bẹ́ljíọ̀m	Bélgica
Lúksẹ́mbọ̀rg	Luxemburgo
Ayé	Tierra
Ọmọnìyàn	Homo sapiens
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Fínlándì	Finlandia
Swídìn	Suecia
Dẹ́nmárkì	Dinamarca
Pólàndì	Polonia
Lituéníà	Lituania
Itálíà	Italia
Swítsàlandì	Suiza
Austríà	Austria
Gríìsì	Grecia
Túrkì	Turquía
Pọ́rtúgàl	Portugal
Europe	Europa
Ásíà	Asia
Àríwá Amẹ́ríkà	América del Norte
Antárktìkà	Antártida
Wikipedia	Wikipedia
Nẹ́dálándì	Países Bajos
New York	Nueva York
Washington, D.C.	Washington D. C.
San Francisco	San Francisco (California)
Berlin	Berlín
Los Angeles	Los Ángeles
Kọ̀mpútà	Computadora
Berne	Berna
Geneva	Ginebra
Zürich	Zúrich
Internet Relay Chat	Internet Relay Chat
Internet	Internet
Barack Obama	Barack Obama
Urugúáì	Uruguay
MediaWiki	MediaWiki
Lọndọnu	Londres
Káírò	El Cairo
Parisi	París
Abraham Lincoln	Abraham Lincoln
Google	Google
Mẹ́ksíkò	México
Òkun Atlántíkì	Océano Atlántico
Òkun Pàsífíkì	Océano Pacífico
Kalifọ́rníà	California
Boston	Boston
Ọjọ́ Ajé	Lunes
Oṣù Kínní	Enero
Oṣù Kejì	Febrero
Oṣù Kẹta	Marzo
Mársì	Marte (planeta)
Kẹ́nyà	Kenia
Ethiópíà	Etiopía
Ghánà	Ghana
Oṣù Kẹrin	Abril
Oṣù Kàrún	Mayo
Oṣù Kẹfà	Junio
Oṣù Keje	Julio
Oṣù Kẹjọ	Agosto
Oṣù Kẹ̀sán	Septiembre
Oṣù Kẹ̀wá	Octubre
Oṣù Kọkànlá	Noviembre
Oṣù Kejìlá	Diciembre
Ọjọ́ Ìsẹ́gun	Martes
Ọjọ́rú	Miércoles
Ọjọ́bọ̀	Jueves
Ọjọ́ Ẹtì	Viernes
Ọjọ́ Àbámẹ́ta	Sábado
Ọjọ́ Àìkú	Domingo
Kìnìún	Panthera leo
Fránsì	Francia
Èdè Esperanto	Esperanto
Ajá	Canis lupus familiaris
Ilẹ̀ọba Aṣọ̀kan	Reino Unido
Ológbò	Felis silvestris catus
Orílẹ̀-èdè Olómìnira àwọn Ará ilẹ̀ Ṣáínà	República Popular China
Èdè Faransé	Idioma francés
Brasil	Brasil
Ọtí	Alcohol
François Hollande	François Hollande
Rọ́síà	Rusia
Alọ́poméjì	Cuadrado
Òkun Dúdú	Mar Negro
Pi	Número π
Wiki	Wiki
Toronto	Toronto
Ìpínlẹ̀ Alabama	Alabama
São Paulo	São Paulo
Sao Paulo (ìpínlẹ̀)	Estado de São Paulo
Wikimedia	Fundación Wikimedia
Jẹ́mánì	Alemania
Bẹ̀lárùs	Bielorrusia
Il Canto degli Italiani	Il Canto degli Italiani
Èdè Jẹ́mánì	Idioma alemán
Íslándì	Islandia
Ọlọ́run	Dios
Estóníà	Estonia
David Cameron	David Cameron
Sátúrnù	Saturno (planeta)
Ọkọ̀ òfurufú	Avión
Ogun	Guerra
1 (nọ́mbà)	Uno
2 (nọ́mbà)	Dos
3 (nọ́mbà)	Tres
4 (nọ́mbà)	Cuatro
5 (nọ́mbà)	Cinco
0 (nọ́mbà)	Cero
Stephen Harper	Stephen Harper
George Walker Bush	George W. Bush
Látfíà	Letonia
Ukréìn	Ucrania
Tsẹ́kì Olómìnira	República Checa
Slofákíà	Eslovaquia
Sloféníà	Eslovenia
Filnius	Vilna
Móldófà	Moldavia
Románíà	Rumania
Bùlgáríà	Bulgaria
Rómù	Roma
Orílẹ̀-èdè Olómìnira ilẹ̀ Makẹdóníà	República de Macedonia
Albáníà	Albania
Grínlándì	Groenlandia
Kroatíà	Croacia
Bósníà àti Hẹrjẹgòfínà	Bosnia y Herzegovina
Nuuk	Nuuk
Azerbaijan	Azerbaiyán
Àndórà	Andorra
Kíprù	Chipre
Georgia	Georgia
Kàsàkstán	Kazajistán
Máltà	Malta
Mónakò	Mónaco
Montenẹ́grò	Montenegro
Ìlú Fatikan	Ciudad del Vaticano
San Màrínò	San Marino
Kúbà	Cuba
Bẹ̀lísè	Belice
Bárbádọ̀s	Barbados
Indonésíà	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Ludwig van Beethoven	Ludwig van Beethoven
Èdè Túrkì	Idioma turco
Gúúsù Áfríkà	Sudáfrica
Àlgéríà	Argelia
Wikisource	Wikisource
Ùsbẹ̀kìstán	Uzbekistán
Tashkent	Taskent
Warsaw	Varsovia
Omi	Agua
Tẹlifísàn	Televisión
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Tsílè	Chile
Jésù	Jesús de Nazaret
Elvis Presley	Elvis Presley
Sebastián Piñera	Sebastián Piñera
Galileo Galilei	Galileo Galilei
Mẹ́rkúríù (plánẹ̀tì)	Mercurio (planeta)
Ìtàn	Historia
Apple Inc.	Apple
Àgùàlà	Venus (planeta)
Èdè	Lenguaje
Júpítérì	Júpiter (planeta)
Michelle Bachelet	Michelle Bachelet
Úránù	Urano (planeta)
Eduardo Frei Ruiz-Tagle	Eduardo Frei Ruiz-Tagle
Nicolas Sarkozy	Nicolas Sarkozy
Ricardo Lagos	Ricardo Lagos
Nẹ́ptúnù	Neptuno (planeta)
Ìtòràwọ̀	Astronomía
Singapore	Singapur
Patricio Aylwin	Patricio Aylwin
Sáyẹ́nsì	Ciencia
Plùtò	Plutón (planeta enano)
Màríà (ìyá Jésù)	María (madre de Jesús)
Louis 9k ilẹ̀ Fránsì	Luis IX de Francia
Líktẹ́nstáìnì	Liechtenstein
Adolf Hitler	Adolf Hitler
Ogun Àgbáyé Kìíní	Primera Guerra Mundial
Ogun Àgbáyé Ẹlẹ́ẹ̀kejì	Segunda Guerra Mundial
Augusto Pinochet	Augusto Pinochet
Skopje	Skopie
Bob Dylan	Bob Dylan
Mathimátíkì	Matemáticas
Èdè Látìnì	Latín
Báháráìnì	Baréin
Arméníà	Armenia
Bósónì Higgs	Bosón de Higgs
Sérbíà	Serbia
Òṣùpá	Luna
Istanbul	Estambul
Austrálíà	Australia
Bob Marley	Bob Marley
Físíksì	Física
Argẹntínà	Argentina
Ìbánisọ̀rọ̀-ọ̀ọ́kán	Telecomunicación
Perú	Perú
Kòréà Àríwá	Corea del Norte
Kàmbódíà	Camboya
Kùránì	Corán
Ìmàle	Islam
Ljubljana	Liubliana
Salvador Allende	Salvador Allende
Lech Wałęsa	Lech Wałęsa
Ìṣọ̀kan Europe	Unión Europea
Obìnrin	Mujer
Sofia	Sofía
Eduardo Frei Montalva	Eduardo Frei Montalva
Ewì	Poesía
Émile Zola	Émile Zola
666	666
Ìlú	Ciudad
Napoleon Bonaparte	Napoleón Bonaparte
Ìràwọ̀	Estrella
Òrùn	Sol
Louis Pasteur	Louis Pasteur
Victor Hugo	Victor Hugo
Oṣéáníà	Oceanía
Sístẹ̀mù Òrùn	Sistema Solar
Háídrójìn	Hidrógeno
Hílíọ̀mù	Helio
Wikimedia Commons	Wikimedia Commons
Angela Merkel	Angela Merkel
Lítíọ̀mù	Litio
Bẹ́rílíọ̀mù	Berilio
Ìwé	Libro
Ọjọ́	Día
Ìlàòrùn Timor	Timor Oriental
Jorge Alessandri	Jorge Alessandri
Ọdún	Año
Ọ̀rúndún	Siglo
Carlos Ibáñez del Campo	Carlos Ibáñez del Campo
Oslo	Oslo
Lisbon	Lisboa
Dubai	Dubái
Bórọ̀nù	Boro
Nicolaus Copernicus	Nicolás Copérnico
Kárbọ̀nù	Carbono
Nítrójìn	Nitrógeno
Ọ́ksíjìn	Oxígeno
Plánẹ̀tì	Planeta
Cleopatra 7k	Cleopatra VII
Orin	Música
Lille	Lille
Mọsko	Moscú
Fluorínì	Flúor
Nẹ́ọ̀nù	Neón
Saint Petersburg	San Petersburgo
Tsad	Chad
Sódíọ̀mù	Sodio
Àríwá	Norte
Magnésíọ̀mù	Magnesio
Alumíníọ̀mù	Aluminio
New Zealand	Nueva Zelanda
Índíà	India
Sílíkọ́nù	Silicio
Fránsíọ̀m	Francio
Tufalu	Tuvalu
Fósfórù	Fósforo
André-Marie Ampère	André-Marie Ampère
Iron	Hierro
Tóngà	Tonga
Alessandro Volta	Alessandro Volta
Súlfúrù	Azufre
Sàmóà	Samoa
Àwọn Erékùsù Sólómọ́nì	Islas Salomón
Fanuatu	Vanuatu
Molière	Molière
Klorínì	Cloro
Papua Guinea Titun	Papúa Nueva Guinea
William Shakespeare	William Shakespeare
Páláù	Palaos
Árgọ̀nù	Argón
Nàúrù	Nauru
Àwọn Ìpínlẹ̀ Àṣepapọ̀ ilẹ̀ Mikronésíà	Estados Federados de Micronesia
Pòtásíọ̀mù	Potasio
Calcium	Calcio
Òjé	Plomo
Àwọn Erékùṣù Marshall	Islas Marshall
Kìrìbátì	Kiribati
Mòngólíà	Mongolia
Fíjì	Fiyi
Scandium	Escandio
Stevie Wonder	Stevie Wonder
Titaniomu	Titanio
Fenesuela	Venezuela
Saginaw	Saginaw
Banadiomu	Vanadio
Maine	Maine
Krómíọ̀mù	Cromo
Amsterdam	Ámsterdam
Ẹranko	Animalia
Sùrìnámù	Surinam
Manganisi	Manganeso
Paragúáì	Paraguay
Gùyánà	Guyana
Ọnà	Arte
Ẹ̀kùàdọ̀r	Ecuador
Rhenium	Renio
Kòlómbìà	Colombia
Cobalt	Cobalto
Wolframu	Wolframio
Nickel	Níquel
Ẹ̀sìn Búddà	Budismo
Bòlífíà	Bolivia
Osmium	Osmio
Bàbà	Cobre
Trínídád àti Tòbágò	Trinidad y Tobago
Ọ̀gbìn	Plantae
Saint Vincent àti àwọn Grẹnadínì	San Vicente y las Granadinas
Zinc	Cinc
New Hampshire	Nuevo Hampshire
Lùsíà Mímọ́	Santa Lucía
Leonardo da Vinci	Leonardo da Vinci
Saint Kitts àti Nevis	San Cristóbal y Nieves
Èbu	Fungi
Dario Fo	Dario Fo
Jamáíkà	Jamaica
Grẹ̀nádà	Granada (país)
Massachusetts	Massachusetts
Guatẹmálà	Guatemala
Àwọn Bàhámà	Bahamas
Connecticut	Connecticut
Ántígúà àti Bàrbúdà	Antigua y Barbuda
Hawaii	Hawái
Họ̀ndúràs	Honduras
Dòmíníkà	Dominica
Jersey	Jersey
Orílẹ̀òmìnira Dómíníkì	República Dominicana
Òkun Árktìkì	Océano Ártico
Hàítì	Haití
El Salfador	El Salvador
Ìránì	Irán
Irak	Irak
Alaska	Alaska
Kóstá Rikà	Costa Rica
Ísráẹ́lì	Israel
Panamá	Panamá
Yemen	Yemen
Lausanne	Lausana
Èràn	Virus
Èdè Pólándì	Idioma polaco
Jọ́rdánì	Jordania
Nikarágúà	Nicaragua
Florida	Florida
Kirgistani	Kirguistán
Gabriel González Videla	Gabriel González Videla
Arizona	Arizona
Kuwaiti	Kuwait
Láọ̀s	Laos
Juan Antonio Ríos	Juan Antonio Ríos
Lẹ́bánọ́nì	Líbano
Oregon	Oregón
Àwọn Maldive	Maldivas
Amẹ́ríkà	América
Utah	Utah
Malaysia	Malasia
Myanmar	Birmania
Nepal	Nepal
Oman	Omán
Pakístàn	Pakistán
Pedro Aguirre Cerda	Pedro Aguirre Cerda
Katar	Catar
Tẹ́nìs	Tenis
Arturo Alessandri	Arturo Alessandri
Sáúdí Arábíà	Arabia Saudita
Sri Lanka	Sri Lanka
Joseph Stalin	Iósif Stalin
Juan Luis Sanfuentes	Juan Luis Sanfuentes
Síríà	Siria
Plato	Platón
Gallium	Galio
Joseph Brodsky	Joseph Brodsky
Tajikistan	Tayikistán
Orílẹ̀-èdè Olómìnira ilẹ̀ Ṣáínà	República de China
Jẹ́rmáníọ́mù	Germanio
Aristotulu	Aristóteles
Tháílàndì	Tailandia
Arsenic	Arsénico
Meryl Streep	Meryl Streep
Turkmẹ́nìstán	Turkmenistán
Selenium	Selenio
Iridium	Iridio
Àwọn Ẹ́mírétì Árábù Aṣọ̀kan	Emiratos Árabes Unidos
Brómìnì	Bromo
Platinum	Platino
Fiẹtnám	Vietnam
Kòréà Gúúsù	Corea del Sur
Krypton	Kriptón
Afghanístàn	Afganistán
J. R. R. Tolkien	J. R. R. Tolkien
Rubidium	Rubidio
Wúrà	Oro
Ìladò Suez	Canal de Suez
Bangladẹ́shì	Bangladés
Bleach (mángà)	Bleach
Franz Kafka	Franz Kafka
Jorge Luis Borges	Jorge Luis Borges
Málì	Malí
Socrates	Sócrates
Àngólà	Angola
Bhùtán	Bután
Brunei	Brunéi
Tànsáníà	Tanzania
Fàdákàolómi	Mercurio (elemento)
Roald Amundsen	Roald Amundsen
Harry Mulisch	Harry Mulisch
Filipínì	Filipinas
Orílẹ̀-èdè Olómìnira Àrin Áfríkà	República Centroafricana
Thallium	Talio
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Strontium	Estroncio
Yttrium	Itrio
Bismuth	Bismuto
Tógò	Togo
Donald Tusk	Donald Tusk
Tùnísíà	Túnez
John Bardeen	John Bardeen
Sámbíà	Zambia
Sìmbábúè	Zimbabue
Beijing	Pekín
Gúúsù Sudan	Sudán del Sur
Benin	Benín
Bòtswánà	Botsuana
Wikinews	Wikinoticias
Bùrkínà Fasò	Burkina Faso
Bùrúndì	Burundi
Kòmórò	Comoras
Orílẹ̀-èdè Olómìnira ilẹ̀ Kóngò	República del Congo
Orílẹ̀-èdè Olómìnira Olóṣèlú ilẹ̀ Kóngò	República Democrática del Congo
San Antonio	San Antonio (Texas)
Djìbútì	Yibuti
Polonium	Polonio
Bavaria	Baviera
Guinea Alágedeméjì	Guinea Ecuatorial
Baden-Württemberg	Baden-Wurtemberg
Ẹritrẹ́à	Eritrea
Delhi Titun	Nueva Delhi
Pópù Jòhánù Páúlù Èkejì	Juan Pablo II
Fyodor Dostoyevsky	Fiódor Dostoyevski
Tbilisi	Tiflis
Andrei Sakharov	Andréi Sájarov
Astatínì	Ástato
Gàbọ̀n	Gabón
Mohandas Karamchand Gandhi	Mahatma Gandhi
Gámbíà	Gambia
Guinea	Guinea
Guinea-Bissau	Guinea-Bisáu
Côte d'Ivoire	Costa de Marfil
Kamẹrúùn	Camerún
Kepu Ferde	Cabo Verde
Lèsóthò	Lesoto
Làìbéríà	Liberia
Líbyà	Libia
Madagáskàr	Madagascar
Màláwì	Malaui
Stuttgart	Stuttgart
Mauritáníà	Mauritania
Àwọn ọmọ Pólàndì	Pueblo polaco
Mọ́rísì	Mauricio
Mòrókò	Marruecos
Mòsámbìk	Mozambique
Nàmíbíà	Namibia
Nìjẹ̀r	Níger
Nàìjíríà	Nigeria
Charles Darwin	Charles Darwin
Ùgándà	Uganda
Rùwándà	Ruanda
Zirconium	Circonio
Sao Tome àti Principe	Santo Tomé y Príncipe
Sẹ̀nẹ̀gàl	Senegal
Ṣèíhẹ́lẹ́sì	Seychelles
Carl Linnaeus	Carlos Linneo
Siẹrra Léònè	Sierra Leona
Sòmálíà	Somalia
Niobium	Niobio
Jawaharlal Nehru	Sri Pandit Jawaharlal Nehru
Juliu Késárì	Julio César
Sudan	Sudán
Swásílándì	Suazilandia
Molybdenum	Molibdeno
Technetium	Tecnecio
Hamburg	Hamburgo
Gujarat	Guyarat
Àgbájọ àwọn Orílẹ̀-èdè Aṣòkan	Organización de las Naciones Unidas
Dante Alighieri	Dante Alighieri
Jẹ́ọ́gráfì	Geografía
Ọkàn	Corazón
Prague	Praga
Ruthenium	Rutenio
Rhodium	Rodio
Palladium	Paladio
Fàdákà	Plata
Kadmium	Cadmio
Indium	Indio (elemento)
Tánganran	Estaño
Ùráníọ̀m	Uranio
Antimony	Antimonio
Tellurium	Telurio
Plùtòníọ̀m	Plutonio
Iodínì	Yodo
Nẹ́ptúníọ̀m	Neptunio
Ksenon	Xenón
Anime	Anime
Kesium	Cesio
Protaktiníọ̀m	Protactinio
Àdìjọ ìtanná	Carga eléctrica
Barium	Bario
Tóríọ̀m	Torio
Hafnium	Hafnio
Àktíníọ̀m	Actinio
Tantalum	Tantalio
Bill Clinton	Bill Clinton
Radiomu	Radio (elemento)
Radon	Radón
Ununennium	Ununennio
Indira Gandhi	Indira Gandhi
Mumbai	Bombay
Andhra Pradesh	Andhra Pradesh
Arunachal Pradesh	Arunachal Pradesh
Assam	Assam
Bihar	Bihar
Michigan	Míchigan
Chhattisgarh	Chhattisgarh
Goa	Goa
Haryana	Haryana
Himachal Pradesh	Himachal Pradesh
Jammu àti Kashmir	Jammu y Cachemira
Púẹ́rtò Ríkò	Puerto Rico
Jharkhand	Jharkhand
Karnataka	Karnataka
Kerala	Kerala
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Maharashtra	Maharastra
Manipur	Manipur
Schleswig-Holstein	Schleswig-Holstein
Meghalaya	Megalaya
Mecklenburg-Vorpommern	Mecklemburgo-Pomerania Occidental
Lower Saxony	Baja Sajonia
Nordrhein-Westfalen	Renania del Norte-Westfalia
Hesse	Hesse
Rhineland-Palatinate	Renania-Palatinado
Saarland	Sarre
Saxony	Sajonia
John Lennon	John Lennon
Illinois	Illinois
Thuringia	Turingia
Saxony-Anhalt	Sajonia-Anhalt
Àríwá Dakota	Dakota del Norte
Brandenburg	Brandeburgo
Bremen (ìpínlẹ̀)	Bremen (estado)
Gúúsù Dakota	Dakota del Sur
Montana	Montana
Wyoming	Wyoming
Jerúsálẹ́mù	Jerusalén
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Ìpínlẹ̀ Washington	Washington (estado)
Carlo Azeglio Ciampi	Carlo Azeglio Ciampi
Rutherfordium	Rutherfordio
Nevada	Nevada
Oscar Luigi Scalfaro	Oscar Luigi Scalfaro
Francesco Cossiga	Francesco Cossiga
Dubnium	Dubnio
Sandro Pertini	Sandro Pertini
Seaborgium	Seaborgio
Giovanni Leone	Giovanni Leone
Giuseppe Saragat	Giuseppe Saragat
Òkun Índíà	Océano Índico
Antonio Segni	Antonio Segni
Giovanni Gronchi	Giovanni Gronchi
Luigi Einaudi	Luigi Einaudi
Enrico De Nicola	Enrico De Nicola
Kósófò	Kosovo
Òkun Kàríbẹ́ánì	Mar Caribe
Bohriomu	Bohrio
Hassiomu	Hassio
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Boutros Boutros-Ghali	Butros Butros-Ghali
Meitneriomu	Meitnerio
Javier Pérez de Cuéllar	Javier Pérez de Cuéllar
Kurt Waldheim	Kurt Waldheim
Colorado	Colorado
Darmstadtium	Darmstadio
Dag Hammarskjöld	Dag Hammarskjöld
Frédéric Chopin	Frédéric Chopin
Roentgenium	Roentgenio
Kopernisiomu	Copernicio
Ẹ̀ka:Àwọn àkóónú	Categoría:Índice de categorías
Blaise Pascal	Blaise Pascal
Ramón Barros Luco	Ramón Barros Luco
Ṣìkágò	Chicago
Pedro Montt	Pedro Montt
The Beatles	The Beatles
Germán Riesco	Germán Riesco
Ununtrium	Ununtrio
Flẹ́rófíọ́mù	Flerovio
Ununpentium	Unumpentio
Livermorium	Livermorio
Ununseptium	Ununseptio
Ununoctium	Ununoctio
Saddam Hussein	Sadam Husein
Osama bin Laden	Osama bin Laden
Federico Errázuriz Echaurren	Federico Errázuriz Echaurren
Jorge Montt	Jorge Montt
Èdè Spéìn	Idioma español
José Manuel Balmaceda	José Manuel Balmaceda
Domingo Santa María	Domingo Santa María
Aníbal Pinto	Aníbal Pinto
Friedrich Hayek	Friedrich Hayek
Federico Errázuriz Zañartu	Federico Errázuriz Zañartu
José Joaquín Pérez	José Joaquín Pérez Mascayano
Manuel Montt	Manuel Montt
Manuel Bulnes	Manuel Bulnes
José Joaquín Prieto	José Joaquín Prieto
Manuel Blanco Encalada	Manuel Blanco Encalada
Ramón Freire	Ramón Freire
Francisco Antonio Pinto	Francisco Antonio Pinto
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Philadelphia	Filadelfia
Delhi	Delhi
Dhaka	Daca
Bangalore	Bangalore
Ìwọòrùn Bẹ̀ngál	Bengala Occidental
Islàmabad	Islamabad
Tripura	Tripura
Ọ̀bọ	Mono
Firginia	Virginia
Ìwọ̀orùn Firginia	Virginia Occidental
Ìpínlẹ̀ New York	Nueva York (estado)
Cerium	Cerio
Praseodymium	Praseodimio
Erékùṣù Rhode	Rhode Island
Neodymium	Neodimio
Kòkòrò	Insecta
Maryland	Maryland
Delaware	Delaware
Vladimir Lenin	Lenin
Europium	Europio
Ohio	Ohio
Virgil	Virgilio
Niccolò Machiavelli	Nicolás Maquiavelo
Pennsylvania	Pensilvania
Luigi Pirandello	Luigi Pirandello
Uetersen	Uetersen
Augustus	César Augusto
Microsoft Windows	Microsoft Windows
Tiberius	Tiberio
New Jersey	Nueva Jersey
Caligula	Calígula
Gibraltar	Gibraltar
Claudius	Claudio
Èdè Fínlándì	Idioma finés
Nero	Nerón
Galba	Galba
Indiana	Indiana
Otho	Otón
Vitellius	Vitelio
Vespasian	Tito Flavio Vespasiano
Titu	Tito
Domitian	Domiciano
Nerva	Nerva
Trajan	Trajano
Roger Federer	Roger Federer
Hadrian	Adriano
Ìpínlẹ̀ Georgia	Georgia (Estados Unidos)
Antoninus Pius	Antonino Pío
Marcus Aurelius	Marco Aurelio
Lucius Verus	Lucio Vero
Commodus	Cómodo
Zagreb	Zagreb
Pertinax	Pertinax
Rajasthan	Rayastán
Texas	Texas
Didius Julianus	Didio Juliano
Septimius Severus	Septimio Severo
Tamil Nadu	Tamil Nadu
Caracalla	Caracalla
Àríwá Carolina	Carolina del Norte
Gúúsù Carolina	Carolina del Sur
Sicily	Sicilia
Manila	Manila
Noynoy Aquino	Benigno Aquino III
Ìlú Quezon	Ciudad Quezón
Bordeaux	Burdeos
Buenos Aires	Buenos Aires
Ìlú Mẹ́ksíkò	México, D. F.
Tokyo	Tokio
La Paz	La Paz
Ìpínlẹ̀ Mississippi	Misisipi
Ferdinand Magellan	Fernando de Magallanes
Uttar Pradesh	Uttar Pradesh
Uttarakhand	Uttarakhand
Mizoram	Mizorán
Sikkim	Sikkim
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Abidjan	Abiyán
Abu Dhabi	Abu Dabi
Astana	Astaná
Ìpínlẹ̀ Titun Mẹ́ksíkò	Nuevo México
Ramesses 2k	Ramsés II
Áténì	Atenas
Ramesses 1k	Ramsés I
Minnesota	Minnesota
Ramesses 3k	Ramsés III
Baghdad	Bagdad
Ramesses 4k	Ramsés IV
Caracas	Caracas
Ajọfọ̀nàkò Àsìkò Káríayé	Tiempo universal coordinado
Wisconsin	Wisconsin
Kísẹ́rò	Marco Tulio Cicerón
Iowa	Iowa
Nebraska	Nebraska
Ìlú Guatẹmálà	Ciudad de Guatemala
Kansas	Kansas
Havana	La Habana
Èdè Híndì	Hindi
Ìpínlẹ̀ Missouri	Misuri
Georg Ohm	Georg Simon Ohm
Louisiana	Luisiana
Nagaland	Nagaland
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Oklahoma	Oklahoma
Yohan Blake	Yohan Blake
Odò Dánúbì	Danubio
Kiel	Kiel
Schwerin	Schwerin
Potsdam	Potsdam
Hanover	Hannover
Düsseldorf	Düsseldorf
Mainz	Maguncia
Wiesbaden	Wiesbaden
Saarbrücken	Sarrebruck
Munich	Múnich
Erfurt	Érfurt
Dresden	Dresde
Magdeburg	Magdeburgo
Volleyball	Voleibol
Fienna	Viena
Madonna	Madonna
Copenhagen	Copenhague
Kaliningrad Oblast	Óblast de Kaliningrado
Macrinus	Macrino
Stockholm	Estocolmo
Helsinki	Helsinki
Dublin	Dublín
Elagabalus	Heliogábalo
Reykjavík	Reikiavik
Ella Fitzgerald	Ella Fitzgerald
Alexander Severus	Alejandro Severo
Tallinn	Tallin
Riga	Riga
Zanzibar	Zanzíbar
Maximinus Thrax	Maximino el Tracio
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Budapest
Gordian 1k	Gordiano I
Frankfurt	Fráncfort del Meno
Pupienus	Pupieno
Lanthanum	Lantano
Gordian 2k	Gordiano II
Balbinus	Balbino
Promethium	Prometio
Gordian 3k	Gordiano III
Filip Áràbù	Filipo el Árabe
Samarium	Samario
Aceh	Aceh
Decius	Decio
Gadolinium	Gadolinio
Terbium	Terbio
Luxembourg (ìlú)	Luxemburgo (ciudad)
Dysprosium	Disprosio
Vaduz	Vaduz
Bíbélì Mímọ́	Biblia
Holmium	Holmio
Ìlú San Màrínò	San Marino (ciudad)
Erbium	Erbio
Phnom Penh	Nom Pen
Thulium	Tulio
Ytterbium	Iterbio
Lutetium	Lutecio
Hanoi	Hanói
Ìjọ Jéésù Lótìítọ́	Verdadera Iglesia de Jesús
Èdè Gẹ̀ẹ́sì	Idioma inglés
Bangkok	Bangkok
Andorra la Vella	Andorra la Vieja
Kuala Lumpur	Kuala Lumpur
Taipei	Taipéi
Amẹrísíọ̀m	Americio
Kùríọ̀m	Curio
Concepción, Chile	Concepción (Chile)
Bẹ́rkẹ́líọ̀m	Berkelio
Kalifọ́rníọ̀m	Californio
Einsteiniom	Einstenio
Fẹ́rmíọ̀m	Fermio
Mẹ̀ndẹ̀lẹ́fíọ̀m	Mendelevio
Kiev	Kiev
Nobelium	Nobelio
Lawrencium	Lawrencio
Ottawa	Ottawa
Yerevan	Ereván
Końskowola	Końskowola
Dar es Salaam	Dar es-Salam
Khartoum	Jartum
Formula One	Fórmula 1
2000	2000
2003	2003
2002	2002
2001	2001
2012	2012
2011	2011
2010	2010
2009	2009
Kárbónì ọlọ́ksíjínìméjì	Dióxido de carbono
2013	2013
2014	2014
2015	2015
Newfoundland àti Labrador	Terranova y Labrador
2008	2008
2004	2004
2005	2005
2006	2006
2007	2007
1900	1900
1901	1901
François Mitterrand	François Mitterrand
Charles de Gaulle	Charles de Gaulle
1902	1902
1903	1903
1904	1904
1905	1905
1907	1907
1906	1906
1908	1908
1909	1909
1992	1992
1991	1991
1990	1990
1993	1993
1994	1994
1995	1995
1996	1996
1910	1910
1911	1911
1912	1912
1913	1913
1914	1914
1915	1915
1916	1916
1997	1997
1998	1998
1999	1999
1917	1917
1918	1918
Jacques Chirac	Jacques Chirac
Valéry Giscard d'Estaing	Valéry Giscard d'Estaing
1 Oṣù Kínní	1 de enero
Oṣù Kínní 2	2 de enero
1920	1920
Oṣù Kínní 3	3 de enero
1919	1919
1921	1921
1922	1922
Oṣù Kínní 4	4 de enero
1923	1923
1924	1924
Ìgbàjá ástẹ́rọ́ìdì	Cinturón de asteroides
Orílẹ̀-èdè Olómìnira Àpapọ̀ Sófìẹ̀tì Sósíálístì Rọ́síà	República Socialista Federativa Soviética de Rusia
Georges Pompidou	Georges Pompidou
Graphics Interchange Format	Graphics Interchange Format
Windows Media Audio	Windows Media Audio
JPEG	Joint Photographic Experts Group
Oṣù Kínní 5	5 de enero
Oṣù Kínní 6	6 de enero
Ẹ̀lẹ́ktrọ́nù	Electrón
Oṣù Kínní 7	7 de enero
Oṣù Kínní 8	8 de enero
Oṣù Kínní 9	9 de enero
Oṣù Kínní 10	10 de enero
Oṣù Kínní 11	11 de enero
Oṣù Kínní 12	12 de enero
Buzz Aldrin	Buzz Aldrin
Oṣù Kínní 13	13 de enero
Oṣù Kínní 14	14 de enero
Oṣù Kínní 15	15 de enero
Oṣù Kínní 16	16 de enero
