Saot Amerika	América del Sur
Norway	Noruega
Ireland	Irlanda
Hungary	Hungría
Spain	España
Yunaeted Stet blong Amerika	Estados Unidos
Belgium	Bélgica
Luxembourg	Luxemburgo
Finland	Finlandia
Sweden	Suecia
Denmark	Dinamarca
Poland	Polonia
Litwania	Lituania
Itali	Italia
Switzerland	Suiza
Austria	Austria
Greece	Grecia
Turkey	Turquía
Portugal	Portugal
Yurop	Europa
Esia	Asia
Wikipedia	Wikipedia
Netherlands	Países Bajos
Berlin	Berlín
Barak Obama	Barack Obama
Uruguay	Uruguay
London	Londres
Paris	París
Mexico	México
Pasifik	Océano Pacífico
Kalifornia	California
Boston, Massachusetts	Boston
Franis	Francia
Unaeted Kingdom	Reino Unido
China	República Popular China
Brazil	Brasil
Rusia	Rusia
Alabama	Alabama
Germany	Alemania
Belarus	Bielorrusia
Iceland	Islandia
Estonia	Estonia
David Cameron	David Cameron
Wan	Uno
Tu	Dos
Tri	Tres
Fo	Cuatro
Faef	Cinco
Latvia	Letonia
Ukraine	Ucrania
Czechia	República Checa
Slovakia	Eslovaquia
Slovenia	Eslovenia
Vilnius	Vilna
Moldova	Moldavia
Romania	Rumania
Bulgaria	Bulgaria
Rome	Roma
Macedonia	República de Macedonia
Albania	Albania
Croatia	Croacia
Bosnia and Herzegovina	Bosnia y Herzegovina
Azerbaijan	Azerbaiyán
Andorra	Andorra
Cyprus	Chipre
Georgian Republic	Georgia
Kazakhstan	Kazajistán
Malta	Malta
Monaco	Mónaco
Montenegro	Montenegro
Vatican Siti	Ciudad del Vaticano
San Marino	San Marino
Indonesia	Indonesia
Warsaw	Varsovia
Wota	Agua
Chile	Chile
Jisas Kraes	Jesús de Nazaret
Nicolas Sarkozy	Nicolas Sarkozy
Singapore	Singapur
Saens	Ciencia
Liechtenstein	Liechtenstein
Spot	Deporte
Wol Wo Tu	Segunda Guerra Mundial
Armenia	Armenia
Serbia	Serbia
Ostrelia	Australia
Argentina	Argentina
Peru	Perú
Baeoloji	Biología
Islam	Islam
Boteni	Botánica
Flaoa	Flor
Wikimidia Commons	Wikimedia Commons
Moskow	Moscú
San-Peterburg	San Petersburgo
Niu Zilan	Nueva Zelanda
India	India
Aean	Hierro
Ripablik blong Vanuatu	Vanuatu
Papua New Guinea	Papúa Nueva Guinea
Venezuela	Venezuela
Maine	Maine
Animol	Animalia
Paraguay	Paraguay
Colombia	Colombia
Budisim	Budismo
Bolivia	Bolivia
Niu Hampshire	Nuevo Hampshire
Massachusetts	Massachusetts
Connecticut	Connecticut
Hawaii	Hawái
Alaska	Alaska
Florida	Florida
Arizona	Arizona
Laos	Laos
Oregon	Oregón
Yuta	Utah
Burma	Birmania
Vietnam	Vietnam
Saot Koria	Corea del Sur
Bangladesh	Bangladés
Bhutan	Bután
Twitter	Twitter
Julius Caesar	Julio César
Yunaeted Nesen	Organización de las Naciones Unidas
Jiografi	Geografía
Bren	Cerebro
Prague	Praga
Michigan	Míchigan
Illinois	Illinois
Not Dakota	Dakota del Norte
Saut Dakota	Dakota del Sur
Montana	Montana
Wyoming	Wyoming
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Washington (Bundesstaat)	Washington (estado)
Nevada	Nevada
Colorado	Colorado
Delhi	Delhi
Virginia	Virginia
West Virginia	Virginia Occidental
