Afrika	África
Japan	Japón
Suamerika	América del Sur
Norvegia	Noruega
Bro-Saoz	Inglaterra
Bro-Skos	Escocia
Kembre	Gales
Norzhiwerzhon	Irlanda del Norte
Republik Iwerzhon	Irlanda
Hungaria	Hungría
Spagn	España
Stadoù-Unanet Amerika	Estados Unidos
Belgia	Bélgica
Luksembourg (bro)	Luxemburgo
Hollved	Universo
Douar (planedenn)	Tierra
Buhez	Vida
Marv	Muerte
Den	Homo sapiens
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Leet speak	Leet speak
Stanley Kubrick	Stanley Kubrick
Finland	Finlandia
Sveden	Suecia
Danmark	Dinamarca
Polonia	Polonia
Lituania	Lituania
Italia	Italia
Suis	Suiza
Aostria	Austria
Gres (bro)	Grecia
Turkia	Turquía
Bier	Cerveza
Portugal	Portugal
Europa (kevandir)	Europa
Azia	Asia
Norzhamerika	América del Norte
Antarktika	Antártida
Wikipedia	Wikipedia
Izelvroioù	Países Bajos
Kalc'h	Pene
Lavar PHP	PHP
New York	Nueva York
Washington D.C.	Washington D. C.
San Francisco (Kalifornia)	San Francisco (California)
Berlin	Berlín
Los Angeles (Kalifornia)	Los Ángeles
Urzhiataer	Computadora
Bern	Berna
Geneva	Ginebra
Zürich	Zúrich
IRC	Internet Relay Chat
Internet	Internet
Barack Obama	Barack Obama
Uruguay	Uruguay
Basel	Basilea
Moullerez	Impresora
Londrez	Londres
Kaero	El Cairo
Aleksandria	Alejandría
Alexandria (Virginia)	Alexandria
Aval	Manzana
Pariz	París
Abraham Lincoln	Abraham Lincoln
Google	Google
Mec'hiko	México
Meurvor Atlantel	Océano Atlántico
Meurvor Habask	Océano Pacífico
Kalifornia	California
Boston	Boston
Lun (deiz)	Lunes
Egor	Espacio (física)
Genver	Enero
C'hwevrer	Febrero
Meurzh (miz)	Marzo
Meurzh (planedenn)	Marte (planeta)
Meurzh (doue)	Marte (mitología)
Kenya	Kenia
Etiopia	Etiopía
Ghana	Ghana
Ebrel	Abril
Mae	Mayo
Mezheven	Junio
Gouere	Julio
Eost	Agosto
Gwengolo	Septiembre
Here	Octubre
Du	Noviembre
Kerzu	Diciembre
Meurzh (deiz)	Martes
Merc'her (deiz)	Miércoles
Yaou (deiz)	Jueves
Gwener (deiz)	Viernes
Sadorn (deiz)	Sábado
Sul (deiz)	Domingo
Leon (loen)	Panthera leo
Bro-C'hall	Francia
Esperanteg	Esperanto
Ki	Canis lupus familiaris
Rouantelezh-Unanet	Reino Unido
Kazh	Felis silvestris catus
Republik Pobl Sina	República Popular China
Galleg	Idioma francés
Wikeriadur	Wikcionario
Pesk	Pisces
Etanol	Etanol
Brazil	Brasil
Alkool	Alcohol
François Hollande	François Hollande
Rusia	Rusia
Morvil	Cetacea
Yorkshire	Yorkshire
Karrez	Cuadrado
Mor	Mar
Mor Du	Mar Negro
Pi (lizherenn)	Π
Wiki	Wiki
Toronto	Toronto
Alabama (stad)	Alabama
São Paulo (kêr)	São Paulo
São Paulo (stad)	Estado de São Paulo
Kebek	Quebec
Pizza	Pizza
Wikimedia Foundation	Fundación Wikimedia
Jimmy Wales	Jimmy Wales
Alamagn	Alemania
Belarus	Bielorrusia
Alamaneg	Idioma alemán
Island	Islandia
Doue	Dios
Estonia	Estonia
David Cameron	David Cameron
Sadorn (planedenn)	Saturno (planeta)
Chokolad	Chocolate
Kerez	Cereza
Nijerez	Avión
Brezel	Guerra
Unan	Uno
Daou	Dos
Tri	Tres
Pevar	Cuatro
Stephen Harper	Stephen Harper
George Walker Bush	George W. Bush
Skouergorneg	Rectángulo
Latvia	Letonia
Ukraina	Ucrania
Republik Tchek	República Checa
Slovakia	Eslovaquia
Slovenia	Eslovenia
Vilnius	Vilna
Moldova	Moldavia
Roumania	Rumania
Bulgaria	Bulgaria
Roma	Roma
Republik Makedonia	República de Macedonia
Albania	Albania
Greunland	Groenlandia
Kroatia	Croacia
Bosnia-ha-Herzegovina	Bosnia y Herzegovina
Nuuk	Nuuk
Azerbaidjan	Azerbaiyán
Andorra	Andorra
Republik Kiprenez	Chipre
Jorjia (bro)	Georgia
Wallonia	Región Valona
Kazakstan	Kazajistán
Malta	Malta
Monako	Mónaco
Montenegro	Montenegro
Keoded ar Vatikan	Ciudad del Vaticano
San Marino	San Marino
Brusel	Bruselas
