Aprika	África
Ngiti	Sonrisa
Lungsod ng Milano	Milán
Kaibigan	Amistad
Alaala	Memoria (proceso)
Arthur Rimbaud	Arthur Rimbaud
Lungsod ng Turino	Turín
Ipot	Excremento
Butas ng puwit	Ano
Kili-kili	Axila
Lemon	Citrus × limon
Émile Zola	Émile Zola
666	666
Bulaklak	Flor
Googol	Gúgol
Bambang ng Marianas	Fosa de las Marianas
Bundok Everest	Monte Everest
Anatomiya	Anatomía
Lungsod	Ciudad
Napoleon I ng Pransiya	Napoleón Bonaparte
Pisyolohiya	Fisiología
Bituin	Estrella
Vesubio	Monte Vesubio
Araw (astronomiya)	Sol
Louis Pasteur	Louis Pasteur
Sinag-taon	Año luz
Victor Hugo	Victor Hugo
Oceania	Oceanía
Giuseppe Garibaldi	Giuseppe Garibaldi
Orvieto	Orvieto
Atletiks	Atletismo
Sistemang Pang-araw	Sistema Solar
Dagat Baltiko	Mar Báltico
Champs-Élysées	Avenida de los Campos Elíseos
Idrohino	Hidrógeno
Helyo	Helio
Impiyerno	Infierno
Wikimedia Commons	Wikimedia Commons
Purgatoryo	Purgatorio
Angela Merkel	Angela Merkel
Lityo	Litio
Berilyo	Berilio
Palakas-tinig	Altavoz
Aklat	Libro
Araw (panahon)	Día
Silangang Timor	Timor Oriental
Taon	Año
Daang taon	Siglo
Canegrate	Canegrate
Ilog Rin	Rin
Oslo	Oslo
Undas	Día de Todos los Santos
Itim na butas	Agujero negro
Seres (astronomiya)	Ceres (planeta enano)
Lisboa	Lisboa
Ichiro Suzuki	Ichiro Suzuki
Haumea (astronomiya)	Haumea (planeta enano)
Rodano (ilog)	Ródano
Makemake (astronomiya)	Makemake (planeta enano)
Michael Bloomberg	Michael Bloomberg
Gawaing seksuwal ng tao	Comportamiento sexual humano
Kateri Tekakwitha	Catalina Tekakwitha
Eris (astronomiya)	Eris (planeta enano)
Dubai	Dubái
Lionel Messi	Lionel Messi
Lungsod ng Padua	Padua
Boron	Boro
Nicolaus Copernicus	Nicolás Copérnico
Karbon	Carbono
Ilog Volga	Volga
Nitroheno	Nitrógeno
Lungsod ng Bergamo	Bérgamo
Oksiheno	Oxígeno
Planeta	Planeta
Cleopatra VII ng Ehipto	Cleopatra VII
Tugtugin	Música
Lungsod ng Venezia	Venecia
Naruto	Naruto
Mosku	Moscú
Plurina	Flúor
Wikang Italyano	Idioma italiano
Tsiwawa	Chihuahueño (perro)
Neon	Neón
Chihuahua	Chihuahua
San Petersburgo	San Petersburgo
Chad	Chad
Sodyo	Sodio
Magnesyo	Magnesio
Neon Genesis Evangelion (anime)	Neon Genesis Evangelion
Aluminyo	Aluminio
New Zealand	Nueva Zelanda
India	India
Silikon	Silicio
Pransiyo	Francio
Tuvalu	Tuvalu
One Piece	One Piece
Posporo (elemento)	Fósforo
André-Marie Ampère	André-Marie Ampère
Tuluyan	Prosa
Bakal	Hierro
Tonga	Tonga
Alessandro Volta	Alessandro Volta
Asupre	Azufre
Samoa	Samoa
Kapuluang Salomon	Islas Salomón
Vanuatu	Vanuatu
Molière	Molière
Kloro	Cloro
Papua New Guinea	Papúa Nueva Guinea
William Shakespeare	William Shakespeare
Pabula	Fábula
Palau	Palaos
Argon	Argón
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Kuwentong bibit	Cuento de hadas
Mga Estadong Pederado ng Mikronesya	Estados Federados de Micronesia
Potasyo	Potasio
Kalsiyo	Calcio
Tingga	Plomo
Kapuluang Marshall	Islas Marshall
Kiribati	Kiribati
Mongolia	Mongolia
Fiji	Fiyi
Eskandiyo	Escandio
Stevie Wonder	Stevie Wonder
Titanyo	Titanio
Venezuela	Venezuela
Ahedres	Ajedrez
Genghis Khan	Gengis Kan
Banadyo	Vanadio
Maine	Maine
Kromyo	Cromo
Kabayo	Equus ferus caballus
Amsterdam	Ámsterdam
Sandata	Arma
Hayop	Animalia
Surinam	Surinam
Mangganeso	Manganeso
Paraguay	Paraguay
Guyana	Guyana
Sining	Arte
Ecuador	Ecuador
Colombia	Colombia
Kobalto	Cobalto
Wolpramyo	Wolframio
Budismo	Budismo
Bolivia	Bolivia
Tanso	Cobre
Trinidad at Tobago	Trinidad y Tobago
Halaman	Plantae
San Vicente at ang Kagranadinahan	San Vicente y las Granadinas
Sink	Cinc
Bagong Hampshire	Nuevo Hampshire
Santa Lucia (bansa)	Santa Lucía
Leonardo da Vinci	Leonardo da Vinci
San Cristobal at Niyebes	San Cristóbal y Nieves
Fungus	Fungi
Hamayka	Jamaica
Grenada	Granada (país)
Massachusetts	Massachusetts
Guwatemala	Guatemala
Google Chrome	Google Chrome
Bahamas	Bahamas
Connecticut	Connecticut
Manok	Gallus gallus domesticus
Antigua at Barbuda	Antigua y Barbuda
Hawaii	Hawái
Honduras	Honduras
Dominika	Dominica
Hersey	Jersey
Republikang Dominikano	República Dominicana
Baboy	Sus scrofa domestica
Karagatang Artiko	Océano Ártico
Hayti	Haití
Taumatawhakatangihangakoauauotamateapokaiwhenuakitanatahu	Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu
El Salvador	El Salvador
Iran	Irán
Gago	Tonto
Iraq	Irak
Alaska	Alaska
Karunungan	Sabiduría
Costa Rica	Costa Rica
Israel	Israel
Panama	Panamá
Yemen	Yemen
Birus	Virus
Wikang Polako	Idioma polaco
Hordan	Jordania
Nicaragua	Nicaragua
Florida	Florida
Kyrgyzstan	Kirguistán
Arisona	Arizona
Kuwait	Kuwait
Laos (bansa)	Laos
Lebanon	Líbano
Oregon	Oregón
Maldives	Maldivas
Kaamerikahan	América
Utah	Utah
Baka	Bos primigenius taurus
Malaysia	Malasia
Myanmar	Birmania
Nepal	Nepal
Oman	Omán
Pakistan	Pakistán
Qatar	Catar
Tenis	Tenis
Saudi Arabia	Arabia Saudita
Sri Lanka	Sri Lanka
Joseph Stalin	Iósif Stalin
Syria	Siria
Platon	Platón
Tayikistan	Tayikistán
Pokémon	Pokémon
Republika ng Tsina	República de China
YouTube	YouTube
Aristoteles	Aristóteles
Taylandiya	Tailandia
Tren	Tren
Arseniko	Arsénico
Radyo	Radiocomunicación
Meryl Streep	Meryl Streep
Turkmenistan	Turkmenistán
Abakan	Abakán
United Arab Emirates	Emiratos Árabes Unidos
Bromina	Bromo
Platino	Platino
Vietnam	Vietnam
Charlie Chaplin	Charles Chaplin
Novosibirsk	Novosibirsk
Timog Korea	Corea del Sur
The Simpsons	Los Simpson
Yekaterinburg	Ekaterimburgo
Kripton	Kriptón
Afghanistan	Afganistán
Gangnam Style	Gangnam Style
Nizhny Novgorod	Nizhni Nóvgorod
J. R. R. Tolkien	J. R. R. Tolkien
Rubidyo	Rubidio
Ginto	Oro
Omsk	Omsk
Agusan ng Suez	Canal de Suez
Kazan	Kazán
Bangladesh	Bangladés
Bleach	Bleach
Franz Kafka	Franz Kafka
Chelyabinsk	Cheliábinsk
Rostov-on-Don	Rostov del Don
Jorge Luis Borges	Jorge Luis Borges
Ufa	Ufá
Mali (bansa)	Malí
Socrates	Sócrates
Volgograd	Volgogrado
Angola	Angola
Perm	Perm
Bhutan	Bután
Twitter	Twitter
Krasnoyarsk	Krasnoyarsk
Brunei	Brunéi
Tanzania	Tanzania
Asoge	Mercurio (elemento)
Roald Amundsen	Roald Amundsen
Pilipinas	Filipinas
Republika ng Gitnang Aprika	República Centroafricana
Uzumaki Naruto	Naruto Uzumaki
Polong Timog	Polo Sur
Hilagang Polo	Polo Norte
Isaac Newton	Isaac Newton
Albert Einstein	Albert Einstein
Estronsiyo	Estroncio
Pedro I ng Brasil	Pedro I de Brasil y IV de Portugal
Itriyo	Itrio
Bismuto	Bismuto
Dilaw	Amarillo
Mekaniks na kwantum	Mecánica cuántica
Togo	Togo
Tunisya	Túnez
John Bardeen	John Bardeen
Sambya	Zambia
Zimbabwe	Zimbabue
Beijing	Pekín
Timog Sudan	Sudán del Sur
Vladivostok	Vladivostok
Tuva	Tuvá
Benin	Benín
Botswana	Botsuana
Burkina Faso	Burkina Faso
Burundi	Burundi
Comoros	Comoras
Republika ng Congo	República del Congo
Demokratikong Republika ng Congo	República Democrática del Congo
San Antonio, Texas	San Antonio (Texas)
Tomsk	Tomsk
Djibouti	Yibuti
Meme	Meme
Polonium	Polonio
Bavaria	Baviera
Gineang Ekwatoriyal	Guinea Ecuatorial
Eritrea	Eritrea
New Delhi	Nueva Delhi
Papa Juan Pablo II	Juan Pablo II
Fëdor Dostoevskij	Fiódor Dostoyevski
Tangway ng Kamchatka	Península de Kamchatka
Tiflis	Tiflis
Sanggol	Bebé
Astatino	Ástato
Gabon	Gabón
Mahatma Gandhi	Mahatma Gandhi
Komiks	Historieta
Ang Gambiya	Gambia
Ginea	Guinea
Ginea-Bissau	Guinea-Bisáu
Côte d'Ivoire	Costa de Marfil
Cameroon	Camerún
Kabo Berde	Cabo Verde
Lesoto	Lesoto
Liberia	Liberia
Libya	Libia
Aachen	Aquisgrán
Madagascar	Madagascar
Malawi	Malaui
Stuttgart	Stuttgart
Mauritania	Mauritania
Mauritius	Mauricio
Maruekos	Marruecos
Mozambique	Mozambique
Namibia	Namibia
Niger	Níger
Nigerya	Nigeria
Charles Darwin	Charles Darwin
Uganda	Uganda
Rwanda	Ruanda
Sirkonyo	Circonio
Santo Tome at Prinsipe	Santo Tomé y Príncipe
Senegal	Senegal
Seychelles	Seychelles
Carl Linnaeus	Carlos Linneo
Sierra Leone	Sierra Leona
Somalia	Somalia
Julio Cesar	Julio César
Sudan	Sudán
Swaziland	Suazilandia
Bahaghari	Arco iris
Metabolismo	Metabolismo
Sistemang immuno	Sistema inmunitario
Gujarat	Guyarat
Ebolusyon	Evolución biológica
Mga Nagkakaisang Bansa	Organización de las Naciones Unidas
Dante Alighieri	Dante Alighieri
Heolohiya	Geología
Ahmedabad	Ahmedabad
Heograpiya	Geografía
Puso (anatomiya)	Corazón
Utak	Cerebro
Balat (anatomiya)	Piel
Kulay	Color
Pangngalan	Sustantivo
Praga	Praga
Bughaw	Azul
Pilak	Plata
Star Trek	Star Trek
Lata	Estaño
Uranyo	Uranio
Antimonyo	Antimonio
Plutonyo	Plutonio
Iodine	Yodo
Henon (elemento)	Xenón
Anime	Anime
Sesyo	Cesio
Karga ng kuryente	Carga eléctrica
Baryo (elemento)	Bario
Aktinyo	Actinio
Bill Clinton	Bill Clinton
Radyo (elemento)	Radio (elemento)
Radon	Radón
Indira Gandhi	Indira Gandhi
Merkuryo (mitolohiya)	Mercurio (mitología)
Busto Arsizio	Busto Arsizio
Mumbai	Bombay
Andhra Pradesh	Andhra Pradesh
Michigan	Míchigan
Goa	Goa
Borgonya	Borgoña
Maurice Ravel	Maurice Ravel
Aquitania	Aquitania
Puerto Rico	Puerto Rico
Madhya Pradesh	Madhya Pradesh
Usain Bolt	Usain Bolt
Maharashtra	Maharastra
Hilagang Renania-Westfalia	Renania del Norte-Westfalia
Hesse	Hesse
Sahonya	Sajonia
John Lennon	John Lennon
Illinois	Illinois
Hilagang Dakota	Dakota del Norte
Brandeburgo	Brandeburgo
Lombardy	Lombardía
Timog Dakota	Dakota del Sur
Montana	Montana
Wyoming	Wyoming
Piemonte	Piamonte
Herusalem	Jerusalén
Giorgio Napolitano	Giorgio Napolitano
Idaho	Idaho
Lambak ng Aosta	Valle de Aosta
Washington	Washington (estado)
Nebada	Nevada
Trentino-Alto Adige/Südtirol	Trentino-Alto Adigio
Karagatang Indiyano	Océano Índico
Veneto	Véneto
Kosovo	Kosovo
Dagat Karibe	Mar Caribe
Boryo	Bohrio
Ban Ki-moon	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria	Liguria
Boutros Boutros-Ghali	Butros Butros-Ghali
Colorado	Colorado
Frederic Francois Chopin	Frédéric Chopin
Tuskanya	Toscana
Marche	Marcas
Umbria	Umbría (Italia)
Kategorya:Mga nilalaman	Categoría:Índice de categorías
Lazio	Lacio
Abruzzo	Abruzos
Alpes	Alpes
Jansenismo	Jansenismo
Kabundukang Carpatos	Montes Cárpatos
Blaise Pascal	Blaise Pascal
Dama	Damas
Gante	Gante
Chicago	Chicago
The Beatles	The Beatles
Ununquadium	Flerovio
Ununoctium	Ununoctio
Como (lungsod)	Como
Taglamig	Invierno
Tagsibol	Primavera
Tag-init	Verano
Taglagas	Otoño
Ekinoks	Equinoccio
Saddam Hussein	Sadam Husein
Osama bin Laden	Osama bin Laden
Wikang Kastila	Idioma español
Montevideo	Montevideo
Johann Sebastian Bach	Johann Sebastian Bach
Antonio Vivaldi	Antonio Vivaldi
Tolyatti	Toliatti
Pittsburgh, Pennsylvania	Pittsburgh
Opera	Ópera
Philadelphia, Pennsylvania	Filadelfia
Kolkata	Calcuta
Chennai	Chennai
Delhi	Delhi
Dhaka	Daca
Bangalore	Bangalore
West Bengal	Bengala Occidental
Gagamba	Araneae
Arachnida	Arachnida
Arthropoda	Arthropoda
Hyderabad, Andhra Pradesh	Hyderabad (India)
Islamabad	Islamabad
Bungang-kahoy	Fruto
Unggoy	Mono
Salapi	Dinero
Virginia (estado)	Virginia
West Virginia	Virginia Occidental
New York	Nueva York (estado)
Seryo	Cerio
Rhode Island	Rhode Island
Neodimyo	Neodimio
Kulisap	Insecta
Maryland	Maryland
Delaware	Delaware
Vladimir Lenin	Lenin
Ohio	Ohio
Vergilius	Virgilio
Niccolò Machiavelli	Nicolás Maquiavelo
Pennsylvania	Pensilvania
Petrarca	Petrarca
Giovanni Boccaccio	Giovanni Boccaccio
Uetersen	Uetersen
Cesar Augusto	César Augusto
Microsoft Windows	Microsoft Windows
Tiberius	Tiberio
New Jersey	Nueva Jersey
Caligula	Calígula
Gibraltar	Gibraltar
Claudius	Claudio
Wikang Pinlandes	Idioma finés
Nero	Nerón
Galba	Galba
Indiyana (Estado ng Estados Unidos)	Indiana
Otho	Otón
Vitellius	Vitelio
Nokia	Nokia
Vespasian	Tito Flavio Vespasiano
Kotse	Automóvil
Titus	Tito
Domitian	Domiciano
Nerva	Nerva
Trajan	Trajano
Roger Federer	Roger Federer
Hadrian	Adriano
Georgia	Georgia (Estados Unidos)
Antoninus Pius	Antonino Pío
Marcus Aurelius	Marco Aurelio
Lucius Verus	Lucio Vero
Commodus	Cómodo
Lungsod ng Zagreb	Zagreb
Pertinax	Pertinax
Rajasthan	Rayastán
Campania	Campania
Texas	Texas
Didius Julianus	Didio Juliano
Septimius Severus	Septimio Severo
Molise	Molise
Caracalla	Caracalla
Apulia	Apulia
Lungsod ng Genova	Génova
Bruno Mars	Bruno Mars
Bundok Pinatubo	Pinatubo
Basilicata	Basilicata
Hilagang Karolina	Carolina del Norte
South Carolina	Carolina del Sur
Calabria	Calabria
Sicilia	Sicilia
Maynila	Manila
Sardinia	Cerdeña
Ferdinand Marcos	Ferdinand Marcos
Benigno Aquino III	Benigno Aquino III
Lungsod ng Cebu	Cebú
Ilog Sena	Río Sena
Lungsod ng Dabaw	Dávao
Lungsod Quezon	Ciudad Quezón
Kalookan	Caloocan
Burdeos	Burdeos
Corazon Aquino	Corazón Aquino
Lungsod ng Kabite	Cavite
Bulkang Mayon	Monte Mayón
Lungsod ng Buenos Aires	Buenos Aires
Lungsod ng Mehiko	México, D. F.
Tokyo	Tokio
Lungsod ng Barcelona	Barcelona
Pinya	Ananas comosus
Misisipi	Misisipi
Fernando de Magallanes	Fernando de Magallanes
Ilog Mississippi	Río Misisipi
José Rizal	José Rizal
Manuel L. Quezon	Manuel L. Quezón
Sikkim	Sikkim
Makati	Makati
Tennessee	Tennessee
Richard Wagner	Richard Wagner
Nagpur	Nagpur
Janis Joplin	Janis Joplin
Abidjan	Abiyán
Abu Dhabi	Abu Dabi
Astana	Astaná
Bagong Mehiko	Nuevo México
Ramesses II	Ramsés II
Atenas	Atenas
Rotonda	Rotonda
Ramesses I	Ramsés I
Minesota	Minnesota
Ramesses III	Ramsés III
Baghdad	Bagdad
Ramesses IV	Ramsés IV
Caracas	Caracas
Pandaigdigang Batayan ng Oras	Tiempo universal coordinado
Wisconsin	Wisconsin
Pune	Pune
Cicero	Marco Tulio Cicerón
Cyndi Lauper	Cyndi Lauper
Ayowa	Iowa
Nebraska	Nebraska
Lungsod ng Guwatemala	Ciudad de Guatemala
Kansas	Kansas
Havana	La Habana
Tabako	Tabaco
Wikang Hindi	Hindi
Internet Explorer	Internet Explorer
Sigarilyo	Cigarrillo
Missouri	Misuri
George Ohm	Georg Simon Ohm
Louisiana	Luisiana
Luigi Galvani	Luigi Galvani
Kentucky	Kentucky
Arkansas	Arkansas
Neil Armstrong	Neil Armstrong
Charles Lindbergh	Charles Lindbergh
Lungsod ng Valenzuela	Valenzuela (Gran Manila)
Lungsod ng Pasig	Pásig
Lungsod ng Zamboanga	Zamboanga
Édith Piaf	Édith Piaf
Antipolo	Antipolo
Taguig	Taguig
Ilog Elba	Río Elba
Cagayan de Oro	Cagayán de Oro
Oklahoma	Oklahoma
Danubio	Danubio
Butuan	Butuan
Cabadbaran	Cabadbaran
Dagat Hilaga	Mar del Norte
Bayugan	Bayugan
Legazpi, Albay	Legazpi (Albay)
Moscow Oblast	Óblast de Moscú
Serge Gainsbourg	Serge Gainsbourg
Isabela, Basilan	Isabela (Basilán)
Lamitan	Lamitan
Balanga	Balanga
Mainz	Maguncia
Wiesbaden	Wiesbaden
Lungsod ng Batangas	Batangas
Lipa, Batangas	Lipá
Munich	Múnich
Samara Oblast	Óblast de Samara
Dresde	Dresde
Balibol (palakasan)	Voleibol
Vienna	Viena
Madonna	Madonna
Copenhague	Copenhague
Kaliningrad Oblast	Óblast de Kaliningrado
Macrinus	Macrino
Estokolmo	Estocolmo
Lungsod ng Helsinki	Helsinki
Murmansk Oblast	Óblast de Múrmansk
Dublin	Dublín
Elagabalus	Heliogábalo
Murmansk	Múrmansk
Reikiavik	Reikiavik
Ella Fitzgerald	Ella Fitzgerald
Alexander Severus	Alejandro Severo
Tallin	Tallin
Riga	Riga
Maximinus Thrax	Maximino el Tracio
Louis Armstrong	Louis Armstrong
Bratislava	Bratislava
Budapest	Budapest
Gordian I	Gordiano I
Frankfurt	Fráncfort del Meno
Pupienus	Pupieno
Breslavia	Breslavia
Gordian II	Gordiano II
Balbinus	Balbino
Prometyo	Prometio
Yunit na pang-astronomiya	Unidad astronómica
Gordian III	Gordiano III
Felipe ang Arabo	Filipo el Árabe
Baguio	Baguio
Aceh	Aceh
Tagbilaran	Tagbilaran
Kaliningrado	Kaliningrado
Decius (emperor)	Decio
Death Note	Death Note
Katolisismo	Catolicismo
Lungsod ng Luksemburgo	Luxemburgo (ciudad)
Vaduz	Vaduz
Bibliya	Biblia
San Marino, San Marino	San Marino (ciudad)
Phnom Penh	Nom Pen
Arkhangelsk	Arcángel (Rusia)
Lungsod ng Ho Chi Minh	Ciudad Ho Chi Minh
Iterbiyo	Iterbio
Malaybalay	Malaybalay
Hanoi	Hanói
Totoong Simbahan ni Hesus	Verdadera Iglesia de Jesús
Wikang Ingles	Idioma inglés
Bangkok	Bangkok
Lungsod ng Andorra la Vella	Andorra la Vieja
Kuala Lumpur	Kuala Lumpur
Taipei	Taipéi
Amerisyo	Americio
Odessa	Odesa
Arkhangelsk Oblast	Óblast de Arcángel
Dong Hoi	Đồng Hới
Concepción, Tsile	Concepción (Chile)
Berkelyo	Berkelio
Diplomasya	Diplomacia
Petrozavodsk	Petrozavodsk
Lungsod ng Cagliari	Cagliari
Kiev	Kiev
Nobelyo	Nobelio
Lungsod ng Catania	Catania
Ontario, Canada	Ontario
Republika ng Karelia	República de Carelia
Ottawa	Ottawa
Juba, Timog Sudan	Yuba (Sudán del Sur)
Manitoba	Manitoba
Alberta	Alberta
Nova Scotia	Nueva Escocia
Yerevan	Ereván
Vologda	Vólogda
Końskowola	Końskowola
Hartum	Jartum
New Brunswick	Nuevo Brunswick
Formula One	Fórmula 1
British Columbia	Columbia Británica
Prince Edward Island	Isla del Príncipe Eduardo
2000	2000
2003	2003
2002	2002
2001	2001
Saskatchewan	Saskatchewan
2012	2012
Masashi Kishimoto	Masashi Kishimoto
2011	2011
2010	2010
2009	2009
