Africa	África
Xapon	Japón
Ixachitlān Huitztlāmpa	América del Sur
Noruega	Noruega
Inglatlālpan	Inglaterra
Wales	Gales
Irtlālpan	Irlanda
Hungria	Hungría
Caxtillān	España
Tlacetilīlli Tlahtohcāyōtl Ixachitlān	Estados Unidos
Belgica	Bélgica
Luxemburgo	Luxemburgo
Cemānāhuac	Universo
Tlālticpactli	Tierra
Miquiztli	Muerte
Tlācatl	Homo sapiens
George Washington	George Washington
Stanley Kubrick	Stanley Kubrick
Fintlālpan	Finlandia
Suecia	Suecia
Dinamarca	Dinamarca
Polonia	Polonia
Lituania	Lituania
Italia	Italia
Suiza	Suiza
Austria	Austria
Grecia	Grecia
Turquia	Turquía
Portugal	Portugal
Europan	Europa
Asia	Asia
Ixachitlān Mictlāmpa	América del Norte
Antartida	Antártida
Huiquipedia	Wikipedia
Tlanitlālpan	Países Bajos
Tepōlli	Pene
Āltepētl Yancuīc York	Nueva York
Washington, D.C.	Washington D. C.
San Francisco, California	San Francisco (California)
Berlin	Berlín
Los Ángeles	Los Ángeles
Chīuhpōhualhuaztli	Computadora
Berna	Berna
Zurich	Zúrich
Mātlatzālantli	Internet
Barack Obama	Barack Obama
Uruguay	Uruguay
Londres	Londres
In Cairo	El Cairo
Alexandria	Alejandría
Manzana	Manzana
Paris	París
Abraham Lincoln	Abraham Lincoln
Google	Google
Mēxihco	México
Ilhuicaātl Atlántico	Océano Atlántico
Tēpāpāquiltiliztli Ilhuicaātl	Océano Pacífico
California	California
Mētztlitōnal	Lunes
Ic cē mētztli	Enero
Ic ōme mētztli	Febrero
Ic ēyi mētztli	Marzo
Chīchīlcītlalli	Marte (planeta)
Quenia	Kenia
Etiopia	Etiopía
Ghana	Ghana
Ic nāuhtetl mētztli	Abril
Ic mācuīlli mētztli	Mayo
Ic chicuacen mētztli	Junio
Ic chicōme mētztli	Julio
Ic chicuēyi mētztli	Agosto
Ic chiucnāhui mētztli	Septiembre
Ic mahtlāctetl mētztli	Octubre
Ic mahtlāctetl oncē mētztli	Noviembre
Ic mahtlāctetl omōme mētztli	Diciembre
Huītzilōpōchtōnal	Martes
Yacatlipotōnal	Miércoles
Tezcatlipotōnal	Jueves
Quetzalcōātōnal	Viernes
Tlāloctitōnal	Sábado
Tōnatiuhtōnal	Domingo
Cuāmiztli	Panthera leo
Francia	Francia
Esperantotlahtōlli	Esperanto
Itzcuintli	Canis lupus familiaris
Tlacetilīlli Huēyitlahtohcāyōtl	Reino Unido
Miztōn	Felis silvestris catus
China	República Popular China
Franciatlahtōlli	Idioma francés
Michin	Pisces
Octli	Bebida alcohólica
Brasil	Brasil
Rusia	Rusia
Huēyātl	Mar
Π	Π
Wiki	Wiki
Alabama	Alabama
São Paulo	São Paulo
São Paulo (tlahtohcāyōtl)	Estado de São Paulo
Quebec	Quebec
Jimmy Wales	Jimmy Wales
Alemania	Alemania
Belarus	Bielorrusia
Alemantlahtōlli	Idioma alemán
Iztlālpan	Islandia
Estonia	Estonia
Tzitzimicītlalli	Saturno (planeta)
Xocolātl	Chocolate
Tepoztōtōtl	Avión
Cē (tlapōhualli)	Uno
Ōme	Dos
Ēyi	Tres
Nāhui	Cuatro
Mācuīlli	Cinco
George W. Bush	George W. Bush
Letonia	Letonia
Ucrania	Ucrania
Chequia	República Checa
Eslovaquia	Eslovaquia
Eslovenia	Eslovenia
Vilnius	Vilna
Moldova	Moldavia
Rumania	Rumania
Bulgaria	Bulgaria
Roma	Roma
Tlācatlahtohcāyōtl Macedonia	República de Macedonia
