Africa	África
Coemeterium Père Lachaise	Cementerio del Père-Lachaise
Apple Inc.	Apple
Venus (planeta)	Venus (planeta)
Lingua	Lenguaje
Amor	Amor
Dictatura	Dictadura
Galaxias	Galaxia
Iuppiter (planeta)	Júpiter (planeta)
Michaela Bachelet	Michelle Bachelet
Via lactea	Vía Láctea
Immanis diruptio	Teoría del Big Bang
Uranus (planeta)	Urano (planeta)
Eduardus Frei Ruiz-Tagle	Eduardo Frei Ruiz-Tagle
Vicipaedia Anglica	Wikipedia en inglés
Nicolaus Sarkozy	Nicolas Sarkozy
Ricardus Lagos	Ricardo Lagos
Neptunus (planeta)	Neptuno (planeta)
Astronomia	Astronomía
Singapura	Singapur
Patricius Aylwin	Patricio Aylwin
Scientia (ratio)	Ciencia
Cosmologia	Cosmología
Pluto (planetula)	Plutón (planeta enano)
Mons Regius	Montreal
Libera programmatura	Software libre
Coriosopitum	Quimper
Flexia	La Flèche
Tempus futurum	Futuro
Maria (mater Iesu)	María (madre de Jesús)
Ludovicus IX (rex Francorum)	Luis IX de Francia
Lichtenstenum	Liechtenstein
Ars athletica	Deporte
Cantabrigia	Cambridge
Adolphus Hitler	Adolf Hitler
Facebook	Facebook
Wikileaks	WikiLeaks
Iulianus Assange	Julian Assange
Primum bellum mundanum	Primera Guerra Mundial
Secundum bellum mundanum	Segunda Guerra Mundial
Colonia Agrippina	Colonia (Alemania)
Vicilibri	Wikilibros
Augustus Pinochet	Augusto Pinochet
Vicicitatio	Wikiquote
Vodca	Vodka
Horologium	Reloj
Ubuntu (systema internum)	Ubuntu
Scupi	Skopie
Civitas Gdinensis	Gdynia
Robertus Dylan	Bob Dylan
Stettinum	Szczecin
Mathematica	Matemáticas
U2	U2
Lingua Latina	Latín
Baharina	Baréin
Armenia	Armenia
Wenevera Jameson	Jenna Jameson
Scriptura cuneiformis	Escritura cuneiforme
Serbia	Serbia
Luna	Luna
Constantinopolis	Estambul
Australia	Australia
Robertus Marley	Bob Marley
Carolus Sagan	Carl Sagan
Nomisma Quadrangulum a Pioneer	Placa de la Pioneer
Physica	Física
Argentina	Argentina
Silbus Gomerensis	Silbo gomero
Telecommunicatio	Telecomunicación
Peruvia	Perú
Biologia	Biología
Res volans ignota	Objeto volador no identificado
Respublica Popularis Democratica Coreana	Corea del Norte
Cambosia	Camboya
Iura animalium	Derechos de los animales
Zona Kuiperi	Cinturón de Kuiper
Alcoranus	Corán
Dinosauria	Dinosauria
Zoologia	Zoología
Religio Islamica	Islam
Pyrus	Pyrus
Bibliotheca Alexandrina	Biblioteca de Alejandría
Aemona	Liubliana
Salvator Allende	Salvador Allende
Botanice	Botánica
Naturalis historia (Plinius)	Naturalis historia
Ich bin ein Berliner	Ich bin ein Berliner
Lechus Wałęsa	Lech Wałęsa
Rota	Rueda
Encyclopédie	L'Encyclopédie
Dionysius Diderotus	Denis Diderot
Georgius Brassens	Georges Brassens
Mens	Mente
Pax	Paz
Encyclopaedia Britannica	Enciclopedia Británica
Lugdunum	Lyon
Pinciacum	Poissy
Unio Europaea	Unión Europea
Philippopolis	Plovdiv
Internet Archive	Internet Archive
Star Wars	Star Wars
Rhodanus et Alpes	Ródano-Alpes
Tela totius terrae	World Wide Web
Mulier	Mujer
Memex	Memex
Serdica	Sofía
Aquae ductus	Acueducto
Eduardus Frei Montalva	Eduardo Frei Montalva
Ñ	Ñ
Dervalum	Derval
Dominus Quixotus a Manica	Don Quijote de la Mancha
Poësis	Poesía
Virus informaticum	Virus informático
Mediolanum	Milán
Memoria	Memoria (proceso)
Arthurus Rimbaud	Arthur Rimbaud
Augusta Taurinorum	Turín
Faeces	Excremento
Anus (anatomia)	Ano
Axilla	Axila
Limon	Citrus × limon
Carolus Baudelaire	Charles Baudelaire
Stendhal	Stendhal
Aemilius Zola	Émile Zola
666	666
Flos	Flor
Googol	Gúgol
Googolplex	Gúgolplex
Fossa Mariana	Fosa de las Marianas
Vladimirus Vysockij	Vladímir Vysotski
Everestius mons	Monte Everest
Anatomia	Anatomía
Urbs	Ciudad
Napoleo I (imperator Franciae)	Napoleón Bonaparte
Olympus mons (Mars)	Monte Olimpo (Marte)
Physiologia	Fisiología
Stella	Estrella
Vesuvius	Monte Vesubio
Sol	Sol
Caelum	Cielo
Ludovicus Pasteur	Louis Pasteur
Annus luce mensus	Año luz
Oppidulum	Pueblo (población rural)
Victor Hugo	Victor Hugo
Oceania	Oceanía
Iosephus Garibaldi	Giuseppe Garibaldi
Urbs Vetus	Orvieto
Ludus gymnicus campestris	Atletismo
Censura	Censura
Systema solare	Sistema Solar
Balticum mare	Mar Báltico
Tergeste	Trieste
Vistula	Vístula
Campi Elysii (via)	Avenida de los Campos Elíseos
Viadrus	Óder
Hydrogenium	Hidrógeno
Helium	Helio
Infernus	Infierno
Vicimedia Communia	Wikimedia Commons
Angela Merkel	Angela Merkel
Lithium	Litio
Beryllium	Berilio
Megaphonum	Altavoz
Liber	Libro
Dies	Día
Timoria Orientalis	Timor Oriental
Nox	Noche
Georgius Alessandri Rodríguez	Jorge Alessandri
Annus	Año
Saeculum	Siglo
Carolus Ibáñez del Campo	Carlos Ibáñez del Campo
Lodzia	Łódź
Canegratum	Canegrate
Rupes Alba	Mont Blanc
Rhenus	Rin
Asloa	Oslo
Bonna	Bonn
Sollemnitas Omnium Sanctorum	Día de Todos los Santos
Katovicum	Katowice
Gurges ater	Agujero negro
Ludovicus Camonius	Luís de Camões
Ceres (planetula)	Ceres (planeta enano)
Olisipo	Lisboa
Resovia	Rzeszów
Ichiro Suzuki	Ichiro Suzuki
Haumea (planetula)	Haumea (planeta enano)
Rhodanus	Ródano
Makemake (planetula)	Makemake (planeta enano)
Michael Bloomberg	Michael Bloomberg
Actus sexuales	Comportamiento sexual humano
Iona (Ebudes)	Iona
Eris (planetula)	Eris (planeta enano)
Dubai	Dubái
Leonillus Messi	Lionel Messi
Patavium	Padua
Borium	Boro
Nicolaus Copernicus	Nicolás Copérnico
Versaliae	Versalles
Ludoviciburgum	Luisburgo
Carbonium	Carbono
Alexander Del Piero	Alessandro Del Piero
Rha	Volga
Nitrogenium	Nitrógeno
Bergomum	Bérgamo
Oxygenium	Oxígeno
FC Internazionale Milano	Inter de Milán
Ioannes Moulin	Jean Moulin
Neil Young	Neil Young
Planeta	Planeta
Cleopatra VII (regina Aegypti)	Cleopatra VII
Musica	Música
Venetiae	Venecia
Naruto	Naruto
Padus	Po
Neva	Río Nevá
Thermometrum	Termómetro
Condate Redonum	Rennes
Insula (Francia)	Lille
Moscua	Moscú
Fluor	Flúor
Lingua Italiana	Idioma italiano
Neon	Neón
Chihuahua	Chihuahua
Petropolis	San Petersburgo
Tzadia	Chad
Natrium	Sodio
Septentrio (plaga)	Norte
Magnesium	Magnesio
Neon Genesis Evangelion	Neon Genesis Evangelion
Aluminium	Aluminio
Nova Zelandia	Nueva Zelanda
Meridies	Sur
India	India
Silicium	Silicio
Francium	Francio
Tuvalu	Tuvalu
One Piece	One Piece
Phosphorus	Fósforo
Andreas Maria Ampère	André-Marie Ampère
Prosa	Prosa
Ferrum	Hierro
Tonga	Tonga
Occidens	Oeste
Alexander Volta	Alessandro Volta
Sulphur	Azufre
Samoa	Samoa
Oriens	Este
Insulae Salomonis	Islas Salomón
Vanuatu	Vanuatu
Molière	Molière
Chlorum	Cloro
Delphi (urbs Bataviae)	Delft
Papua Nova Guinea	Papúa Nueva Guinea
Gulielmus Shakesperius	William Shakespeare
Fabula	Fábula
Hollandia Australis	Holanda Meridional
Belavia	Palaos
Argon	Argón
Nauru	Nauru
Mozilla Firefox	Mozilla Firefox
Hollandia Septentrionalis	Holanda Septentrional
Civitates Foederatae Micronesiae	Estados Federados de Micronesia
Kalium	Potasio
Zelandia	Zelanda
Calcium	Calcio
Flevolandia	Flevolanda
Plumbum	Plomo
Insulae Marsalienses	Islas Marshall
Kiribati	Kiribati
Mongolia	Mongolia
Viti	Fiyi
Scandium	Escandio
Stevie Wonder	Stevie Wonder
Hailprunna	Heilbronn
Titanium	Titanio
Venetiola	Venezuela
Scacci	Ajedrez
Saginava	Saginaw
Cingischam	Gengis Kan
Vanadium	Vanadio
Cenomannica	Maine
Chromium	Cromo
Equus caballus	Equus ferus caballus
Amstelodamum	Ámsterdam
Arma	Arma
Animalia	Animalia
Surinamia	Surinam
Manganum	Manganeso
Paraquaria	Paraguay
Guiana	Guyana
Ars	Arte
Aequatoria	Ecuador
Rhenium	Renio
Columbia	Colombia
Cobaltum	Cobalto
Ioannes Racine	Jean Racine
Wolframium	Wolframio
Niccolum	Níquel
Fragaria	Fragaria
Petrus Corneille	Pierre Corneille
Buddhismus	Budismo
Groninga (urbs)	Groninga
Bolivia	Bolivia
Osmium	Osmio
Groninga (provincia)	Provincia de Groninga
Cuprum	Cobre
Trinitas et Tabacum	Trinidad y Tobago
Plantae	Plantae
Sanctus Vincentius et Granatinae	San Vicente y las Granadinas
Zincum	Cinc
Nova Hantonia	Nuevo Hampshire
Sancta Lucia (civitas)	Santa Lucía
Leonardus Vincius	Leonardo da Vinci
Sanctus Christophorus et Nives	San Cristóbal y Nieves
Fungi	Fungi
Darius Fo	Dario Fo
Iamaica	Jamaica
Stephanus Mallarmé	Stéphane Mallarmé
Fanum Sancti Petri Brattiae	Supetar
Granata (civitas Caribica)	Granada (país)
Frisia (provincia)	Frisia
Massachusetta	Massachusetts
Drenthia	Drente
Transisalania	Overijssel
Guatimalia	Guatemala
Geldria	Güeldres
Traiectum ad Rhenum (provincia)	Provincia de Utrecht
Insulae Bahamenses	Bahamas
Connecticuta	Connecticut
Gallus	Gallus gallus domesticus
Antiqua et Barbuda	Antigua y Barbuda
Havaii (civitas)	Hawái
Honduria	Honduras
Dominica (civitas)	Dominica
Caesarea Insula	Jersey
Respublica Dominicana	República Dominicana
Porcus	Sus scrofa domestica
Oceanus Arcticus	Océano Ártico
Haiti	Haití
Taumata­whakatangihanga­koauau­o­tamatea­turi­pukakapiki­maunga­horo­nuku­pokai­whenua­kitanatahu	Taumatawhakatangihangakoauauotamateaturipukakapikimaungahoronukupokaiwhenuakitanatahu
Salvatoria	El Salvador
Svolla	Zwolle
Irania	Irán
Stupiditas	Tonto
Iracum	Irak
Alasca	Alaska
Assen	Assen
Sapientia	Sabiduría
Costarica	Costa Rica
Israël	Israel
Traiectum ad Rhenum	Utrecht
Panama	Panamá
Iemenia	Yemen
Lausanna	Lausana
Virus biologicum	Virus
Lingua Polonica	Idioma polaco
Iordania	Jordania
Nicaragua	Nicaragua
Florida	Florida
Chirgisia	Kirguistán
Gabriel González Videla	Gabriel González Videla
Arizona	Arizona
Cuvaitum	Kuwait
Laotia	Laos
Ioannes Antonius Ríos Morales	Juan Antonio Ríos
Libanus	Líbano
Oregonia	Oregón
Insulae Maldivae	Maldivas
America	América
Uta	Utah
Bos taurus	Bos primigenius taurus
Malaesia	Malasia
Valesia	Cantón del Valais
Michael Bulgakov	Mijaíl Bulgákov
Birmania	Birmania
Nepalia	Nepal
Omania	Omán
Pakistania	Pakistán
Petrus Aguirre Cerda	Pedro Aguirre Cerda
Quataria	Catar
Teniludus	Tenis
Arturus Alessandri	Arturo Alessandri
Franciscus Villon	François Villon
Arabia Saudiana	Arabia Saudita
Andreas Tarkovskij	Andréi Tarkovski
Taprobane	Sri Lanka
Iosephus Stalin	Iósif Stalin
Ioannes Ludovicus Sanfuentes	Juan Luis Sanfuentes
Syria	Siria
Plato	Platón
Gallium	Galio
Iosephus Brodskij	Joseph Brodsky
Tadzikistania	Tayikistán
Pokémon	Pokémon
Res publica Sinarum	República de China
YouTube	YouTube
Germanium	Germanio
Aristoteles	Aristóteles
Thailandia	Tailandia
Tramen	Tren
Arsenicum	Arsénico
Radiophonia	Radiocomunicación
Maria Ludovica Streep	Meryl Streep
Turcomannia	Turkmenistán
Selenium	Selenio
Iridium	Iridio
Phylarchiarum Arabicarum Confoederatio	Emiratos Árabes Unidos
Bromum	Bromo
Platinum	Platino
Vietnamia	Vietnam
Carolus Chaplin	Charles Chaplin
Novosibirscum	Novosibirsk
Respublica Coreana	Corea del Sur
Iosephus Piłsudski	Józef Piłsudski
The Simpsons	Los Simpson
Catharinopolis	Ekaterimburgo
Krypton	Kriptón
Afgania	Afganistán
Gangnam Style	Gangnam Style
Novogardia Inferior	Nizhni Nóvgorod
Iohannes Raginualdus Raguel Tolkien	J. R. R. Tolkien
Limonata	Limonada
Samara (Russia)	Samara
Rubidium	Rubidio
Aurum	Oro
Omium	Omsk
Canalis Suesiensis	Canal de Suez
Casanum	Kazán
Bangladesha	Bangladés
Bleach (manga)	Bleach
Franciscus Kafka	Franz Kafka
Celiabinsca	Cheliábinsk
Rostovia ad Tanaim	Rostov del Don
Georgius Ludovicus Borges	Jorge Luis Borges
Ufa	Ufá
Malium	Malí
Socrates	Sócrates
Volgogradum	Volgogrado
Angolia	Angola
Permia	Perm
Butania	Bután
Twitter	Twitter
Crasnoiarium	Krasnoyarsk
Bruneium	Brunéi
Bretia	Brač
Tanzania	Tanzania
Hydrargyrum	Mercurio (elemento)
Rodoaldus Amundsen	Roald Amundsen
Henricus Mulisch	Harry Mulisch
Philippinae	Filipinas
Respublica Africae Mediae	República Centroafricana
Thallium	Talio
Polus Australis	Polo Sur
Polus arcticus	Polo Norte
Isaacus Newtonus	Isaac Newton
Albertus Einstein	Albert Einstein
Strontium	Estroncio
Petrus I (imperator Brasiliae)	Pedro I de Brasil y IV de Portugal
Yttrium	Itrio
Bisemutum	Bismuto
Gilvus	Amarillo
Mechanica quantica	Mecánica cuántica
Togum	Togo
Donaldus Tusk	Donald Tusk
Tunesia	Túnez
Ioannes Bardeen	John Bardeen
Regiolum	Reggiolo
Zambia	Zambia
Zimbabua	Zimbabue
Pechinum	Pekín
Sudania Australis	Sudán del Sur
Vladivostokium	Vladivostok
Tuva	Tuvá
Beninum	Benín
Botswana	Botsuana
Vicinuntii	Wikinoticias
Burkina Faso	Burkina Faso
Burundia	Burundi
Varburgum Vestphalorum	Warburg
Insulae Comorianae	Comoras
Respublica Congensis	República del Congo
Obius	Río Obi
Res publica democratica Congensis	República Democrática del Congo
Sanctus Antonius (Texia)	San Antonio (Texas)
Tomium (urbs)	Tomsk
Gibutum	Yibuti
Memum	Meme
Polonium	Polonio
Bavaria	Baviera
Guinea Aequinoctialis	Guinea Ecuatorial
Badenia-Virtembergia	Baden-Wurtemberg
Erythraea	Eritrea
Dellium Novum	Nueva Delhi
Ioannes Paulus II	Juan Pablo II
Theodorus Dostoevskij	Fiódor Dostoyevski
Camtschatca	Península de Kamchatka
Tiphlis	Tiflis
Andreas Sacharov	Andréi Sájarov
Infantulus	Bebé
Astatinum	Ástato
Gabon	Gabón
Mahatma Gandhi	Mahatma Gandhi
Narratio picta	Historieta
Gambia	Gambia
Guinea	Guinea
Guinea Bissaviensis	Guinea-Bisáu
Litus Eburneum	Costa de Marfil
Cameronia	Camerún
Marburgum (Slovenia)	Máribor
Res publica Capitis Viridis	Cabo Verde
Celeia	Celje
Lesothum	Lesoto
Liberia	Liberia
Iustinopolis	Koper
Libya	Libia
Aquisgranum	Aquisgrán
Goritia Nova	Nova Gorica
Madagascaria	Madagascar
Malavium	Malaui
Carnioburgum	Kranj
Stutgardia	Stuttgart
Mauritania	Mauritania
Poloni	Pueblo polaco
Mauritia	Mauricio
Marocum	Marruecos
Mozambicum	Mozambique
Namibia	Namibia
Franciscus Preseren	France Prešeren
Res publica Nigritana	Níger
Nigeria	Nigeria
Belna (Helvetia)	Biel/Bienne
Carolus Darwinius	Charles Darwin
Uganda	Uganda
Ruanda	Ruanda
Zirconium	Circonio
Insulae Sancti Thomae et Principis	Santo Tomé y Príncipe
Carolsruha	Karlsruhe
Senegalia	Senegal
Insulae Seisellenses	Seychelles
Carolus Linnaeus	Carlos Linneo
Mons Leoninus	Sierra Leona
Somalia	Somalia
Niobium	Niobio
Jawaharlal Nehru	Sri Pandit Jawaharlal Nehru
Gaius Iulius Caesar	Julio César
Sudania	Sudán
Swazia	Suazilandia
Caelestis arcus	Arco iris
Molybdenum	Molibdeno
Technetium	Tecnecio
Hamburgum	Hamburgo
Italus Balbo	Italo Balbo
Metabolismus	Metabolismo
Narendra Modi	Narendra Modi
Systema immunitatis	Sistema inmunitario
Guzarata	Guyarat
Andiatrocus Lacus	Lago Ontario
Evolutio	Evolución biológica
Alexander Manzoni	Alessandro Manzoni
Nationes Unitae	Organización de las Naciones Unidas
Lacus Superior	Lago Superior
Dantes Alagherius	Dante Alighieri
Geologia	Geología
Amedebatum	Ahmedabad
Geographia	Geografía
Cor	Corazón
Cerebrum	Cerebro
Cutis	Piel
Color	Color
Breaking Bad	Breaking Bad
Salernum	Salerno
Nomen substantivum	Sustantivo
Praga	Praga
Ruthenium	Rutenio
Rhodium	Rodio
Caeruleus	Azul
Palladium	Paladio
Argentum	Plata
Cadmium	Cadmio
Star Trek	Star Trek
Limburgum (provincia Nederlandica)	Limburgo (Países Bajos)
Indium	Indio (elemento)
Limburgum (provincia Belgica)	Provincia de Limburgo (Bélgica)
Stannum	Estaño
Statio principalis Berolinensis	Estación Central de Berlín
Uranium	Uranio
Stibium	Antimonio
Tellurium	Telurio
Plutonium	Plutonio
Iodum	Yodo
Neptunium	Neptunio
Xenon	Xenón
Anime	Anime
Caesium	Cesio
Protactinium	Protactinio
Foederatio Unitatis Planetarum	Federación de Planetas Unidos
Onus electricum	Carga eléctrica
Barium (elementum)	Bario
Flandria Occidentalis	Provincia de Flandes Occidental
Flandria Orientalis	Provincia de Flandes Oriental
Thorium	Torio
Antverpia (provincia)	Provincia de Amberes
Brabantia Flandrensis	Brabante Flamenco
Hafnium	Hafnio
Actinium	Actinio
Tantalum	Tantalio
Gulielmus Clinton	Bill Clinton
Namurcum (provincia)	Provincia de Namur
Luxemburgum (provincia Belgica)	Provincia de Luxemburgo
Radium	Radio (elemento)
Hannonia	Provincia de Henao
Radon	Radón
Lotharingia	Lorena (Francia)
Alsatia	Alsacia
Ioannes Philippus Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Mercurius (deus)	Mercurio (mitología)
Hector Berlioz	Hector Berlioz
Arvernia	Auvernia
Bustum Arsitium	Busto Arsizio
Mumbai	Bombay
Andhra Pradesa	Andhra Pradesh
Arunacala Pradesa	Arunachal Pradesh
Asama	Assam
Bihara	Bihar
Michigania	Míchigan
Chattisagarha	Chhattisgarh
Lacus Michiganus	Lago Míchigan
Goa	Goa
Burgundia (regio Franciae)	Borgoña
Hariyana	Haryana
Himacala Pradesa	Himachal Pradesh
Mauricius Ravel	Maurice Ravel
Aquitania (regio Franciae)	Aquitania
Jammu et Casmiria	Jammu y Cachemira
Portus Dives	Puerto Rico
Jharakhanda	Jharkhand
Carnatica	Karnataka
Malabaria	Kerala
Madhya Pradesa	Madhya Pradesh
Usain Bolt	Usain Bolt
Lemovicensis (regio Franciae)	Lemosín
Maharastra	Maharastra
Ioannes Baptista Lully	Jean-Baptiste Lully
Manipura	Manipur
Slesvicum-Holsatia	Schleswig-Holstein
Meghalaya	Megalaya
Megapolis-Pomerania Citerior	Mecklemburgo-Pomerania Occidental
Saxonia Inferior	Baja Sajonia
Rhenania Septentrionalis-Vestfalia	Renania del Norte-Westfalia
Hassia	Hesse
Rhenania-Palatinatus	Renania-Palatinado
Saravia	Sarre
Saxonia	Sajonia
Ioannes Lennon	John Lennon
Illinoesia	Illinois
Thuringia	Turingia
Saxonia-Anhaltium	Sajonia-Anhalt
Dacota Septentrionalis	Dakota del Norte
Brandenburgum	Brandeburgo
Urbs Hanseatica Brema	Bremen (estado)
Langobardia	Lombardía
Dacota Meridiana	Dakota del Sur
Montana	Montana
Dialectus Sallentina	Dialecto salentino
Vyomina	Wyoming
Pedemontium	Piamonte
Hierosolyma	Jerusalén
Georgius Napolitano	Giorgio Napolitano
Idahum	Idaho
Vallis Augustana	Valle de Aosta
Vasingtonia	Washington (estado)
Carolus Azelius Ciampi	Carlo Azeglio Ciampi
Bruce Springsteen	Bruce Springsteen
Rutherfordium	Rutherfordio
Nivata	Nevada
Anscharius Aloisius Scalfaro	Oscar Luigi Scalfaro
Tanais	Río Don
Franciscus Cossiga	Francesco Cossiga
Dubnium	Dubnio
Alexander Pertini	Sandro Pertini
Seaborgium	Seaborgio
Ioannes Leone	Giovanni Leone
Tridentinum-Athesia Superior/Tirolis Meridionalis	Trentino-Alto Adigio
Iosephus Saragat	Giuseppe Saragat
Oceanus Indicus	Océano Índico
Antonius Segni	Antonio Segni
Ioannes Gronchi	Giovanni Gronchi
Aloisius Einaudi	Luigi Einaudi
Venetia (regio)	Véneto
Henricus De Nicola	Enrico De Nicola
Kosovia	Kosovo
Mare Caribaeum	Mar Caribe
Vesulus mons	Monviso
Bohrium	Bohrio
Forum Iulii-Venetia Iulia	Friuli-Venecia Julia
Hassium	Hassio
Ban Gi-mun	Ban Ki-moon
Kofi Annan	Kofi Annan
Liguria	Liguria
Boutros Boutros-Ghali	Butros Butros-Ghali
Meitnerium	Meitnerio
Curtius Waldheim	Kurt Waldheim
Coloratum	Colorado
Aemilia-Romania	Emilia-Romaña
Coloratum Flumen	Río Colorado
Darmstadtium	Darmstadio
Dag Hammarskjöld	Dag Hammarskjöld
Fridericus Chopin	Frédéric Chopin
Roentgenium	Roentgenio
Tuscia	Toscana
Leonardus Cohen	Leonard Cohen
Copernicium	Copernicio
Marchia Anconitana	Marcas
