Africa	África
Japan	Japón
South America	América del Sur
Norway	Noruega
Scotland	Escocia
Wales	Gales
Ireland	Irlanda
Hungary	Hungría
Spain	España
United States of America	Estados Unidos
Belgium	Bélgica
Luxembourg	Luxemburgo
Rudunhumwe	Universo
Rinopasi	Tierra
Finland	Finlandia
Sweden	Suecia
Denmark	Dinamarca
Poland	Polonia
Lithuania	Lituania
Italy	Italia
Switzerland	Suiza
Austria	Austria
Greece	Grecia
Turkey	Turquía
Doro	Cerveza
Portugal	Portugal
Europe	Europa
Asia	Asia
North America	América del Norte
Netherlands	Países Bajos
Mboro	Pene
Washington, DC	Washington D. C.
Bern	Berna
Uruguay	Uruguay
London	Londres
Cairo	El Cairo
Alexandria	Alejandría
Paris	París
Mexico	México
Gungwa reAtlantic	Océano Atlántico
Gungwa rePacific	Océano Pacífico
Muvhuro	Lunes
Kenya	Kenia
Ethiopia	Etiopía
Ghana	Ghana
Gunyana	Septiembre
Chipiri	Martes
Chitatu	Miércoles
China (Musi)	Jueves
Chishanu (musi)	Viernes
Mugovera	Sábado
Svondo (musi)	Domingo
Shumba	Panthera leo
France	Francia
Imbwa	Canis lupus familiaris
United Kingdom	Reino Unido
Katsi	Felis silvestris catus
China (nyika)	República Popular China
Hove	Pisces
Brazil	Brasil
Russian Federation	Rusia
Skweya	Cuadrado
Germany	Alemania
Belarus	Bielorrusia
Iceland	Islandia
Mwari	Dios
Estonia	Estonia
Ndege	Avión
Hondo	Guerra
Motsi	Uno
Piri	Dos
Tatu	Tres
China	Cuatro
Shanu	Cinco
Chipasina	Cero
Ruramamakonyo	Rectángulo
Rurama (pimanyika)	Ángulo recto
Latvia	Letonia
Ukraine	Ucrania
Czechia	República Checa
Slovakia	Eslovaquia
Slovenia	Eslovenia
Vilnius	Vilna
Moldova	Moldavia
Romania	Rumania
Bulgaria	Bulgaria
Rome	Roma
Macedonia	República de Macedonia
Albania	Albania
Croatia	Croacia
Bosnia and Herzegovina	Bosnia y Herzegovina
Azerbaijan	Azerbaiyán
Andorra	Andorra
Cyprus	Chipre
Georgia	Georgia
Kazakhstan	Kazajistán
Malta	Malta
Monaco	Mónaco
Montenegro	Montenegro
Vatican City	Ciudad del Vaticano
San Marino	San Marino
Brussels	Región de Bruselas-Capital
Cuba	Cuba
Belize	Belice
Barbados	Barbados
Indonesia	Indonesia
South Africa	Sudáfrica
Algeria	Argelia
Uzbekistan	Uzbekistán
Tashkent	Taskent
Warsaw	Varsovia
Mvura	Agua
Dehwe	Cuero
Chile	Chile
Nhoroondo	Historia
Mutauro	Lenguaje
Zvechadenga	Astronomía
Singapore	Singapur
Liechtenstein	Liechtenstein
Hondo yePasirose yeChiposhi	Primera Guerra Mundial
Hondo yePasirose yeChipiri	Segunda Guerra Mundial
Skopje	Skopie
Masvomhu	Matemáticas
Bahrain	Baréin
Armenia	Armenia
Serbia	Serbia
Mwedzi (mutumbi)	Luna
Australia	Australia
Fundoyetsimba	Física
Argentina	Argentina
Peru	Perú
Ketaupenyu	Biología
North Korea	Corea del Norte
Cambodia	Camboya
Ketamhuka	Zoología
Islam	Islam
Ljubljana	Liubliana
Rugare	Paz
Mukadzi	Mujer
Sofia	Sofía
Husimbe	Pereza
Nyemwerera	Sonrisa
Milan	Milán
Dhodhi	Excremento
Mukosho	Ano
Ruva	Flor
Guta	Ciudad
Nyenyedzi	Estrella
Zuva	Sol
Dandira reMushana	Sistema Solar
Mazino	Diente
Bhuku	Libro
Musi	Día
East Timor	Timor Oriental
Husiku	Noche
Gore	Año
Mwaka wechizana	Siglo
Oslo	Oslo
Lisbon	Lisboa
Nyeredzi	Planeta
Mimhanzi	Música
Moscow	Moscú
Chad	Chad
Maodzanyemba	Norte
New Zealand	Nueva Zelanda
Chamhembe	Sur
India	India
Tuvalu	Tuvalu
Tonga	Tonga
Madokero	Oeste
Samoa	Samoa
Mabvazuva	Este
Solomon Islands	Islas Salomón
Vanuatu	Vanuatu
Papua New Guinea	Papúa Nueva Guinea
Palau	Palaos
Nauru	Nauru
Federated States of Micronesia	Estados Federados de Micronesia
Marshall Islands	Islas Marshall
Kiribati	Kiribati
Mongolia	Mongolia
Fiji	Fiyi
Venezuela	Venezuela
Bhiza	Equus ferus caballus
Amsterdam	Ámsterdam
Zvombo	Arma
Mhuka	Animalia
Suriname	Surinam
Paraguay	Paraguay
Guyana	Guyana
Ecuador	Ecuador
Colombia	Colombia
Bolivia	Bolivia
Trinidad and Tobago	Trinidad y Tobago
Madzinde	Plantae
Saint Vincent and the Grenadines	San Vicente y las Granadinas
Zeng'e	Cinc
Saint Lucia	Santa Lucía
Saint Kitts and Nevis	San Cristóbal y Nieves
Jamaica	Jamaica
Grenada	Granada (país)
Guatemala	Guatemala
The Bahamas	Bahamas
Huku	Gallus gallus domesticus
Antigua and Barbuda	Antigua y Barbuda
Honduras	Honduras
Dominica	Dominica
Dominican Republic	República Dominicana
Nguruve	Sus scrofa domestica
Haiti	Haití
El Salvador	El Salvador
Iran	Irán
Iraq	Irak
Costa Rica	Costa Rica
Israel	Israel
Panama	Panamá
Yemen	Yemen
Jordan	Jordania
Nicaragua	Nicaragua
Florida	Florida
Kyrgyzstan	Kirguistán
Kuwait	Kuwait
Laos	Laos
Lebanon	Líbano
Maldives	Maldivas
America (dzose)	América
Malaysia	Malasia
Burma	Birmania
Nepal	Nepal
Oman	Omán
Pakistan	Pakistán
Qatar	Catar
Saudi Arabia	Arabia Saudita
Sri Lanka	Sri Lanka
Syria	Siria
Tajikistan	Tayikistán
Taiwan	República de China
Thailand	Tailandia
Chitima	Tren
Turkmenistan	Turkmenistán
United Arab Emirates	Emiratos Árabes Unidos
Vietnam	Vietnam
South Korea	Corea del Sur
Afghanistan	Afganistán
Muronga Suez Canal	Canal de Suez
Bangladesh	Bangladés
Mali	Malí
Angola	Angola
Bhutan	Bután
Brunei	Brunéi
Tanzania	Tanzania
Philippines	Filipinas
Central African Republic	República Centroafricana
