Afraga	África
Escambia County, Florida	Condado de Escambia (Florida)
Howard County, Iowa	Condado de Howard (Iowa)
Felipe González Márquez	Felipe González
Beith-airgid	Betula pendula
Uinnseann	Fraxinus excelsior
Trefynwy	Monmouth
Prionnsalachd Hohenzollern-Sigmaringen	Hohenzollern-Sigmaringen
Zittau	Zittau
British Midland International	Bmi
William Cavendish-Bentinck, 3mh Diùc Phortland	William Henry Cavendish-Bentinck
Ryoji Noyori	Ryōji Noyori
Odd Hassel	Odd Hassel
Taigh Rìoghail Hanòbhair	Casa de Hannover
Kary B. Mullis	Kary Mullis
Frauenkirche	Frauenkirche (Dresde)
Robert Aumann	Robert Aumann
Artturi Ilmari Virtanen	Artturi Ilmari Virtanen
Lord Alexander R. Todd	Alexander Robert Todd
Michael Spence	Michael Spence
Harold Kroto	Harold Kroto
Merton Miller	Merton Miller
John Russell, 1d Iarla Russell	Lord John Russell
Leonid Hurwicz	Leonid Hurwicz
Robert Solow	Robert Solow
Sàirdseant	Sargento
Jaroslav Heyrovský	Jaroslav Heyrovský
Diùcachd Sagsainn-Meiningen	Ducado de Sajonia-Meiningen
Coca	Erythroxylum coca
Victoria Island (Canada)	Isla Victoria (Canadá)
Diùcachd Sachsen-Altenburg	Ducado de Sajonia-Altenburgo
Eala bhuidhe	Hypericum perforatum
Cees Nooteboom	Cees Nooteboom
Àrd Dhiùcachd Mhecklenburg-Schwerin	Mecklemburgo-Schwerin
Balley Chashtal	Castletown (Isla de Man)
Darach neo-ghasagach	Quercus petraea
Bucas (craobh)	Buxus
Universidade Federal da Bahia	Universidad Federal de Bahía
Centro Federal de Educação Tecnológica de Minas Gerais	Centro Federal de Educación Tecnológica de Minas Gerais
Santa Cruz, Calafòrnia	Santa Cruz (California)
Santa Clara, Calafòrnia	Santa Clara (California)
Arequipa	Arequipa
Santa Barbara, Calafòrnia	Santa Bárbara (California)
Steve McQueen	Steve McQueen (actor)
Muc-mhara adharcach	Monodon monoceros
Faro	Faro (Portugal)
Ravensbruck	Campo de concentración de Ravensbrück
Johannes Vilhelm Jensen	Johannes Vilhelm Jensen
Diùcachd Württemberg	Wurtemberg
Joseph Priestley	Joseph Priestley
Leas-abhainn	Afluente
Còigeamh Laighean	Leinster
J. M. W. Turner	Joseph Mallord William Turner
AC	Anno Dómini
Nick Griffin	Nick Griffin
Coirce a' Mhadadh-Ruaidh	Arrhenatherum elatius
Travnik	Travnik
Oilthigh Rostock	Universidad de Rostock
Augusto Roa Bastos	Augusto Roa Bastos
Leth-aon	Gemelos (biología)
Lus-an-eallain	Geranium robertianum
Banca Rìoghail na h-Alba	Royal Bank of Scotland
Rousse	Ruse
Cherbourg-Octeville	Cherburgo-Octeville
Hernán Crespo	Hernán Crespo
Oilthigh Dhùn Èideann	Universidad de Edimburgo
Theo van Doesburg	Theo van Doesburg
Odysseas Elytis	Odysséas Elýtis
Inbhir Nis	Inverness
Heraklion	Heraclión
Alfred Russel Wallace	Alfred Russel Wallace
Amhrán na bhFiann	Himno nacional de Irlanda
Colann	Tronco (anatomía)
Abaid	Abadía
William Gladstone	William Gladstone
Àrd Dhiùcachd Mhecklenburg-Strelitz	Mecklemburgo-Strelitz
00an RC	Años 0 a. C.
Campaichean Gulag	Gulag
Vojna i mir	Guerra y paz
Roid	Myrica gale
T.A.T.u.	T.A.T.u.
Pàpa Pius IV	Pío IV
Samoa	Archipiélago de Samoa
Gaisgeach	Héroe
Tony Curtis	Tony Curtis
Earrach Phràg	Primavera de Praga
Sirte	Sirte
Contae Chorcaí	Condado de Cork
Loup County, Nebraska	Condado de Loup
Roinnean na Spàinne	Provincia de España
Acadamh	Academia
Nua-libearalas	Neoliberalismo
Atlas	Atlas (cartografía)
Negev	Néguev
Seula	Sello (cuño)
Greene County, Virginia	Condado de Greene (Virginia)
Sant-Maloù	Saint-Malo
Akron, Ohio	Akron
Leigiun	Legión romana
Brat-ùrlair	Alfombra
South Kingstown, Rhode Island	South Kingstown
Doire	Derry
Bàislig	Basílica
Còrn Sasannach	Trompa (instrumento)
St Peter's College, Auckland	St Peter's College
Dearbhair-litreachaidh	Corrector ortográfico
Obrachadh càraideach	Operación binaria
Bethlehem, Pennsylvania	Bethlehem (Pensilvania)
Corpse Bride	Corpse Bride
Còigeamh Chonnacht	Connacht
Func	Funk
Cùisear	Sujeto (gramática)
Floyd County, Indiana	Condado de Floyd (Indiana)
Curraidh	Curry
Jean Baptiste Dumas	Jean-Baptiste Dumas
Beach-lann	Colmena
Biotais	Beta vulgaris
100an	Años 100
100an RC	Años 100 a. C.
Maywood, Illinois	Maywood (Illinois)
Lope de Vega	Lope de Vega
Peann	Pluma (escritura)
Jimmy Page	Jimmy Page
Co-iomlaideachd	Conmutatividad
Naomh Pàdraig	Patricio de Irlanda
Ewan McGregor	Ewan McGregor
Leucippus	Leucipo de Mileto
Prionnsalachd Waldeck-Prymont	Principado de Waldeck
Giorgos Seferis	Yorgos Seferis
Steòrnabhagh	Stornoway
Sùmaid	Ola
Fort Lauderdale, Florida	Fort Lauderdale
Upper Hutt	Upper Hutt
Lelystad	Lelystad
Daniel Day-Lewis	Daniel Day-Lewis
Gneiss	Gneis
Hiort	San Kilda
Seachd peacaidhean-bàis	Pecados capitales
Stanley Baldwin	Stanley Baldwin
Ramsaigh MacDhòmhnaill	Ramsay MacDonald
Andrew Bonar Law	Andrew Bonar Law
H. H. Asquith	Herbert Henry Asquith
Clisg-phuing	Signo de exclamación
Crescent City, Calafòrnia	Crescent City
Gunna fada	Dedo medio
Naomh Antaine an Padua	Antonio de Padua
Lenawee County, Michigan	Condado de Lenawee
St. Joseph County, Michigan	Condado de St. Joseph (Míchigan)
Pàpa Innocentius IX	Inocencio IX
Adhbrann	Tobillo
Logan County, Kansas	Condado de Logan (Kansas)
Ynys Môn	Anglesey
Acair (bàta)	Ancla
Àradh	Escalera de mano
10an RC	Años 10 a. C.
Sgt. Pepper's Lonely Hearts Club Band	Sgt. Pepper's Lonely Hearts Club Band
Muhammad ibn Zakarīya Rāzi	Al-Razi
Protagoras	Protágoras
11mh linn RC	Siglo XI a. C.
Contae na Gaillimhe	Condado de Galway
Yuba City, Calafòrnia	Yuba City
Imperial County, Calafòrnia	Condado de Imperial
Loch Tahoe	Lago Tahoe
Gerard Butler	Gerard Butler
Oilthigh Lunnainn	Universidad de Londres
1100an	Años 1100
Poblachd nan Seachd Roinnean Aonaichte	Provincias Unidas de los Países Bajos
Comhachag gheal	Bubo scandiacus
Cumhachd-uisge	Energía hidráulica
Bheataireachd	Veterinaria
Apocruiphia	Apócrifo (religión)
Cuaigearan	Sociedad Religiosa de los Amigos
Na Seicich	Checos
Chester	Chester
110an	Años 110
Matilde Camus	Matilde Camus
Pàpa Clemens VIII	Clemente VIII
Scrabble	Scrabble
Taubaté	Taubaté
Tommy Lee Jones	Tommy Lee Jones
Advance Australia Fair	Advance Australia Fair
Teacno	Techno
Ryanair	Ryanair
Roger D. Kornberg	Roger D. Kornberg
Ealasaid Báthory	Erzsébet Báthory
Carbad-smùide	Locomotora de vapor
The Princess and the Frog	The Princess and the Frog
Neòinean-grèine	Helianthus annuus
Haile Gebrselassie	Haile Gebrselassie
Pàpa Griogair XIV	Gregorio XIV
12na linn RC	Siglo XII a. C.
Neactair	Néctar (botánica)
Yochanan Vollach	Yochanan Vollach
Stad-phuing	Punto (puntuación)
Co-fhlaitheas na Pòlainn - Liotuàinia	República de las Dos Naciones
Oidhche Shàmhach (òran)	Noche de paz
Lady and the Tramp	La dama y el vagabundo
120an	Años 120
Montauban	Montauban
Driuchaidean	Exorcismo
Fucking, An Ostaire	Fucking
Samuel L. Jackson	Samuel L. Jackson
Aleister Crowley	Aleister Crowley
Thar	Desierto de Thar
Na Marquesas	Islas Marquesas
Karakum	Desierto de Karakum
Siar-sgeul	Wéstern
Comhairle Treinte	Concilio de Trento
Beart-chlò	Telar
Mícheál Ó Coileáin (ceannard Èireannach)	Michael Collins (líder irlandés)
Brisg	Papas fritas inglesas
Cros-dhàn	Acróstico
Contae Chill Dara	Condado de Kildare
Éamon de Valera	Éamon de Valera
Bèigneid	Bayoneta
Uaigh	Sepultura
Amen	Amén
Contae Átha Cliath	Condado de Dublín
Toradh Cartesach	Producto cartesiano
Reidius	Radio (geometría)
An Tàinistear	Regencia (política)
Columbia County, Florida	Condado de Columbia (Florida)
Peanta	Pintura (material)
Wilmington, Delaware	Wilmington (Delaware)
St. Peter Port	Saint Peter Port
Pedro Alvarez Cabral	Pedro Álvares Cabral
Amos	Libro de Amós
Obadiah	Libro de Abdías
Calhoun County, Florida	Condado de Calhoun (Florida)
Cuspair (gràmar)	Complemento del verbo
Prowers County, Colorado	Condado de Prowers
13mh linn RC	Siglo XIII a. C.
Barra	Carretilla
Cumberland County, Kentucky	Condado de Cumberland (Kentucky)
Clearwater County, Idaho	Condado de Clearwater (Idaho)
Dlighe Úi Bhaoghail	Ley de Boyle-Mariotte
Taylor County, Iowa	Condado de Taylor (Iowa)
Cabarrus County, Carolina a Tuath	Condado de Cabarrus
Liosta nan dùthchannan a rèir dùmhlachd-sluaigh	Anexo:Países por densidad de población
Paul J. Flory	Paul J. Flory
Seacadh	Recesión
James Mirrlees	James Mirrlees
A' Phloic	Parotiditis
Parabhan	Parafina
170an	Años 170
Tràth (gràmar)	Tiempo gramatical
Cabhsair	Acera
Sgoil-uisge	Hidrostática
Pears-eaglais	Clero
Imre Nagy	Imre Nagy
Rùp	Subasta
Nàidhlean	Nailon
Brùthadh àbhaisteach	Atmósfera (unidad)
Dàrna Poblachd na Spàinne	Segunda República Española
Micah	Libro de Miqueas
Meatailt gotach	Metal gótico
90an RC	Años 90 a. C.
Bàta-smùid	Barco de vapor
Henry County, Iowa	Condado de Henry (Iowa)
Contae Luimnigh	Condado de Limerick
Hagai	Libro de Hageo
Àrd-aingeal	Arcángel
Eseciel	Libro de Ezequiel
Irvine Welsh	Irvine Welsh
Iomairt airson Dì-armachadh Niùclasach	Campaña para el Desarme Nuclear
Gille-cruidh	Cowboy
Cath	Batalla
Lebkuchen	Pan de jengibre
Contae Mhaigh Eo	Condado de Mayo
15mh linn RC	Siglo XV a. C.
Aonadh-obrach	Sindicato
Uaireadair	Reloj de pulsera
Ionah	Libro de Jonás
Gran Canaria	Gran Canaria
Tuireadh	Libro de las Lamentaciones
Coimpiutaireachd	Informática
Alderney	Alderney
Contae Shligigh	Condado de Sligo
Henrik Larsson	Henrik Larsson
Puyallup, Washington	Puyallup (Washington)
Contae Dhún nan Gall	Condado de Donegal
Contae Ros Comáin	Condado de Roscommon (Irlanda)
Bertil Ohlin	Bertil Ohlin
Guasca	Guasca (Cundinamarca)
Beauty and the Beast (film 1991)	La bella y la bestia (película de 1991)
Nahum	Libro de Nahum
Habacuc	Libro de Habacuc
Sechariah	Libro de Zacarías
Harold Clayton Urey	Harold Clayton Urey
Durham	Durham
Contaetha na h-Èireann	Condados de Irlanda
Edmunds County, Dakota a Deas	Condado de Edmunds
Kermanshah	Kermanshah
Johannes Nicolaus Brønsted	Johannes Nicolaus Brønsted
Contae Chill Chainnigh	Condado de Kilkenny
Christopher Lee	Christopher Lee
Uchd-mhacachd	Adopción
Carbad-eiridinn	Ambulancia
Phillip Seymour Hoffman	Philip Seymour Hoffman
Beannag	Bandana (indumentaria)
14mh linn RC	Siglo XIV a. C.
Truro	Truro
Labette County, Kansas	Condado de Labette
Buidheagan	Yema de huevo
Teodaileach	Teodolito
Fàsach Libianach	Desierto Líbico
Herbert Simon	Herbert Alexander Simon
Naomh Thérèse de Lisieux	Teresa de Lisieux
Contae an Chláire	Condado de Clare (Irlanda)
Robert Peel	Robert Peel
Contae Cheatharlach	Condado de Carlow
David Niven	David Niven
Adair County, Kentucky	Condado de Adair (Kentucky)
Essex County, Virginia	Condado de Essex (Virginia)
Copan Moire	Patella vulgata
Lanzarote	Lanzarote
Sgioba nàiseanta criogaid Phagastan	Selección de críquet de Pakistán
Contae Chill Mhantáin	Condado de Wicklow
Contae na hIarmhí	Condado de Westmeath
Van Buren County, Iowa	Condado de Van Buren (Iowa)
Bailead	Balada
Deàrnadaireachd	Quiromancia
Biodag	Daga
Clark County, Missouri	Condado de Clark (Misuri)
Eanraig am Maraiche	Enrique el Navegante
Sruighlea	Stirling
Jihlava	Jihlava
Jefferson County, Iowa	Condado de Jefferson (Iowa)
Abhainn Cheilbhinn	Río Kelvin
G. K. Chesterton	G. K. Chesterton
Jan Tinbergen	Jan Tinbergen
Prince William County, Virginia	Condado de Prince William
Pòla (cruinn-eòlas)	Polo (cartografía)
Ibadan	Ibadán
Bolgan (lus)	Tubérculo
16mh linn RC	Siglo XVI a. C.
Ilya Prigogine	Ilya Prigogine
130an	Años 130
Contae Lú	Condado de Louth
Contae na Mí	Condado de Meath
Port Làirge	Waterford
Aideachadh	Penitencia
Hosea	Libro de Oseas
Gary, Indiana	Gary (Indiana)
Irving Langmuir	Irving Langmuir
Fàsach Mhojave	Desierto de Mojave
Bodha	Arrecife
Kyzyl Kum	Kyzyl Kum
Gràisgealachd	Lenguaje soez
Contae Uíbh Fhailí	Condado de Offaly
Rùsg	Corteza
Contae Chiarraí	Condado de Kerry
Contae Phort Láirge	Condado de Waterford
Contae Loch Garman	Condado de Wexford
Contae Thiobraid Árann	Condado de Tipperary
Mòine	Turba
Ogham	Ogam
The Aristocats	Los Aristogatos
Jane Goodall	Jane Goodall
Luibhean-luaisgein	Fitoplancton
Contae Mhuineacháin	Condado de Monaghan
Sgealbag	Dedo índice
John Hicks	John Hicks
Taisbeanach (gràmar)	Modo gramatical
Tairbheadaireachd	Tauromaquia
Mion-fhacal	Partícula gramatical
Tromb-beòil	Arpa de boca
Tobago	Tobago
Piranha	Piraña
Brian Cowen	Brian Cowen
Knoxville, Tennessee	Knoxville
Grytviken	Grytviken
Fado	Fado
Caol-an-dùirn	Muñeca (anatomía)
Todhar	Estiércol
Bàta-foluaimein	Aerodeslizador
Lacrosse	Lacrosse
Girardot (Coloimbia)	Girardot
Contae an Longfoirt	Condado de Longford
Theodor Svedberg	Theodor Svedberg
An Sionnach Sgianach	Wolverine
Bratach na dùthcha	Bandera nacional
Faoighiche	Parasitismo
19mh linn RC	Siglo XIX a. C.
Chattanooga, Tennessee	Chattanooga (Tennessee)
17mh linn RC	Siglo XVII a. C.
Lite	Gacha
Eilean Devon	Isla Devon
Prìomh Lìog na h-Alba	Premier League de Escocia
Raibeart I na h-Alba	Roberto I de Escocia
C.B. Obar Dheathain	Aberdeen Football Club
Contae an Chabháin	Condado de Cavan
Álvaro Uribe	Álvaro Uribe
RMS Lusitania	RMS Lusitania
Brìbearachd	Cohecho
Pablo Escobar	Pablo Escobar
Bàr	Bar
Secret Garden	Secret Garden
Eilthireachd	Emigración
Breac-sheunain	Peca
Drochaid Alain	Bridge of Allan
Ragnar Frisch	Ragnar Frisch
Gairbheal	Cantera
Triantanadh	Triangulación
Bocsa	Caja
Tuiseal	Declinación (gramática)
Český Krumlov	Český Krumlov
Eaconamaiche	Economista
Ronald Coase	Ronald Coase
Cullman County, Alabama	Condado de Cullman
Aiseal	Eje (mecánica)
1400an	Años 1400
Cunbhal	Constante (matemáticas)
Sioman	Cable
Eilean Cheap Bhreatainn	Isla del Cabo Bretón
140an	Años 140
Ceithir dùil phrìomh-shamhlach	Elementos de la antigüedad
1410an	Años 1410
Pangram	Pangrama
Sephaniah	Libro de Sofonías
Curran geal	Pastinaca sativa
Anaconda	Eunectes
Cagailt	Hogar (fuego)
Aiseirigh	Resurrección
Achadh	Campo (agricultura)
1430an	Años 1430
Ròs-chraobh	Rhododendron
Fàsach Sonora	Desierto de Sonora
Vladimir Voronin	Vladimir Voronin
Oilthigh Jagiellonian	Universidad Jaguelónica
Yossi Benayoun	Yossi Benayoun
18mh linn RC	Siglo XVIII a. C.
Theodore William Richards	Theodore Richards
Rèabhlaid Ghlòrmhor	Revolución Gloriosa
Aol-tàthaidh	Mortero (construcción)
Contae Aontroma	Condado de Antrim (Irlanda del Norte)
Keith Richards	Keith Richards
Arthur Harden	Arthur Harden
Aonaran	Ermitaño
1460an	Años 1460
Alice in Wonderland (film 1951)	Alicia en el país de las maravillas (película de 1951)
Siorrachd Obar Dheathain	Aberdeenshire
Iain Knox	John Knox
Ùth	Glándula mamaria
Sligeach	Sligo
1470an	Años 1470
Hare Krishna	Asociación Internacional para la Conciencia de Krishna
John Paul Jones	John Paul Jones
1480an	Años 1480
Willard Frank Libby	Willard Libby
Henrik Carl Peter Dam	Henrik Dam
Christopher Plummer	Christopher Plummer
Aaron Klug	Aaron Klug
Contae Fhear Manach	Condado de Fermanagh
Contae an Dúin	Condado de Down
1490an	Años 1490
Ball-bodhaig	Miembro (anatomía)
Famke Janssen	Famke Janssen
Bòtann	Bota
Gary Becker	Gary Becker
Edward Sapir	Edward Sapir
Tunna	Tonelada
Fairge	Piélago
BBC a h-aon	BBC One
Pàipear-balla	Papel pintado
Santo André	Santo André
Clavichord	Clavicordio
Bàta-slaodaidh	Remolcador
Taoiseach	Taoiseach
Abhainn Mhagdalena	Río Magdalena
Bhàsa	Jarrón
150an	Años 150
Don Giovanni	Don Giovanni
Uèir-bhiorach	Alambre de púas
Aillse chraicinn	Cáncer de piel
Crudha	Herradura
Contae Dhoire	Condado de Londonderry
Contae Thír Eoghain	Condado de Tyrone
Guido da Arezzo	Guido de Arezzo
1520an	Años 1520
Nathair-uisge	Hydra (animal)
Breabadair	Tejeduría
Mac an aba	Dedo anular
1530an	Años 1530
Boulder, Colorado	Boulder (Colorado)
Canari	Serinus canaria
Fuerteventura	Fuerteventura
Streymoy	Streymoy
Daibhidh Trimble	David Trimble
Edmund Phelps	Edmund S. Phelps
Hyères	Hyères
Simon Kuznets	Simon Kuznets
Duffy	Duffy
Kenneth Arrow	Kenneth Arrow
C.B. Hibernian	Hibernian Football Club
George A. Olah	George A. Olah
Clannad	Clannad
Tràth làthaireach	Presente (gramática)
Bràigh (duine)	Rehén
The Yardbirds	The Yardbirds
Contae Ard Mhacha	Condado de Armagh
Oilthigh Ghlaschu	Universidad de Glasgow
Nokia (baile)	Nokia (ciudad)
C.B. Dùn Dèagh Aonaichte	Dundee United Football Club
Jan Palach	Jan Palach
Cathair Luail	Carlisle
Chinchilla	Chinchilla (animal)
1550an	Años 1550
Marajó	Marajó
Spiorad	Ser espiritual
Beul-an-latha	Orto
Ard Mhacha	Armagh
Noel Gallagher	Noel Gallagher
A Night at the Opera	A Night at the Opera
1560an	Años 1560
Oilthigh Phadua	Universidad de Padua
Achd an Aonaidh	Acta de Unión (1707)
Dlighe Charles	Ley de Charles
Pàirc Hampden	Hampden Park
Henry Temple, 3rd Viscount Palmerston	Lord Palmerston
James McAvoy	James McAvoy
1570an	Años 1570
Sugababes	Sugababes
Gath na grèine	Luz solar
Leaba chrochta	Hamaca
Live 8	Live 8
Bruis-pheant	Pincel
Neasgaid	Forúnculo
Urchasg	Antídoto
Uaireadair-uisge	Clepsidra
Canaigh	Canna (Escocia)
Linne Salmhaigh	Fiordo de Solway
Lester Bangs	Lester Bangs
Monroe County, Michigan	Condado de Monroe (Míchigan)
1620an	Años 1620
Yuba County, Calafòrnia	Condado de Yuba
1630an	Años 1630
1640an	Años 1640
1650an	Años 1650
1660an	Años 1660
1670an	Años 1670
Aisean	Costilla
1690an	Años 1690
Craig Levein	Craig Levein
1710an	Años 1710
1720an	Años 1720
Ziebach County, Dakota a Deas	Condado de Ziebach
1760an	Años 1760
Coloimbia Mhòr	Gran Colombia
Magdalena (Roinn)	Magdalena (Colombia)
1790an	Años 1790
Hamilton, Sealainn Nuadh	Hamilton (Nueva Zelanda)
Dòbhran	Lutrinae
Eilean Bhanks	Isla de Banks
Àrd-bhaile	Metrópoli
Kamakura	Kamakura (Kanagawa)
Roger Y. Tsien	Roger Y. Tsien
180an	Años 180
Pàrtaidh	Fiesta
James Caviezel	James Caviezel
Eysturoy	Eysturoy
Châtenay-Malabry	Châtenay-Malabry
Vicuña	Vicuña (Chile)
Perquimans County, Carolina a Tuath	Condado de Perquimans
Cliabh	Cesta
Anna na Breatainn Bheag	Ana de Bretaña
Fìobha	Fife
Kohtla-Järve	Kohtla-Järve
Edward Said	Edward Said
Nori	Nori
Piast	Piastas
Alter ego	Álter ego
La Palma (eilean)	La Palma
Dealg	Espina (botánica)
David Hasselhoff	David Hasselhoff
Herm	Herm
Foghar (cànanachas)	Fono
Linn Giùdain	Fiordo de Forth
C.B. Cridhe Mheadhan-Lodainn	Heart of Midlothian Football Club
Robert Grubbs	Robert H. Grubbs
Yves Chauvin	Yves Chauvin
Lagh Gay-Lussac	Ley de Gay-Lussac
Gary Speed	Gary Speed
Còigeamhan na h-Èireann	Provincias de Irlanda
Richard Schrock	Richard R. Schrock
Borðoy	Borðoy
Comhairle Earra-Ghàidheal is Bhòid	Argyll y Bute
Comhairle Aonghais	Angus (Escocia)
The Rescuers Down Under	The Rescuers Down Under
Adag	Melanogrammus aeglefinus
Walworth County, Wisconsin	Condado de Walworth (Wisconsin)
Gruag bhàn	Rubio
Wyclef Jean	Wyclef Jean
Peairt	Perth (Escocia)
Komi (sluagh)	Komi-Zirianos
Napier, Sealainn Nuadh	Napier (Nueva Zelanda)
Saint John, Brunswick Nuadh	Saint John (Nuevo Brunswick)
Manuel Azaña Díaz	Manuel Azaña
Modesto, Calafòrnia	Modesto
Walter Norman Haworth	Norman Haworth
Sìobar-spàs	Ciberespacio
Ball-coise Gàidhealach	Fútbol gaélico
Being	Banco (mueble)
Eigir	Ægir
Dìcheannachadh	Decapitación
Lodainn an Iar	West Lothian
Brian Jones	Brian Jones (músico)
Bogha (ceòl)	Arco (música)
Dún Dealgan	Dundalk
Kalundborg	Kalundborg
Vézelay (Yonne)	Vézelay
Protractair	Transportador
Naomh Crìstean (eilean)	Isla de San Cristóbal (San Cristóbal y Nieves)
Talking Heads	Talking Heads
The Flowers of Romance	The Flowers of Romance
Osamu Shimomura	Osamu Shimomura
James Buchanan (eaconomaiche)	James M. Buchanan
Zipaquirá	Zipaquirá
Tenacious D	Tenacious D
Bloc Party	Bloc Party
Aspen, Colorado	Aspen
Franco Modigliani	Franco Modigliani
Lancaster	Lancaster (Lancashire)
Tàrmachan	Lagopus mutus
190an	Años 190
Sgeir Rocail	Rockall
Pàrlamaid na h-Alba	Parlamento Escocés
Bith-mhoileciuil	Biomolécula
Thomas Schelling	Thomas Schelling
Abeokuta	Abeokuta
Stuth-togail	Material de construcción
Nelson, Sealainn Nuadh	Nelson (Nueva Zelanda)
Redon	Redon
Comhairle Shiorrachd Àir a Tuath	North Ayrshire
Lítla Dímun	Lítla Dímun
Meadhan Lodainn	Midlothian
Comhairle Shiorrachd Lannraig a Tuath	North Lanarkshire
Sir Fynwy	Monmouthshire
Comhairle Lodainn an Ear	East Lothian
Siorrachd Chlach Mhanainn	Clackmannanshire
Bràigh (tìr-eòlas)	Cima (topografía)
Isambard Kingdom Brunel	Isambard Kingdom Brunel
Innis (eilean)	Islote
Sylvia Kristel	Sylvia Kristel
Vágar	Vágar
Comhairle Pheairt is Cheann Rois	Perth and Kinross
Cill Rìmhinn	Saint Andrews
Tauranga	Tauranga
Feur	Césped
Nibheis	Isla Nieves
Cumadh	Forma (figura)
Paindeal	Pantera negra
Peter D. Mitchell	Peter Dennis Mitchell
Fellowship of the Ring (leabhar)	La Comunidad del Anillo
Comhairle Dhùn Bhreatainn an Iar	West Dunbartonshire
Trygve Haavelmo	Trygve Haavelmo
Galar iomallach na pearsantachd	Trastorno límite de la personalidad
Comhairle Inbhir Chluaidh	Inverclyde
Flùr na h-Alba	Flower of Scotland
Comhairle na Gàidhealtachd	Highland
Fàsach Araibianach	Desierto árabe
Sandoy	Sandoy
Hestur	Hestur
Bàgh na h-Eaglaise	Kirkwall
Koltur	Koltur
Sgrab	Puffinus puffinus
William Pitt, 1ad Iarla Chatham	William Pitt (el Viejo)
Amar-bàistidh	Pila bautismal
Gilbert N. Lewis	Gilbert N. Lewis
Loch Laomainn	Lago Lomond
Rotorua	Rotorua
Santa Marta (baile)	Santa Marta
Comhairle Shiorrachd Àir a Deas	South Ayrshire
Comhairle Shiorrachd Àir an Ear	East Ayrshire
Comhairle Shiorrachd Lannraig a Deas	South Lanarkshire
Appenzell	Appenzell (ciudad)
Oxnard, Calafòrnia	Oxnard
2 Samuel	II Samuel
2 Eachdraidh	II Crónicas
2 Rìghrean	II Reyes
Brùchd	Eructo
Beul-aithris	Tradición oral
Sgadan	Clupea
Suðuroy	Suðuroy
Fugloy	Fugloy
Fiodh almhaig	Santalum album
Balla Antonine	Muro de Antonino
Gérard Debreu	Gérard Debreu
C.B. Cille Mheàrnaig	Kilmarnock Football Club
Comhairle Shiorrachd Rinn Friù	Renfrewshire
Ronnie Wood	Ron Wood
Finn E. Kydland	Finn Kydland
Fulangach (gràmar)	Voz gramatical
Comhairle Mhoireibh	Moray (Escocia)
Alasdair III na h-Alba	Alejandro III de Escocia
Comhairle nan Crìochan	Scottish Borders
Magnus Maximus	Magno Clemente Máximo
Ruaraidh MacFhionghain	Roderick MacKinnon
Garaids	Garage rock
Rìgh Seumas VIII Alba agus III Shasainn	Jacobo Francisco Eduardo Estuardo
Alexandrine	Alejandrino
Ceatharlach	Carlow
200an	Años 200
James Tobin	James Tobin
Fàsach Shimpson	Desierto de Simpson
Pàislig	Paisley
Arainn	Arran
Bangor	Bangor
Comhairle Dhùn Bhreatainn an Ear	East Dunbartonshire
Comhairle Shiorrachd Rinn Friù an Ear	East Renfrewshire
Auld Lang Syne	Auld Lang Syne
Dùn Phàrlain	Dunfermline
Cù Chullain	Cúchulainn
Viðoy	Viðoy
Kunoy	Kunoy
Stóra Dímun	Stóra Dímun
Kalsoy	Kalsoy
Caisteal Dhùn Éideann	Castillo de Edimburgo
Roger Ebert	Roger Ebert
P. W. Botha	Pieter Willem Botha
Palmerston North	Palmerston North
Fawlty Towers	Fawlty Towers
Wadowice	Wadowice
20an RC	Años 20 a. C.
Na Seumasaich	Jacobismo
New Plymouth, Sealainn Nuadh	Nueva Plymouth (Nueva Zelanda)
Briogais-snàmh	Traje de baño
Santa Rosa, Calafòrnia	Santa Rosa (California)
Antidorcas marsupialis	Antidorcas marsupialis
Aberystwyth	Aberystwyth
Menen	Menen
Clamecy (Nièvre)	Clamecy (Nièvre)
Buidheag (lus)	Ranunculus repens
Sir Benfro	Pembrokeshire
Mykines	Mykines
Liùrabhaig	Lerwick
210an	Años 210
Rutger Hauer	Rutger Hauer
Uachtaran	Anexo:Presidente de Irlanda
Tom Selleck	Tom Selleck
Camanachd Èireannach	Hurling
Buain	Cosecha
The Hunchback of Notre Dame (film 1996)	El jorobado de Notre Dame (película de 1996)
Rìghrean na h-Alba	Anexo:Monarcas de Escocia
Adolfo Suárez y González	Adolfo Suárez
Andy Williams	Andy Williams
220an	Años 220
Leticia (baile)	Leticia (Colombia)
An Cabhán	Cavan (Irlanda)
Ceannaiche	Comerciante
Roinnean ann an Coloimbia	Departamentos de Colombia
230an	Años 230
Nás na Ríogh	Naas
Carabhan	Caravana (vehículo)
Stràc gheur	Acento agudo
Logarbaidh	Lockerbie
Spòrs bhuidheann	Deporte de equipo
Charlie Watts	Charlie Watts
Plastair	Tira adhesiva sanitaria
Bàrc	Bricbarca
BBC a dhà	BBC Two
Hilo, Hawaii	Hilo (Hawái)
Oilthigh Chill Rìmhinn	Universidad de Saint Andrews
Eun-turais	Migración de las aves
Fianna Fáil	Fianna Fáil
C.B. Tobar na Màthar	Motherwell Football Club
Basgaid-sgudail	Cubo de basura
Sam Houston	Samuel Houston
Daibhidh I na h-Alba	David I de Escocia
Breacan	Tartán
Cúcuta	Cúcuta
Svínoy	Svínoy
Skúvoy	Skúvoy
Sgeir	Escollo
