Afrika	África
Japan	Japón
Suid-Amerika	América del Sur
Noorweë	Noruega
Engeland	Inglaterra
Skotland	Escocia
Wallis	Gales
Noord-Ierland	Irlanda del Norte
Republiek van Ierland	Irlanda
Hongarye	Hungría
Spanje	España
Verenigde State van Amerika	Estados Unidos
België	Bélgica
Luxemburg	Luxemburgo
Heelal	Universo
Aarde	Tierra
Lewe	Vida
Dood	Muerte
Mens	Homo sapiens
George Washington	George Washington
Tim Berners-Lee	Tim Berners-Lee
Stanley Kubrick	Stanley Kubrick
Wikidata	Wikidata
Finland	Finlandia
Swede	Suecia
Denemarke	Dinamarca
Pole	Polonia
Litaue	Lituania
Italië	Italia
Switserland	Suiza
Oostenryk	Austria
Griekeland	Grecia
Turkye	Turquía
Bier	Cerveza
Portugal	Portugal
Europa	Europa
Asië	Asia
Noord-Amerika	América del Norte
Antarktika	Antártida
Wikipedia	Wikipedia
Nederland	Países Bajos
Penis	Pene
PHP	PHP
New York Stad	Nueva York
Washington, D.C.	Washington D. C.
San Francisco	San Francisco (California)
Berlyn	Berlín
Los Angeles	Los Ángeles
Boeing	Boeing
Airbus	Airbus
Rekenaar	Computadora
Bern	Berna
Genève	Ginebra
Zürich	Zúrich
IRC	Internet Relay Chat
Internet	Internet
Barack Obama	Barack Obama
Uruguay	Uruguay
Basel	Basilea
Rekenaardrukker	Impresora
MediaWiki	MediaWiki
Londen	Londres
Kaïro	El Cairo
Alexandrië	Alejandría
Appel	Manzana
Parys	París
Abraham Lincoln	Abraham Lincoln
Google Android	Android
Google	Google
Meksiko	México
Atlantiese Oseaan	Océano Atlántico
Stille Oseaan	Océano Pacífico
Kalifornië	California
Boston	Boston
Maandag	Lunes
Januarie	Enero
Februarie	Febrero
Maart	Marzo
Mars (planeet)	Marte (planeta)
Kenia	Kenia
Ethiopië	Etiopía
Ghana	Ghana
April	Abril
Mei	Mayo
Junie	Junio
Julie	Julio
Augustus	Agosto
September	Septiembre
Oktober	Octubre
November	Noviembre
Desember	Diciembre
Dinsdag	Martes
Woensdag	Miércoles
Donderdag	Jueves
Vrydag	Viernes
Saterdag	Sábado
