Afrịka	África
South Amerika	América del Sur
Spain	España
Njikota Obodo Amerika	Estados Unidos
Àlà	Tierra
Mádu	Homo sapiens
Finland	Finlandia
Poland	Polonia
Turkéy	Turquía
Obodo Békè	Europa
Asia	Asia
Olile anyanwu Amerika	América del Norte
Antarctica	Antártida
Wikipedia	Wikipedia
New York City	Nueva York
Orunotu	Computadora
Intanet	Internet
Barack Obama	Barack Obama
MediaWiki	MediaWiki
London	Londres
Òrìmìlì Atlantic	Océano Atlántico
Òrìmìlì Pacific	Océano Pacífico
California	California
Önwa mbu	Enero
February	Febrero
March	Marzo
Ethiopia	Etiopía
Ghana	Ghana
Önwa ànó	Abril
May	Mayo
Önwa ishií	Junio
July	Julio
August	Agosto
September	Septiembre
October	Octubre
Önwa iri na otụ	Noviembre
Disemba	Diciembre
Odúm	Panthera leo
Obodoézè Nà Ofú	Reino Unido
Wiktionary	Wikcionario
Brazil	Brasil
Mpaghara Russia	Rusia
Wiki	Wiki
Alabama	Alabama
Jimmy Wales	Jimmy Wales
Jémanị	Alemania
Larry Sanger	Larry Sanger
Otu	Uno
Abụo	Dos
Atọ	Tres
Anọ	Cuatro
Ise	Cinco
0 (Ónúọgụgụ)	Cero
Yukrain	Ucrania
Barbados	Barbados
Algeria	Argelia
Wikisource	Wikisource
Ńkú	Madera
Jisọs Kraịst	Jesús de Nazaret
Ákíkó mbu	Historia
Ihunanya	Amor
Wikipedia nke ndị bekee	Wikipedia en inglés
Amamihe	Ciencia
Wikibooks	Wikilibros
Wikiquote	Wikiquote
Ubuntu	Ubuntu
Ọmúmú-ónúọgụgụ	Matemáticas
Ostraliya	Australia
Bob Marley	Bob Marley
Physics	Física
Áláküba	Islam
Lech Wałęsa	Lech Wałęsa
Ábu	Poesía
Ìfulū	Flor
Ama ukwu	Ciudad
Ogbè	Pueblo (población rural)
Wikimedia Commons	Wikimedia Commons
Chad	Chad
Ndia	India
Mën	Maine
Ǹkà	Arte
Osisi	Plantae
Hampshire Ohúrú	Nuevo Hampshire
Jamaikạ	Jamaica
Másáchusẹts	Massachusetts
Kónétíkùt	Connecticut
Hawaii	Hawái
Dominika	Dominica
Arctic Ocean	Océano Ártico
Àláskà	Alaska
Israel	Israel
Flórídạ	Florida
Arizona	Arizona
Oregon	Oregón
Amerikas	América
Yútạh	Utah
Charlie Chaplin	Charles Chaplin
Angola	Angola
Albert Einstein	Albert Einstein
Togo	Togo
Benin	Benín
Botswana	Botsuana
Burkina Faso	Burkina Faso
Burundi	Burundi
Eritrea	Eritrea
Pope John Paul II	Juan Pablo II
Gabon	Gabón
Kameroon	Camerún
Cape Verde	Cabo Verde
Niger	Níger
Naigeria	Nigeria
Julius Caesar	Julio César
Sudan	Sudán
Ọmúmú-àlà	Geografía
Àgwà	Color
Michigan	Míchigan
Ilinoi	Illinois
North Dakota	Dakota del Norte
Sawt Dakótạ	Dakota del Sur
Montana	Montana
Waịómịn	Wyoming
Jerusalem	Jerusalén
Idaho	Idaho
Washington (nkeji obodo)	Washington (estado)
Náevadạ	Nevada
Òrìmìlì India	Océano Índico
Colorado	Colorado
Òtù:Ébé ihe nọr	Categoría:Índice de categorías
Chicago	Chicago
Végíníyà	Virginia
West Virginia	Virginia Occidental
Nú Yọk	Nueva York (estado)
Àlá mmírí Rhode	Rhode Island
Mérílạnd	Maryland
Déláwè	Delaware
Ohaïyo	Ohio
Pensílvéníyạ	Pensilvania
Uetersen	Uetersen
Nú Jezị	Nueva Jersey
Ndiánà	Indiana
Jorjiạ	Georgia (Estados Unidos)
Texas	Texas
Nort Kárólínạ	Carolina del Norte
Nleda anyanwu Kàròlina	Carolina del Sur
Mississippi	Misisipi
Tennessee	Tennessee
Nú Mézíkọ	Nuevo México
Minésótạ	Minnesota
Coordinated Universal Time	Tiempo universal coordinado
Wiskonsin	Wisconsin
Áyowạ	Iowa
Nebraska	Nebraska
Kánzạs	Kansas
Mizurị	Misuri
Luwisiánà	Luisiana
Kentórkị	Kentucky
Arkinsọ	Arkansas
Oklahoma	Oklahoma
Akwụkwọ Nsọ	Biblia
Ho Chi Minh City	Ciudad Ho Chi Minh
Ezigbo ulo uka Jesu	Verdadera Iglesia de Jesús
Asụsụ Inglish	Idioma inglés
Đồng Hới	Đồng Hới
Końskowola	Końskowola
2000	2000
2003	2003
2001	2001
2005	2005
2007	2007
1909	1909
1991	1991
1993	1993
1996	1996
1998	1998
1999	1999
Önwa mbu 1	1 de enero
Önwa mbu 2	2 de enero
Önwa mbu 3	3 de enero
Önwa mbu 4	4 de enero
Önwa mbu 5	5 de enero
Önwa mbu 6	6 de enero
Önwa mbu 7	7 de enero
Önwa mbu 8	8 de enero
Önwa mbu 9	9 de enero
10 Jenụwarị	10 de enero
11 Jenụwarị	11 de enero
Önwa mbu 12	12 de enero
Önwa mbu 13	13 de enero
Önwa mbu 14	14 de enero
Önwa mbu 15	15 de enero
Önwa mbu 16	16 de enero
Önwa mbu 17	17 de enero
Önwa mbu 18	18 de enero
Önwa mbu 19	19 de enero
Önwa mbu 20	20 de enero
Önwa mbu 21	21 de enero
Önwa mbu 22	22 de enero
Önwa mbu 23	23 de enero
Önwa mbu 24	24 de enero
Önwa mbu 25	25 de enero
Önwa mbu 26	26 de enero
Önwa mbu 27	27 de enero
Önwa mbu 28	28 de enero
Önwa mbu 29	29 de enero
Önwa mbu 30	30 de enero
Önwa mbu 31	31 de enero
Önwa iri na abụọ 1	1 de diciembre
3 Disemba	3 de diciembre
1 Febrụwarị	1 de febrero
2 Febrụwarị	2 de febrero
3 Febrụwarị	3 de febrero
Kurów	Kurów
4 Febrụwarị	4 de febrero
