Afrika	África
Jabaan	Japón
Ameerikada koonfureed	América del Sur
Norway	Noruega
Ingiriiska	Inglaterra
Skotland	Escocia
Waalis	Gales
Waqooyiga Ayrland	Irlanda del Norte
Ireland	Irlanda
Hungaria	Hungría
Isbania	España
Mareykanka	Estados Unidos
Beljim	Bélgica
Luksemburg	Luxemburgo
Koon	Universo
Dhul	Tierra
Nolosha	Vida
Biniaadan	Homo sapiens
George Washington	George Washington
Finland	Finlandia
Iswiidhan	Suecia
Denmark	Dinamarca
Boland	Polonia
Lithuaniya	Lituania
Talyaaniga	Italia
Iswisarland	Suiza
Austriya	Austria
Giriig	Grecia
Turkiga	Turquía
Bortuqaal	Portugal
Yurub	Europa
Aasiya	Asia
Woqooyiga Ameerika	América del Norte
Antiarktis	Antártida
Wikipedia	Wikipedia
Holland	Países Bajos
New York	Nueva York
Washington D.C	Washington D. C.
Baarliin	Berlín
Los Angeles	Los Ángeles
Boeing	Boeing
Kumbuyuutar	Computadora
Jineefa	Ginebra
Internet	Internet
Barack Obama	Barack Obama
Uruguay	Uruguay
London	Londres
Qaahiro	El Cairo
Baariis	París
Android	Android
Google	Google
Meksiko	México
Badweynta Atlaantik	Océano Atlántico
Badweynta Baasifik	Océano Pacífico
Kalifornia	California
Isniin	Lunes
Janaayo	Enero
Febraayo	Febrero
Maarso	Marzo
Farraare	Marte (planeta)
Kiinya	Kenia
Itoobiya	Etiopía
Gaana	Ghana
Abriil	Abril
May	Mayo
Juun	Junio
Luuliyo	Julio
Agoosto	Agosto
Sebteembar	Septiembre
Oktoobar	Octubre
Nofeembar	Noviembre
Diseembar	Diciembre
Talaado	Martes
Arbaco	Miércoles
Khamiis	Jueves
Jimco	Viernes
Sabti	Sábado
Axad	Domingo
Libaax	Panthera leo
Faransiiska	Francia
Esberanto	Esperanto
Ey	Canis lupus familiaris
Midowga boqortooyada Britan	Reino Unido
Yaanyuur	Felis silvestris catus
Shiinaha	República Popular China
Af-Faransiis	Idioma francés
Malaay	Pisces
Khamri	Bebida alcohólica
Barasiil	Brasil
François Hollande	François Hollande
Ruushka	Rusia
Nibiri	Cetacea
Labajibaarane	Cuadrado
Bad	Mar
Bada madaw	Mar Negro
Pi Sumad xisaabeed	Número π
Wiki	Wiki
Toronto	Toronto
Alabama	Alabama
São Paulo	São Paulo
São Paulo (Gobol)	Estado de São Paulo
Wikimedia	Fundación Wikimedia
Jimmy Wales	Jimmy Wales
Ingiriis	English (desambiguación)
Jarmalka	Alemania
Belarus	Bielorrusia
Af-Jarmal	Idioma alemán
Island	Islandia
Estoniya	Estonia
David Cameron	David Cameron
Raage	Saturno (planeta)
Chocolate	Chocolate
Dagaalada	Guerra
Kow	Uno
Labo	Dos
Sadax	Tres
Afar (lambar)	Cuatro
Shan	Cinco
0	Cero
George W. Bush	George W. Bush
Laydi	Rectángulo
Latfiya	Letonia
Ukrain	Ucrania
Jamhuuriyadda Tashik	República Checa
Islofaakiya	Eslovaquia
Isloveeniya	Eslovenia
Moldofa	Moldavia
Romania	Rumania
Bulgaria	Bulgaria
Roma	Roma
Jamhuriyada Makedonia	República de Macedonia
Albania	Albania
Griinland	Groenlandia
Kroatia	Croacia
Bosniya	Bosnia y Herzegovina
Aserbiijaan	Azerbaiyán
Andorra	Andorra
Jasiirada Qabrus	Chipre
Joorjiya	Georgia
Kasakhstan	Kazajistán
Malta	Malta
Monako	Mónaco
Montenegro	Montenegro
Faatikan	Ciudad del Vaticano
San Marino	San Marino
Boroksel	Bruselas
Kuuba	Cuba
Belise	Belice
Barbados	Barbados
Indunisiya	Indonesia
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Af-Turki	Idioma turco
Koonfur Afrika	Sudáfrica
Aljeeriya	Argelia
Usbekistan	Uzbekistán
Biyo	Agua
Alwaax	Madera
Telefishin	Televisión
Claude Monet	Claude Monet
Diego Velázquez	Diego Velázquez
Jili	Chile
El Greco	El Greco
Ciise	Jesús de Nazaret
Dusaa	Mercurio (planeta)
Taariikh	Historia
Apple Inc	Apple
Waxaraxir	Venus (planeta)
Jaceyl	Amor
Cirjeex	Júpiter (planeta)
Uraano	Urano (planeta)
Nicolas Sarkozy	Nicolas Sarkozy
Nebtuun	Neptuno (planeta)
Xiddigis	Astronomía
Singabuur	Singapur
Saynis	Ciencia
Buluuto	Plutón (planeta enano)
Liechtenstein	Liechtenstein
Ciyaaraha	Deporte
Adolf Hitler	Adolf Hitler
Facebook	Facebook
Julian Assange	Julian Assange
Dagaalkii koowaad	Primera Guerra Mundial
Dagaalkii Labaad ee Aduunka	Segunda Guerra Mundial
Goorsheegto	Reloj
Xisaab	Matemáticas
Af-Laatiin	Latín
Baxrayn	Baréin
Armania	Armenia
Seerbiya	Serbia
Bil	Luna
Istanbuul	Estambul
Australia	Australia
Fiisigis	Física
Arjantiina	Argentina
Isgaarsiinta	Telecomunicación
Peru	Perú
Bayoloji	Biología
Waqooyiga Kuuriya	Corea del Norte
Kambodiya	Camboya
Qur'aan	Corán
Diinsoor (xayawaan)	Dinosauria
Islaam	Islam
Ljubljana	Liubliana
World Wide Web	World Wide Web
Naag	Mujer
Gabay	Poesía
Chernobyl	Accidente de Chernóbil
Milan	Milán
Torino	Turín
Liin dhanaan	Citrus × limon
Ubax	Flor
Magaalo	Ciudad
Napoleon Bonaparte	Napoleón Bonaparte
Xidig	Estrella
Qorax	Sol
Cir	Cielo
Tuulo	Pueblo (población rural)
Ooshiyaaniya	Oceanía
Bahda Midaysay Qoraxdu	Sistema Solar
Hydrogen	Hidrógeno
Hiliyaam	Helio
Ilik	Diente
Cadaab	Infierno
Wikimedia Commons	Wikimedia Commons
Liithiyaam	Litio
Beriiliyaam	Berilio
Buug	Libro
Maalin	Día
Bariga Timor	Timor Oriental
Sanad	Año
Qarni	Siglo
Oslo	Oslo
Lissabon	Lisboa
Dubay	Dubái
Lionel Messi	Lionel Messi
Booron	Boro
Versailles	Versalles
Kaarboon	Carbono
Nitrojiin	Nitrógeno
Ogsajiin	Oxígeno
FC Internazionale Milano	Inter de Milán
Meere	Planeta
Muusig	Música
Moskow	Moscú
Foloriin	Flúor
Af-Taliyaani	Idioma italiano
Niyoon	Neón
Saint Petersburg	San Petersburgo
Jad	Chad
Sodhiyaam	Sodio
Woqooyi	Norte
Magniisiyaam	Magnesio
Alumiiniyaam	Aluminio
New Zealand	Nueva Zelanda
Koonfur	Sur
Hindiya	India
Silikoon	Silicio
Faransiyaam	Francio
Tuvalu	Tuvalu
Fosforos	Fósforo
Xadiid	Hierro
Galbeed	Oeste
Salfar	Azufre
Bari (Jiho)	Este
Jasiiradaha Solomon	Islas Salomón
Koloriin	Cloro
Koofurta Holland	Holanda Meridional
Balau	Palaos
Aargon	Argón
Nawru	Nauru
Firefox	Mozilla Firefox
Waqooyiga Holland	Holanda Septentrional
Botashiyaam	Potasio
Zeeland	Zelanda
Kaalshiyaam	Calcio
Flevoland	Flevolanda
Lead	Plomo
Jasiirada Marshall	Islas Marshall
Kiribati	Kiribati
Mongolia	Mongolia
Fiji	Fiyi
Iskaandhiyaam	Escandio
Titaaniyaam	Titanio
Fanansuwela	Venezuela
Jinkis Khan	Gengis Kan
Fanadhiyaam	Vanadio
Koroomiyaam	Cromo
Faras	Equus ferus caballus
Amistardam	Ámsterdam
Hub	Arma
Xayawaan	Animalia
Surinam	Surinam
Manganiis	Manganeso
Paraguay	Paraguay
Guyana	Guyana
Fan	Arte
Ikwadoor	Ecuador
Reheniyaam	Renio
Kolombiya	Colombia
Kobalti	Cobalto
Tungsten	Wolframio
Nikel	Níquel
Boliifia	Bolivia
Osmiyaam	Osmio
Groningen	Provincia de Groninga
Kober	Cobre
Beer	Plantae
Sinki	Cinc
Leonardo da Vinci	Leonardo da Vinci
Boqoshaa	Fungi
Jamayka	Jamaica
Friesland	Frisia
Drenthe	Drente
Overijssel	Overijssel
Guatemala	Guatemala
Gelderland	Güeldres
Utrecht	Provincia de Utrecht
Bahamas	Bahamas
Dooro	Gallus gallus domesticus
Antigua iyo Barbuda	Antigua y Barbuda
Hawaay	Hawái
Dominika	Dominica
Doofaar	Sus scrofa domestica
Haiti	Haití
El Salfador	El Salvador
Iiraan	Irán
Ciraaq	Irak
Xikmad	Sabiduría
Kosta Rika	Costa Rica
Israaiil	Israel
Magaalada Utrecht	Utrecht
Banama	Panamá
Yemen	Yemen
Virus	Virus
Urdun	Jordania
Nikaragua	Nicaragua
Florida	Florida
Qargistan	Kirguistán
Kuwayt	Kuwait
Laos	Laos
Lubnaan	Líbano
Jasiirada Maldiif	Maldivas
Ameerika	América
Lo'	Bos primigenius taurus
Malaysiya	Malasia
Burma	Birmania
Nebal	Nepal
Cumaan	Omán
Bakistaan	Pakistán
Qatar	Catar
Ciyaarta Teeniska	Tenis
Sacuudi Carabiya	Arabia Saudita
