ఆఫ్రికా	África
జపాన్	Japón
దక్షిణ అమెరికా	América del Sur
నార్వే	Noruega
ఇంగ్లాండు	Inglaterra
స్కాట్లాండ్	Escocia
వేల్స్	Gales
రిపబ్లిక్ ఆఫ్ ఐర్లాండ్	Irlanda
హంగేరి	Hungría
స్పెయిన్	España
అమెరికా సంయుక్త రాష్ట్రాలు	Estados Unidos
బెల్జియం	Bélgica
విశ్వం	Universo
భూమి	Tierra
జీవం	Vida
మరణం	Muerte
మానవుడు	Homo sapiens
సంతోషం	Felicidad
జార్జి వాషింగ్టన్	George Washington
టిమ్ బెర్నర్స్ లీ	Tim Berners-Lee
ఫిన్‌లాండ్	Finlandia
స్వీడన్	Suecia
డెన్మార్క్	Dinamarca
పోలాండ్	Polonia
లిథువేనియా	Lituania
ఇటలీ	Italia
స్విట్జర్లాండ్	Suiza
ఆస్ట్రియా	Austria
గ్రీస్	Grecia
టర్కీ	Turquía
బీరు	Cerveza
పోర్చుగల్	Portugal
ఐరోపా	Europa
ఆసియా	Asia
ఉత్తర అమెరికా	América del Norte
అంటార్కిటికా	Antártida
వికీపీడియా	Wikipedia
నెదర్లాండ్స్	Países Bajos
శిశ్నము	Pene
పిహెచ్‌పి(PHP)	PHP
న్యూయార్క్	Nueva York
వాషింగ్టన్, డి.సి.	Washington D. C.
శాన్ ఫ్రాన్సిస్కో	San Francisco (California)
బెర్లిన్	Berlín
లాస్ ఏంజలెస్	Los Ángeles
ఎయిర్‌బస్	Airbus
కంప్యూటర్	Computadora
ఇంటర్నెట్	Internet
బరాక్ ఒబామా	Barack Obama
కంప్యూటర్ ప్రింటర్	Impresora
మీడియావికీ	MediaWiki
లండన్	Londres
కైరో	El Cairo
తలనొప్పి	Cefalea
అలెగ్జాండ్రియా	Alejandría
ఆపిల్	Manzana
పారిస్	París
అబ్రహం లింకన్	Abraham Lincoln
ఆండ్రాయిడ్	Android
గూగుల్	Google
మెక్సికో	México
అట్లాంటిక్ మహాసముద్రం	Océano Atlántico
పసిఫిక్ మహాసముద్రం	Océano Pacífico
కాలిఫోర్నియా	California
బోస్టన్	Boston
సోమవారము	Lunes
అంతరిక్షం	Espacio (física)
జనవరి	Enero
ఫిబ్రవరి	Febrero
మార్చి	Marzo
అంగారకుడు	Marte (planeta)
కెన్యా	Kenia
ఇథియోపియా	Etiopía
ఘనా	Ghana
ఏప్రిల్	Abril
మే	Mayo
జూన్	Junio
జూలై	Julio
ఆగష్టు	Agosto
సెప్టెంబర్	Septiembre
అక్టోబర్	Octubre
నవంబర్	Noviembre
డిసెంబర్	Diciembre
మంగళవారము	Martes
బుధవారము	Miércoles
గురువారము	Jueves
శుక్రవారము	Viernes
శనివారము	Sábado
ఆదివారము	Domingo
సింహం	Panthera leo
ఫ్రాన్స్	Francia
కుక్క	Canis lupus familiaris
యునైటెడ్ కింగ్‌డమ్	Reino Unido
పిల్లి	Felis silvestris catus
చైనా	República Popular China
ఫ్రెంచి భాష	Idioma francés
చేప	Pisces
బ్రెజిల్	Brasil
ఆల్కహాలు	Alcohol
రష్యా	Rusia
ఆప్టికల్ ఫైబర్	Fibra óptica
సముద్రం	Mar
నల్ల సముద్రం	Mar Negro
పై	Número π
వికీ	Wiki
టొరంటో	Toronto
అలబామా	Alabama
బోయింగ్ 747	Boeing 747
వికీమీడియా ఫౌండేషన్	Fundación Wikimedia
జిమ్మీ వేల్స్	Jimmy Wales
జర్మనీ	Alemania
బెలారస్	Bielorrusia
లారీ సాంగర్	Larry Sanger
జర్మన్ భాష	Idioma alemán
ఐస్‌లాండ్	Islandia
దేవుడు	Dios
ఎస్టోనియా	Estonia
చాక్లెట్	Chocolate
విమానం	Avión
యుద్ధం	Guerra
ఒకటి	Uno
రెండు	Dos
మూడు	Tres
నాలుగు	Cuatro
సున్న	Cero
దీర్ఘ చతురస్రం	Rectángulo
లాట్వియా	Letonia
ఉక్రెయిన్	Ucrania
చెక్ రిపబ్లిక్	República Checa
స్లోవేనియా	Eslovenia
మోల్డోవా	Moldavia
రొమేనియా	Rumania
బల్గేరియా	Bulgaria
రోమ్	Roma
మేసిడోనియా	República de Macedonia
అల్బేనియా	Albania
గ్రీన్‌లాండ్	Groenlandia
క్రొయేషియా	Croacia
బోస్నియా మరియు హెర్జెగొవీనా	Bosnia y Herzegovina
అజర్‌బైజాన్	Azerbaiyán
అండొర్రా	Andorra
సైప్రస్	Chipre
జార్జియా (దేశం)	Georgia
కజకస్తాన్	Kazajistán
మొనాకో	Mónaco
వాటికన్ నగరం	Ciudad del Vaticano
క్యూబా	Cuba
బెలిజ్	Belice
ఈఫిల్ టవర్	Torre Eiffel
బార్బడోస్	Barbados
రాసబెర్రి పై	Raspberry Pi
వోక్స్ వాగన్	Volkswagen
ఇంటెల్ సంస్థ	Intel Corporation
కంప్యూటర్ కీబోర్డ్	Teclado (informática)
జావా	Java (lenguaje de programación)
ఇండోనేషియా	Indonesia
మేండెల్‌బ్రాట్ సెట్	Conjunto de Mandelbrot
దక్షిణ ఆఫ్రికా	Sudáfrica
అల్జీరియా	Argelia
ఉజ్బెకిస్తాన్	Uzbekistán
డ్రోసిరా	Drosera
తాష్కెంట్	Taskent
నీరు	Agua
చెక్క	Madera
టెలివిజన్	Televisión
